node_index,ct_code,population,area_km2,longitude,latitude
0,2020001300,3092,9.34614658410248,-149.94839755110712,61.21120125987949
1,2020000703,5604,2.798658875732114,-149.72397347241932,61.22313932674545
2,2020000801,7505,2.543743741892178,-149.7925394384158,61.21686509848705
3,2020000802,5033,2.337928567239492,-149.79237356975315,61.20309404400107
4,2020000902,2924,1.1461558202041602,-149.8525256352724,61.204382908825174
5,2020001400,4570,2.202481067377671,-149.89157284308303,61.19941630599253
6,2020000203,11384,14.987766253939103,-149.50430801931265,61.31033561004636
7,2020001732,6591,2.6484361466670587,-149.73340214656042,61.18793453956205
8,2020002712,9429,11.53530657821838,-149.89035354693343,61.1285702539731
9,2020002711,6763,30.02100873993125,-149.98021126045057,61.10476614404375
10,2020000702,5404,2.095684224194433,-149.74443972028274,61.21752759397656
11,2020002702,9440,67.54018511016842,-149.8834244105571,61.06983454965336
12,2020000901,5164,4.467475595853898,-149.83627103452585,61.21506680310478
13,2020000102,4934,183.6465832355148,-149.38048374620493,61.34008058634303
14,2020000701,7038,2.0513864086648663,-149.76734185629286,61.21735876663846
15,2020000202,6743,9.21084677340922,-149.53798078551324,61.328616211632045
16,2020000400,4816,71.818216442593,-149.81697779494183,61.271635961541115
17,2020000600,6955,3.850981505247428,-149.8371693416328,61.224863271209884
18,2020000204,3631,512.1147663365616,-149.21888535376368,61.18349989106792
19,2020001200,3945,3.226732114382546,-149.90949546002886,61.21211477036642
20,2020001000,3360,1.7499273686894372,-149.87598390685915,61.21028681566135
21,2020002302,4951,3.8792330721896096,-149.9334421170876,61.16201908956917
22,2020001601,4082,2.163841453794168,-149.82402442393115,61.20324623368224
23,2020002303,9792,4.203882021434648,-149.92877191816046,61.146083036914725
24,2020002502,5310,5.33643756197942,-149.8716631134296,61.15910246037394
25,2020001802,5065,3.1595692184806223,-149.82349858248182,61.17559668684194
26,2020001900,3408,4.483854184112051,-149.88054544209598,61.18390605542795
27,2020002601,4750,3.752897075466886,-149.8453935887279,61.15178888660933
28,2020001602,4562,5.153007496732389,-149.80671988913454,61.18979633364632
29,2020001701,6386,2.601939083350193,-149.76339746549542,61.18801856116384
30,2020002000,3598,1.3348922081309025,-149.90560584638698,61.188002190869994
31,2020002100,3174,1.6126708577210012,-149.9226984455645,61.18794819714541
32,2020002400,2935,2.0700186648022822,-149.92018052139528,61.176988980053636
33,2020001702,4755,2.628229832773441,-149.76319948975595,61.202457554466214
34,2020001731,6284,2.474168426019231,-149.73355639378104,61.202352852816475
35,2020002201,5038,2.1245809176388577,-149.95276474914334,61.18731239972694
36,2020001500,5328,3.371469864417295,-149.85235374759816,61.19154275489861
37,2020002202,2824,0.9221851042358472,-149.93760082912948,61.188549623799844
38,2020002501,5407,4.577741051640269,-149.89996586290366,61.15937992952329
39,2020001801,4671,1.7480554984862795,-149.848284948649,61.173881490487204
40,2020002821,4838,3.6019613856510477,-149.82263037123124,61.10157206150247
41,2020000500,1963,11.689365972851066,-149.91068400113195,61.23408397575862
42,2020002602,6292,2.654856730053875,-149.8197733760955,61.159343849590606
43,2020002811,6317,1.978662512668628,-149.84536637753706,61.13038896932797
44,2020002813,4645,85.15430127639583,-149.6405786058311,61.12111468268874
45,2020002812,7977,14.813124585777988,-149.80388035967422,61.12540296299349
46,2020002823,5327,96.47961770812648,-149.7050481760469,61.056878825709184
47,2020000300,8492,325.205164037206,-149.65710586357056,61.27624941491974
48,2020000101,5870,1668.2133039189728,-148.83269032766168,61.262449776296535
49,2020002603,5743,2.589140967262088,-149.81920710520345,61.144741499201984
50,2020001100,895,1.196914948589363,-149.89126141429747,61.2177088813894
51,2020002822,3922,10.861413619135613,-149.78226799686564,61.094821596305756
52,2020002900,2074,1544.085047097,-149.06826356311836,60.9617380979949
53,2020002301,7788,264.1420246235198,-150.1503260162852,61.14633155006324
54,2020000201,4743,3.385404614640338,-149.57486850073442,61.33096751480952
