node_index,ct_code,population,area_km2,longitude,latitude
0,48439121609,5975,6.511401993953964,-97.21280354507432,32.68992574108988
1,48439122200,1961,1.4681127592573064,-97.10819399306335,32.74035457568433
2,48439122300,4539,2.345097121008628,-97.10984170054262,32.73297279856017
3,48439122400,5534,3.3379888608433044,-97.11755913626753,32.72637522462959
4,48439122500,4205,2.414834787179963,-97.1402931814864,32.72805012910325
5,48439122600,4727,2.462799824328448,-97.1401558271506,32.71434551855347
6,48439121601,7488,6.273683290688072,-97.1570328471784,32.74365666720613
7,48439121604,5786,3.0789786671113912,-97.13844650879668,32.74895228583463
8,48439111402,5656,3.5845703098590005,-97.17001150256557,32.64202338100848
9,48439111531,4915,3.4795222489438875,-97.17746856615,32.668699125681385
10,48439113110,4643,1.7957728325938302,-97.09133901885973,32.76739332776263
11,48439111310,11213,6.150934877196633,-97.08955022021476,32.607924634073655
12,48439111547,19122,10.379628113582145,-97.08359678493547,32.6351381096123
13,48439121904,4924,2.256333310158646,-97.05847456327358,32.72127492866841
14,48439111553,4038,2.273726138111605,-97.13989735516597,32.68241604585318
15,48439122801,3993,0.9080366968751268,-97.11187706815836,32.71407485573549
16,48439111552,3539,2.633636041263579,-97.13938063986284,32.69368647255044
17,48439122001,4330,1.296767172141755,-97.07138559542773,32.724381768249046
18,48439122002,4796,1.3500094732816794,-97.07138110261074,32.73157339704341
19,48439113115,3384,1.0959949613646247,-97.06892095344664,32.77242938128984
20,48439122802,5345,1.7792678348260431,-97.10353315117433,32.713290305892414
21,48439121905,4893,1.2789458723543248,-97.07207635110912,32.70961456682524
22,48439113116,4538,0.8651353335611314,-97.06500035682883,32.779908045751036
23,48439121606,3385,7.620042163455976,-97.18819997880921,32.71922065147383
24,48439111523,9563,4.781119556956605,-97.07901170628375,32.68466312604755
25,48439111524,7864,3.94781061712015,-97.11078553381678,32.69823921410601
26,48439111525,6403,5.405362428059004,-97.11425777201231,32.68391287258555
27,48439111526,4633,2.1688008484951924,-97.13464279105095,32.70313544249658
28,48439111529,4290,2.1371450245553105,-97.17526865959414,32.69756505324215
29,48439111530,6414,5.086468877598418,-97.15070986560667,32.66698901165176
30,48439121903,6520,2.7971497950625266,-97.05006842937787,32.71772473073885
31,48439113114,4689,12.43805248785569,-97.07930286524238,32.79750464710471
32,48439111540,7340,6.115410253219419,-97.10114720491755,32.66477188021671
33,48439111541,3848,1.884912239911924,-97.10978448926906,32.6523006800965
34,48439111542,6777,2.491523512380161,-97.10879642381884,32.63565094748378
35,48439111543,7556,2.042118478066087,-97.12496440568589,32.65020993398587
36,48439111544,8534,3.7349244134200617,-97.12525226133012,32.63560534408001
37,48439111550,13896,6.023884541262558,-97.11951137830974,32.618980603429755
38,48439111408,3929,11.346256097959412,-97.19122439460071,32.619960617390035
39,48439113108,4657,5.541515271568247,-97.13645546225662,32.7700657764619
40,48439113111,4436,1.419273203373158,-97.10172784780822,32.76724875667657
41,48439111516,7151,4.347449801098809,-97.12451167756946,32.66614699241082
42,48439111505,4831,2.5056538563875628,-97.15750340047272,32.72842678592552
43,48439111513,4124,4.640647826719859,-97.07064361687272,32.663458847441774
44,48439111514,6820,3.531429855245297,-97.084214069118,32.663288074602555
45,48439121704,3544,2.1308892021876877,-97.10412189603767,32.75287674618181
46,48439113002,6981,11.032497248699311,-97.04749097341364,32.74198453030134
47,48439111522,7727,2.5986606444488265,-97.089163559292,32.69892161147064
48,48439113109,4438,2.490157123791964,-97.07589831314728,32.76587032505161
49,48439111532,7333,4.828985122505364,-97.19758895518157,32.65889331859573
50,48439111533,5748,3.232448337211395,-97.1488962433389,32.654396385487075
51,48439111534,6447,3.3797815002893348,-97.17819154403445,32.65481392644059
52,48439111546,6403,4.778558601486551,-97.17613773535322,32.68121441571884
53,48439113102,4604,11.732350214188273,-97.11764937906152,32.790991047328575
54,48439113104,3735,1.2549101151669466,-97.08843960562193,32.777832586840944
55,48439113107,2134,1.6637562396308594,-97.11902962643204,32.769750672347385
56,48439111521,8161,2.6858533251537264,-97.07171168522181,32.69872939989533
57,48439122900,8253,2.647932900888432,-97.08897772297064,32.71356242872542
58,48439113112,2155,1.525279568564046,-97.10980019649254,32.76901845836894
59,48439121610,2746,1.2938595770043615,-97.19429815711841,32.68772044911272
60,48439111407,3556,5.372690994264449,-97.14816143085744,32.62747122725833
61,48439111409,5541,4.605319192774047,-97.15439332111681,32.63594003433388
62,48439121906,4718,1.4008082196299023,-97.07125895763737,32.71695457278947
63,48439121605,3066,2.713179086755006,-97.125938488893,32.74738803484793
64,48439121608,5381,2.94842992553718,-97.18987863150915,32.70044692187609
65,48439121611,5129,3.0033765805554005,-97.21101888594998,32.67588124415973
66,48439121702,2470,7.018026579141181,-97.0814028948449,32.749826621896375
67,48439121703,5757,1.8846078033629745,-97.11526625764769,32.75139188150552
68,48439122100,7517,4.336610998302756,-97.08323120591831,32.73232311533747
69,48439122700,5224,2.592314571832573,-97.12346516115153,32.71396731817228
