node_index,ct_code,population,area_km2,longitude,latitude
0,13121000500,5219,3.3071510175474432,-84.38522264601866,33.79656487522303
1,13121001300,4421,1.3169697041584405,-84.37156990454966,33.77619333143312
2,13121001400,2345,0.7229708326419508,-84.36226337704318,33.777078432040675
3,13121001500,4617,1.132456362264852,-84.35398811312791,33.77648117005105
4,13121001600,2237,0.9243684622383744,-84.35553915007955,33.76759818107034
5,13121001800,4281,0.9169816698596156,-84.37807178591848,33.76634446879789
6,13121001900,5064,1.016032821782774,-84.38733757133025,33.76618086230428
7,13121003600,1254,0.3938839086526612,-84.40292327202,33.75187311035249
8,13121006601,1755,1.9705541149242332,-84.42245687143719,33.71143572469752
9,13121006700,3966,3.4118708731203857,-84.39116852293488,33.70735908925259
10,13121009300,5298,2.447866761084576,-84.38017346879487,33.82160297799021
11,13121009402,5537,1.3598910528481325,-84.3649299447347,33.82199685471952
12,13121010002,8716,6.361343210430402,-84.35771312045058,33.86849696959674
13,13121010001,4923,4.083737118589126,-84.37347285267953,33.863491811016466
14,13121009802,4553,10.739851146098594,-84.42513523416262,33.86601824850753
15,13121006801,2287,0.6606427878813145,-84.36778842667876,33.710292398155154
16,13121009700,3846,10.872712037544826,-84.44355617427127,33.84367591942994
17,13121002500,2814,0.8721983024004095,-84.41266127097713,33.75907443155978
18,13121007100,2751,2.47792919281186,-84.35465543328999,33.69635726715307
19,13121007200,2136,8.967641438183756,-84.36731997768446,33.65967727313805
20,13121006200,1725,1.0402902491052954,-84.42173049090847,33.728483004340006
21,13121001100,5193,0.4711365325550434,-84.38301692185331,33.78416327835665
22,13121007300,6824,7.671173981568791,-84.38099348129703,33.671828624922156
23,13121004200,2477,1.24741088939624,-84.41818546574487,33.73904234365644
24,13121009101,5630,1.720259658013987,-84.3969861507069,33.80937524961699
25,13121008904,5155,3.06515978822956,-84.43493392777722,33.820218125042494
26,13121003700,196,0.0905784847451492,-84.41013307976344,33.748988272512634
27,13121012000,3311,2.302195286870962,-84.39282299252092,33.73614034294253
28,13121000600,7952,1.4598493928045717,-84.40582781174527,33.78497146221383
29,13121001700,4911,1.247834940805557,-84.36719523960998,33.76590235343751
30,13121009000,5341,3.184745324337813,-84.41142375271025,33.81325821323132
31,13121007002,2651,4.3810017975909314,-84.3677427068661,33.69355459367584
32,13121009900,5213,7.814986872344759,-84.39486519906536,33.85990236486469
33,13121000100,5410,3.3485509085334817,-84.35487746277498,33.799033295186305
34,13121000200,6175,2.878575399626145,-84.364198758716,33.791632857598934
35,13121000400,2047,1.605176716229036,-84.37824378112364,33.78853724548905
36,13121009502,3867,1.8680807783574176,-84.3860682699846,33.841987702098
37,13121009602,5514,2.375923309152808,-84.36142724823804,33.844094173433476
38,13121009404,4484,2.0697991878445645,-84.35252161358414,33.83846307611958
39,13121009403,5268,1.1785845613378774,-84.35990754613857,33.831594467694686
40,13121011800,1867,1.8925252364020333,-84.40878715333824,33.770899414628644
41,13089980000,0,0.7408703893003008,-84.30226058466428,33.74256724405187
42,13121002900,2425,0.7148816165775068,-84.36934912263615,33.75800532140421
43,13121006602,1248,0.634878655397424,-84.42866240097042,33.7186105225381
44,13121009601,2631,0.8220588153334534,-84.37770690410495,33.846391613577104
45,13121009603,4830,1.8783503123155647,-84.37575719420202,33.834370460917775
46,13121009801,4746,5.68147755876299,-84.41779449408698,33.837054521666325
47,13121011900,3517,1.5073350359027975,-84.38251352403634,33.75388393344749
48,13121009102,3344,1.6096195881849156,-84.38621798236778,33.80901007979089
49,13121001202,5206,0.4812267956299297,-84.38515562911535,33.77678402851132
50,13089020802,4411,2.7417664499934977,-84.30207038008814,33.74693397439329
51,13121001201,4527,0.5673974321195254,-84.38030489646496,33.7763742367039
52,13121001001,2904,0.9352532045667662,-84.39163953428698,33.781125114177094
53,13121008903,2250,1.1596122391617325,-84.44387566728929,33.817264210264696
54,13121004300,2846,0.6144218951244719,-84.40910764908818,33.745361941978686
55,13121007603,4565,3.153495864871425,-84.44038297306662,33.70650948308534
56,13121007704,5878,6.832878036695118,-84.48812442562611,33.707786069130016
57,13121007604,2575,1.1189264590038803,-84.46547269919745,33.70106163454591
58,13121007703,4463,4.531670491136044,-84.50725081388686,33.70327002332133
59,13121007706,9597,13.353187851441076,-84.52026518596091,33.673549147662335
60,13121009501,3706,4.52832754299137,-84.39726779445705,33.82929003535172
61,13089020700,2634,1.2648920228680849,-84.32498406807645,33.75389595260528
62,13121008902,8007,7.1333586296086295,-84.41875283301142,33.79815989525614
63,13121007705,4043,3.32347336617806,-84.49118252502844,33.68296523854118
64,13089020400,2701,1.012308806731942,-84.34433919198214,33.76607273621462
65,13089020500,3161,1.6862500633441129,-84.34161931563371,33.75265861657
66,13089020600,2050,1.107283976605182,-84.33568217503704,33.75761716783541
67,13089020801,2509,1.3856215286366929,-84.31622205200298,33.75585076323366
68,13089020900,5927,4.354289299047897,-84.33688995303643,33.736504448296174
69,13121001002,7305,1.7633982900512952,-84.39951234776211,33.77635375883124
70,13121000700,3339,1.7394532191108998,-84.42331052873213,33.7799603244541
71,13121008700,5781,7.788845172321701,-84.4589720700748,33.79484769761399
72,13089020100,1997,1.1057899349630618,-84.34432065952247,33.79893990322632
73,13089020200,1881,1.5286113638680725,-84.34026665898566,33.77560644343116
74,13089020300,4476,1.9393936027846612,-84.32950092215266,33.76598560703938
75,13089022402,6698,3.600379760946031,-84.32149141176308,33.79793839442433
76,13121006802,2235,0.7258372489999487,-84.36096625895145,33.70428538636382
77,13121006900,3483,3.150780713855151,-84.3587699097216,33.71831384249339
78,13121007001,4539,4.56282166523414,-84.3889410558527,33.691384409752686
79,13121007400,3412,2.325714305813876,-84.40709350227986,33.67891022978777
80,13121005000,2586,1.360056677480613,-84.36509538170216,33.74208051226179
81,13121007602,2570,3.36994169770723,-84.46215481594945,33.71090130222529
82,13121002100,2409,0.7763818521368949,-84.39480764804246,33.765515834156865
83,13121002300,1268,1.129109018393579,-84.41863744249441,33.76724970373425
84,13121007802,10961,13.6176125174324,-84.53016460118471,33.71112208369688
85,13121007806,7234,5.015249768674982,-84.51544993363667,33.746205998677894
86,13121002400,2902,1.3522461586711656,-84.42480892904854,33.75866978436155
87,13121002600,1672,0.9563009471105872,-84.40262850662441,33.7587937019434
88,13121002800,5231,0.7480758746226349,-84.37939904227284,33.758086971837955
89,13121003000,3630,1.1851542266490127,-84.35744980864723,33.759003704336266
90,13121003100,2051,0.8757898526571467,-84.35304460204662,33.7520807834919
91,13121003200,2389,1.0639396372853716,-84.36509591894671,33.74982327309848
92,13121003500,2074,1.406164495303116,-84.39165669093326,33.75094440947553
93,13121003800,4283,0.8347673229532676,-84.41202298270728,33.75082856849805
94,13121007807,3404,2.898746050667581,-84.49686172697835,33.76245073392251
95,13121007808,4580,1.6308941684097713,-84.49986322703859,33.75163297447989
96,13121007900,5210,8.452052711570714,-84.49155652664714,33.73228748970818
97,13121008000,5529,5.912369211476501,-84.45558137803175,33.72453215608886
98,13121008102,6647,7.2331126754016815,-84.46883379141212,33.74631511409239
