node_index,ct_code,population,area_km2,longitude,latitude
0,6029003206,21438,50.47262864107446,-119.07136288304687,35.266757051457084
1,6029003205,10285,4.078297880942917,-119.04270049930015,35.28850164761807
2,6029000507,3736,17.50428156536502,-119.06302563289029,35.38743836154566
3,6029000600,7491,4.607754786187641,-119.01352392512449,35.394119593214604
4,6029000800,5451,2.3317312030519446,-118.97597135810616,35.40411121407177
5,6029000903,4046,1.6555958838930422,-118.95506244197469,35.4034052498238
6,6029000904,4667,2.2792336200580667,-118.9584295965012,35.38946225282353
7,6029000908,5104,2.0833404226491647,-118.94142074889689,35.402110011438744
8,6029003114,7835,3.502432374265003,-119.0445781256874,35.302918394237764
9,6029003115,4816,1.663274671014615,-119.02695309545777,35.3035415264644
10,6029003121,8339,2.6629800874527816,-119.01212736942226,35.317668256903886
11,6029003122,7970,2.6634833632129347,-119.01214073925321,35.30314387774843
12,6029003123,18877,9.265542484775242,-119.09868022871422,35.30506227627468
13,6029001300,7114,1.963269398916564,-118.9880772248133,35.382269629260975
14,6029001500,2586,2.352332732206907,-118.98906432106915,35.37224729387933
15,6029001600,1967,3.6018777742414865,-119.01539437592358,35.37695566914223
16,6029000902,3411,1.3255755382365555,-118.9631280700804,35.40501651718556
17,6029002200,5633,1.9333199563416357,-118.98791515290718,35.36132124512643
18,6029000910,11403,38.35296369816744,-118.90675189413925,35.41388099129605
19,6029002820,6506,2.6830511749717214,-119.11875161926939,35.31807913254224
20,6029001700,3739,3.6874042128484734,-119.03312082525444,35.37896588152418
21,6029001801,5614,2.487327654749997,-119.04950288790806,35.3601531699933
22,6029001802,5613,4.992357024690804,-119.06789521116652,35.36309674827069
23,6029001901,3697,1.7287962548226576,-119.03478619885611,35.360826766131595
24,6029001902,4595,1.711053367552904,-119.02416775349863,35.36046393413394
25,6029002100,3190,1.438065998945678,-118.99853120274186,35.3604082553308
26,6029003103,4084,4.8427933722365,-118.99452679019997,35.30956558088209
27,6029002000,6941,2.577506326775943,-119.01092883516547,35.36042738390301
28,6029002400,8384,39.38249027838378,-118.94906914376857,35.32388252845945
29,6029002500,9052,6.210975653731939,-118.99202811812619,35.3372540923417
30,6029002600,3477,2.264909835781529,-119.0117158502297,35.34573387606705
31,6029003124,6123,3.9725976724913368,-119.06556349889286,35.30706535088162
32,6029003805,9244,4.182726895689717,-119.11999528754889,35.41022143910324
33,6029003806,5167,3.659740389745429,-119.10141969888072,35.40949073961546
34,6029003808,4495,2.832279396044741,-119.10065316525636,35.39143291541989
35,6029003812,4405,4.626183017121383,-119.10275285933275,35.370640642387166
36,6029003813,8070,7.184087059153176,-119.13912042542486,35.3616733634425
37,6029002804,2510,2.387936151426026,-119.06782147017634,35.34491343599164
38,6029002806,2112,5.224743892715386,-119.10573995377781,35.350225223390446
39,6029002807,3713,3.1414729017765946,-119.08257871293333,35.345787866928966
40,6029002808,7110,3.6287341223142526,-119.10124753255222,35.33073966154492
41,6029003203,2260,1.698449685481847,-119.15146577053721,35.35103318434515
42,6029000503,8331,10.38558444677297,-119.09860083616226,35.429993249350886
43,6029002811,3437,3.802019185078124,-119.12011834074964,35.337140480589404
44,6029002813,4412,1.6020736289751314,-119.05063007871865,35.34310992237341
45,6029002814,4038,1.4373445803448337,-119.04960399452801,35.335942510282834
46,6029002815,4006,1.3083340403097568,-119.04810277090684,35.32863359205532
47,6029002816,5837,1.658073119276385,-119.06175639516168,35.32646087346144
48,6029002817,5373,1.440627943069456,-119.07011099723636,35.327375448131995
49,6029002818,4050,1.7413102238852058,-119.08522874984891,35.33234579582326
50,6029003804,16789,12.01822615321416,-119.13679356483166,35.41569740202966
51,6029002819,4782,1.651628221868399,-119.0823050502804,35.32304397903079
52,6029002821,4850,1.808602876430111,-119.10214781875153,35.31628926373186
53,6029002900,7424,2.6762179083610924,-119.03034226066738,35.332284272871945
54,6029003112,5221,3.012019506218081,-119.04649711485979,35.317421266084985
55,6029003113,4993,2.2226689507024244,-119.02883512979571,35.31797474159122
