node_index,ct_code,population,area_km2,longitude,latitude
0,22033005000,3181,3.578719113672392,-91.12451414792622,30.38156110334558
1,22033003802,5558,5.3321916318883575,-91.0858923400447,30.421846253236456
2,22033004011,7048,18.91504643651645,-91.15102724365777,30.363594825155996
3,22033003701,6538,4.970786764077127,-91.0787114017388,30.444500766579225
4,22033003506,6967,7.635353101962159,-91.07990222540215,30.479648676511914
5,22033003702,3696,2.620056696974608,-91.06347879168972,30.44802534155584
6,22033003703,6117,5.08343658301198,-91.04650078625214,30.4506004126109
7,22033001600,3281,1.902084457423164,-91.1606735783243,30.445777162734068
8,22033001800,2257,1.8452494595095688,-91.12540665915749,30.448123201928993
9,22033002000,3497,5.226430557407675,-91.09891716702919,30.440613638557835
10,22033003604,5716,3.049573504917311,-91.04682202609737,30.46700526194759
11,22033003601,3292,5.741679863411201,-91.08763167861771,30.463935294327616
12,22033002200,1226,0.9393910136281624,-91.17400809293456,30.435791281299466
13,22033002300,2444,2.0581574333760604,-91.1590426233064,30.432878293859808
14,22033002400,2603,2.3939344232385364,-91.19049423777575,30.4257447741895
15,22033002500,2751,1.35811948182284,-91.17455953166893,30.425820302911088
16,22033002602,4397,5.601627884510361,-91.13083632371878,30.40265373420767
17,22033002700,1605,1.6150616491676404,-91.14498103327426,30.42588242617468
18,22033003101,4381,4.095253779911675,-91.17846323662914,30.53339951965825
19,22033980000,0,3.1401253770135096,-91.15083546409113,30.533038673179586
20,22033003103,1123,3.415546636095045,-91.1599185700843,30.534283121216028
21,22033003909,5231,3.569476929473335,-91.06448995724435,30.42670424242097
22,22033004014,10563,33.54424657478424,-91.20255469435702,30.368089224097087
23,22033002801,2211,3.568198948746549,-91.18988397246555,30.41287066434968
24,22033005300,3018,2.6461173899256263,-91.17348312730812,30.448994966377743
25,22033005200,1883,2.62696835495549,-91.18717056636451,30.4391753312934
26,22033004013,3028,5.090003717187897,-91.19244506628563,30.39758870715511
27,22033003908,3833,5.784957175414895,-91.02653443381976,30.421660946018328
28,22033001900,2830,2.9984884210807494,-91.12442552859879,30.439980723369747
29,22033004800,3777,2.191173612065541,-91.16441851604577,30.400873817247433
30,22033004900,4659,4.859255692102208,-91.14148395966001,30.391407695819716
31,22033000200,6717,3.893643475670457,-91.13772506925362,30.498356548910138
32,22033000300,1615,1.742199161397873,-91.16226207753553,30.49412051217905
33,22033000400,2623,1.7313464798252716,-91.14856969930183,30.49268622410885
34,22033000100,1661,1.916261157038657,-91.1609183389369,30.504428890147672
35,22033003300,4634,4.551873709743771,-91.16397598921296,30.515872356065284
36,22033003904,6145,3.152302763886841,-91.03872771976414,30.43926929472168
37,22033003907,5919,3.611348220331728,-91.04438274298212,30.42185429810229
38,22033004005,6064,5.991562147750835,-91.10767455489184,30.378424340153543
39,22033005100,2776,5.954204390679851,-91.18340374627702,30.461124058944964
40,22033003400,7987,4.491586757717919,-91.13494952465763,30.51533306005292
41,22033002601,4244,3.9326938609088407,-91.15653394133278,30.416761637085134
42,22033000900,3876,2.162273768456501,-91.16133656806666,30.46187621739594
43,22033001000,3346,1.9676069807034768,-91.14728425376853,30.45955406183038
44,22033001102,3400,2.820425396110521,-91.1089635871615,30.46142652923541
45,22033001103,3075,2.347057058440171,-91.13381784270976,30.460592577733728
46,22033001104,4141,2.5829772691678685,-91.1216768319647,30.46015330849796
47,22033003603,2293,2.062447273279852,-91.06495809254051,30.464796264968005
48,22033001700,5529,3.618903691707097,-91.14568930102664,30.442325013521565
49,22033003801,7465,11.118321076860562,-91.11911067846819,30.41891029705501
50,22033000500,4009,2.3220960846306733,-91.16270520406674,30.479146913440008
51,22033000601,2657,1.5013576641306945,-91.14865042985673,30.48303086770194
52,22033000602,3942,2.260094965284291,-91.14815248943391,30.472036935308754
53,22033000701,2325,2.117549871368959,-91.12918227207994,30.483507658163425
54,22033000702,3233,2.562139226751889,-91.12593202420648,30.475030065272943
55,22033002802,3851,2.738923636573443,-91.17082685163291,30.412264580959864
