node_index,ct_code,population,area_km2,longitude,latitude
0,16001001900,4896,2.850148334301867,-116.26783425121988,43.59242172122379
1,16001002000,4642,4.46137992536221,-116.25941138086743,43.60634023227241
2,16001002302,8267,5.923517076245594,-116.28477584261333,43.617224476577654
3,16001002310,10618,6.584960426841605,-116.32433656203338,43.61565772610299
4,16001002410,8187,4.586940009860876,-116.29285751972792,43.64645162763973
5,16001002413,8596,4.934281529280798,-116.32459504876611,43.64764088459286
6,16001010223,7057,6.748383186005974,-116.29567393554612,43.677563834830224
7,16001002100,1906,46.61323692346538,-116.22247555451932,43.55000309669312
8,16001001201,3341,2.134124490353907,-116.26623811086229,43.63316063454512
9,16001001000,7250,4.425598575220845,-116.22806127530755,43.60874074227382
10,16001001202,6770,3.32109610963484,-116.26116596658977,43.61980567205641
11,16001000100,3695,4.286757777040556,-116.20763140664627,43.61625783804466
12,16001000302,3375,2.051913215845389,-116.24415887027538,43.65462630299348
13,16001000803,4320,2.3609683878739243,-116.16195713411707,43.569024864309434
14,16001000900,6519,2.6403599215283093,-116.20001145626735,43.59526946678726
15,16001000802,5625,2.8131955604509327,-116.18420549614487,43.57799343865907
16,16001001600,4769,3.134351778358756,-116.2049937671978,43.57813985256741
17,16001001800,4470,3.614629942881877,-116.23767003484929,43.58049701114459
18,16001001700,6661,2.0748871379268885,-116.22236510718089,43.583749753096086
19,16001000702,4458,16.51469474779691,-116.14593765740169,43.595198767602255
20,16001000304,6600,4.135530113719739,-116.26499448649604,43.668510879521534
21,16001000805,3217,2.8974257028327526,-116.15546645644831,43.575583270910464
22,16001010504,6747,7.671075388480348,-116.13450438465297,43.55557393314427
23,16001002224,6374,7.356684723061456,-116.29504510758268,43.58602274895917
24,16001002313,4212,3.9808229250630793,-116.30421473205493,43.608444360558515
25,16001000701,5659,2.869840319439939,-116.1807477631225,43.60703429750716
26,16001000201,3405,14.231538986400274,-116.17323048723385,43.631420532790436
27,16001000804,6938,3.1067482593710776,-116.18083679166212,43.59177777111968
28,16001002223,4985,3.9291348875657177,-116.32425269391679,43.58657127111812
29,16001002312,5398,2.600544805282759,-116.30424851306614,43.62668180195113
30,16001000500,6156,3.0928627164074447,-116.2232450532181,43.640427153272654
31,16001000600,5377,2.1142829216291954,-116.20438640075201,43.630756961515324
32,16001001500,3821,2.562079886657587,-116.21833155356151,43.594852557122124
33,16001001400,5564,2.6463558723891576,-116.24359832781825,43.59718596749264
34,16001002411,5289,2.6115754649707688,-116.3042466696468,43.641197045969115
35,16001000400,5963,3.887796663739777,-116.23430989997819,43.634934563686805
