node_index,ct_code,population,area_km2,longitude,latitude
0,4013811200,2871,2.703573660237405,-111.8852409749219,33.29868214511982
1,4013811400,5067,2.5889497005797497,-111.81547147861465,33.313597426664714
2,4013811800,2203,2.730195027429721,-111.88486988690114,33.283699721532535
3,4013811900,5970,2.7386738857415134,-111.86744762139695,33.28384934940756
4,4013812000,4989,2.639935121957443,-111.85015977393329,33.284066999303334
5,4013812200,7472,5.268218349930228,-111.87594272719508,33.26888008505134
6,4013813800,2629,2.58972824916336,-111.81513753094471,33.211667943450834
7,4013980500,0,3.58429446193813,-111.88633086718397,33.243924769895244
8,4013980400,13,3.915504071549531,-111.95879093863502,33.29807361198677
9,4013522904,4795,1.307261216215515,-111.8284703129153,33.31345973303236
10,4013523006,5910,2.598526862842877,-111.86773855376873,33.31331079626258
11,4013523102,5540,2.6001712632130065,-111.83288611105773,33.29890202512536
12,4013811300,3045,1.3041376976434698,-111.81543206738596,33.324428311029834
13,4013812100,6662,4.382827786643015,-111.81354207006414,33.28754750323266
14,4013812300,4909,2.5572692715464336,-111.85001932519923,33.2692571239612
15,4013812400,5207,16.552254088545368,-111.81879810049301,33.267459751268504
16,4013812500,2246,1.1502232248150854,-111.78432374182555,33.26887900665096
17,4013812600,5273,3.8610641990440207,-111.87321510809961,33.254692587777264
18,4013812700,6544,2.8846412216661177,-111.85115429942854,33.25422795927115
19,4013812800,7052,5.120510901984159,-111.78970295728574,33.25561213662595
20,4013812900,2840,1.922043051275965,-111.86923006536679,33.239071906656264
21,4013813000,5168,5.853658111120276,-111.85126439995707,33.23408840259548
22,4013813100,3563,2.613067435664684,-111.83263226290055,33.240430952022976
23,4013813300,5824,5.144592114731878,-111.78959082377729,33.24102482446729
24,4013813400,3570,5.2201043477641225,-111.83256335440196,33.21861973041924
25,4013813500,3302,5.221415986798183,-111.80667326382454,33.22628178261365
26,4013813900,5662,2.5721210778787045,-111.7977869159134,33.21191202607587
27,4013814000,2573,2.48299373882435,-111.7808711688076,33.211950538894484
28,4013814100,5222,2.5613901358593787,-111.76402214577294,33.2119669833118
29,4013813200,3958,2.5827457382905585,-111.8153055435539,33.24073438983301
30,4013422304,2843,2.712031334568033,-111.83627334369969,33.346859643938195
31,4013523002,5676,2.6460984794939524,-111.85030944119062,33.31335497308439
32,4013523003,6678,2.606129339936367,-111.85038838619023,33.32786236095701
33,4013523005,4741,2.593315662329263,-111.86776841115461,33.327865627124645
34,4013810300,6097,2.593001970727163,-111.88505095517482,33.32767054641278
35,4013811600,4451,2.5987511949460447,-111.81557004252923,33.299027251903674
36,4013810400,4891,5.401682623279959,-111.9588401493591,33.3154242407372
37,4013810500,4557,2.932226563110757,-111.93746151475028,33.31374057101337
38,4013810600,6635,3.5618003941282472,-111.91932761960554,33.31549563342654
39,4013810800,4330,2.7135119655674464,-111.88539287734801,33.31318837527147
40,4013810900,6128,2.7190292877647373,-111.93657424181558,33.29819694586688
41,4013811000,2898,2.452680099695616,-111.91937070033701,33.29813681784381
42,4013811100,2977,2.537618167719274,-111.90262650783635,33.29829273504039
43,4013811500,2606,1.3231209675619733,-111.79832265821871,33.31021566101132
44,4013811700,4438,2.574408539474933,-111.79841268571441,33.299144279797886
45,4013422218,2765,1.2868512392910445,-111.88518821104644,33.353042763359234
46,4013523103,5751,2.616960500291992,-111.86761059384787,33.2987238771114
47,4013422209,6660,2.61303355716047,-111.85040070869515,33.34241869835755
48,4013422210,5292,2.6110410628539142,-111.86772111103842,33.342381110903084
49,4013422211,2633,2.5618513681464274,-111.88503708780767,33.34224660997922
50,4013422219,2922,1.287736937820118,-111.86780126131222,33.35323616035721
51,4013422220,2008,1.2725552326900431,-111.85045692562626,33.35329101214569
52,4013810700,7068,2.512820203914884,-111.90280246522553,33.31290453085405
53,4013810200,3905,1.297888519914072,-111.90252113665073,33.323861024537926
54,4013813600,3877,5.109092979201683,-111.77235967878133,33.22648620068467
55,4013522903,4765,1.3001104427633736,-111.83716423633602,33.313451565510064
56,4013523104,6136,2.614348294686635,-111.85022231035653,33.29884177505009
57,4013522901,4387,2.618638719977002,-111.83289647467916,33.327954192245144
