node_index,ct_code,population,area_km2,longitude,latitude
0,6073013307,4780,1.3082134694804315,-117.05029670096857,32.59880247973475
1,6073013308,3669,1.6096262240767194,-117.04906487658856,32.591756131709595
2,6073013309,6733,2.5068469555284096,-117.03375030632982,32.61831302912142
3,6073013311,11136,3.48548772907598,-116.9603940442777,32.63902074110016
4,6073013312,2549,0.8548317557761437,-117.03261008083271,32.60098680155701
5,6073013401,4374,2.3069855834395594,-117.05620495172144,32.63528936314842
6,6073013409,5421,2.672798841065428,-117.0359059960127,32.63321285125229
7,6073013306,4517,1.324965752418477,-117.04003272430988,32.60365587615049
8,6073013206,7185,1.5890482625875286,-117.07225017544079,32.59918765873627
9,6073013301,5205,1.7011748435545595,-117.05104833636024,32.62386508342179
10,6073013302,4773,1.39972332965885,-117.04866834583069,32.61552216484888
11,6073013303,5111,1.3823415491156423,-117.05023044947046,32.60776347954946
12,6073013411,5160,4.772595537418756,-117.01301334831237,32.66022400220238
13,6073012501,3283,0.4610895837568886,-117.09369778671199,32.633593857955674
14,6073012502,4330,4.349859205711162,-117.10940217757759,32.64082902140448
15,6073013420,3468,1.93331321113723,-117.0212310226533,32.64000178278947
16,6073013419,8876,5.812414984239656,-116.95258925993448,32.6538463399869
17,6073013414,7428,2.868952794290893,-117.01275781353341,32.63115034394942
18,6073013415,1302,1.1606100157552963,-116.99834434418833,32.63837442381766
19,6073013416,4261,2.2056408920333657,-116.99349355368884,32.6481407920045
20,6073013417,2071,2.013808681360576,-116.98448635382712,32.65904004918879
21,6073013418,6698,1.8546926537253683,-116.97811406916732,32.64972786682485
22,6073012401,3539,1.5087053174667,-117.08912938509276,32.652231192299816
23,6073013412,4691,4.693209796151673,-117.03874313865396,32.649913912572366
24,6073012302,1708,0.3873200914794155,-117.08029299645028,32.64094464000548
25,6073012304,3696,1.2323172111156415,-117.07011907603015,32.64399234225958
26,6073012402,5107,0.8968789862452138,-117.08789619735326,32.643059234466776
27,6073012600,4798,7.156290301859062,-117.10455591751351,32.62218203539442
28,6073012700,4868,1.1591475242988931,-117.08511246202664,32.634131542610156
29,6073012800,4406,1.034930493556651,-117.07099313498621,32.635846240929446
30,6073012900,3471,1.3724225429868313,-117.0676038839285,32.627420309349894
31,6073013000,6061,1.6273328574695571,-117.0798163469486,32.624844114844876
32,6073013205,2431,1.781813622004543,-117.08291214369795,32.59692808059731
33,6073013102,6385,1.986978534753752,-117.06572712717569,32.616660542040734
34,6073013103,2506,1.961190342168664,-117.08894948477244,32.60955261966292
35,6073013104,6473,0.9778913667829172,-117.07794907826312,32.61312759178374
36,6073013203,5992,1.115936817225561,-117.06421373767122,32.606780408854185
37,6073013204,3970,0.802290709740579,-117.06370492462163,32.598282493457596
38,6073013421,4488,2.4764043936150304,-117.021010913075,32.64536745700187
39,6073013314,22349,17.592655750788182,-116.94710963625849,32.61858785791657
40,6073013310,31118,8.50302947276417,-116.99778533516094,32.626190331878796
41,6073013313,19689,18.89863348045928,-116.99272618727372,32.60475187334116
42,6073012303,3242,1.5640594763413176,-117.07574514440452,32.65121614465058
