node_index,ct_code,population,area_km2,longitude,latitude
0,39035122100,3421,1.6150453762878,-81.5560578085012,41.44509501103763
1,39035122200,1842,1.88414040406058,-81.57248801865074,41.435536123243395
2,39035123100,2459,1.1808624876069926,-81.80621907524474,41.46550476112691
3,39035123400,3746,2.520838630610873,-81.81722033576331,41.45904839918657
4,39035123501,3937,2.025150691917559,-81.77858284577151,41.46401315224426
5,39035123601,3210,1.2767921616443765,-81.81274906143423,41.43972801901717
6,39035116200,703,0.4715289278890882,-81.6113611289098,41.54394678537875
7,39035112600,838,0.3142050568124432,-81.62470460749086,41.51282838292884
8,39035120702,1726,0.6223824042410839,-81.59215284835798,41.45901307998492
9,39035116800,2155,0.8217189421684316,-81.59553546951788,41.53728602499164
10,39035106800,3044,0.5992421356824641,-81.7026816593542,41.43610498313214
11,39035124100,6069,1.1532764907007893,-81.77402039471676,41.45432354106023
12,39035119702,1680,0.5296108629707188,-81.59741779705149,41.475411051396506
13,39035106500,2622,1.295736241986286,-81.72494393264516,41.426109408228804
14,39035118800,2779,1.1587612497761268,-81.5983744230508,41.50894543640398
15,39035120600,2474,0.910793744984679,-81.60382254544544,41.46228315208721
16,39035115100,1317,0.3213553185448611,-81.6477298319276,41.45626343253534
17,39035103400,2369,0.6614230921665859,-81.72602048067029,41.48019979628131
18,39035105500,2264,0.4285604483946391,-81.70486783344772,41.45454616907698
19,39035119402,1513,0.4223073996769165,-81.59912642784502,41.480920015374046
20,39035111500,1040,0.3207667047975123,-81.64619787029959,41.52160695978261
21,39035121401,2088,0.7823325224562584,-81.59205578316522,41.44764528210248
22,39035114100,894,0.7935117072671211,-81.63276103374547,41.48993262045214
23,39035101300,1830,0.6267754357343003,-81.76406241280274,41.48052788422561
24,39035123900,3246,0.8531504709285247,-81.78456724911321,41.4525239830205
25,39035124300,4423,1.463832436534586,-81.78520537865911,41.44081022210063
26,39035123602,2752,2.293815024672184,-81.83023107034514,41.44074172680726
27,39035123603,3090,1.599583277406284,-81.81105860520171,41.44829376937752
28,39035123700,2678,3.490714817300524,-81.83960819259839,41.42701726510647
29,39035124202,1673,0.8759346696308895,-81.80011386623448,41.436059674462896
30,39035124500,3958,3.570509181959465,-81.80343897917699,41.42704111856246
31,39035124600,3677,2.820758455951995,-81.77823951539855,41.42726269404523
