node_index,ct_code,population,area_km2,longitude,latitude
0,6001441402,5407,1.6345121999660537,-122.03987304526257,37.58237930363161
1,6001441521,6175,1.7112941159828194,-122.0532584367366,37.572930006819035
2,6001441522,5233,1.3072286082278095,-122.05725457277619,37.58455935969761
3,6001441601,4982,1.2916447588032225,-122.03053721432804,37.563500663684394
4,6001441602,8113,1.682081866075136,-122.02123418640197,37.556961882880216
5,6001441800,7543,2.038653745799334,-121.99157445781572,37.559196795175744
6,6001441921,3909,0.8468073670280478,-121.9678075559045,37.54242229340548
7,6001441923,6250,1.5067227742646152,-121.9850085637392,37.55097311546079
8,6001442100,5462,1.8368460558576176,-121.94986198087238,37.54827238621737
9,6001442400,6822,1.582833735660616,-121.97377941776597,37.53138056755334
10,6001442500,7374,1.9598209651216596,-121.98714717345713,37.53714395009655
11,6001443105,4785,3.2894258869058954,-121.9322560134653,37.5218355244007
12,6001443321,3368,0.5588745093138348,-121.92428592231396,37.490270347431824
13,6001442302,6366,0.9514986975087908,-121.96012050219767,37.53625137645992
14,6001441925,7291,3.2677218323521555,-121.96362228930015,37.55297263622149
15,6001441927,4492,0.6501319178664006,-121.97657698606542,37.54650206848522
16,6001441926,4595,0.4086892927192297,-121.97871030260612,37.54080033640593
17,6001442301,5496,1.4290518087944966,-121.96151641659469,37.52782260044631
18,6001442601,4160,1.181575838009371,-121.99766150443348,37.544306050559584
19,6001443104,5620,1.847044261551964,-121.92668670755347,37.53137743477869
20,6001441524,4215,1.6807354438203022,-122.05069290607446,37.55947804166655
21,6001442602,5059,1.3206104933231777,-122.00498362356477,37.548191631565125
22,6001443322,3308,1.1482790093211066,-121.9198351615555,37.48298300886432
23,6001441523,4418,0.4670646138372804,-122.04648823200836,37.56477644102046
24,6001441503,8013,90.05748825006972,-122.02815262419995,37.50427934448855
25,6001442000,3419,8.126487365491977,-121.93510680160063,37.55925396794078
26,6001441100,4625,15.151076309526124,-121.96205724216034,37.5852993125622
27,6001442200,7473,4.21075939303079,-121.94216391992462,37.534565468580624
28,6001443200,4053,13.659473157470131,-121.89642194301408,37.4871115815279
29,6001443103,4107,15.523359418863546,-121.90280209531309,37.527353293825094
30,6001441924,7481,2.184642145083185,-121.97324955610823,37.56476590891989
31,6001441200,7277,3.2532318122713004,-121.9888606684709,37.5772104390165
32,6001441301,3301,3.293431846015951,-122.00265806716003,37.57172516460164
33,6001441302,5937,1.9946687720891365,-122.01943458622758,37.56934261739776
34,6001441401,8082,1.888870714976957,-122.03767572480582,37.5735682900938
35,6001441700,8527,2.229711093252853,-122.01163013328028,37.553207163245034
36,6001442700,3048,1.2340333841688962,-122.00810942975657,37.53715138139849
37,6001442800,2952,1.27864711120978,-121.99310023288518,37.52936186428909
38,6001442900,7761,2.0665254550336725,-121.97483692397735,37.51840932468274
39,6001443001,2891,0.7687316748009405,-121.95152367044295,37.51842176882403
40,6001443002,6930,1.5803183681164672,-121.9605916354581,37.51683435282734
41,6001443102,5065,2.367415179261876,-121.92714856335208,37.50722450980307
42,6001443301,4355,1.577677560385096,-121.91295563042671,37.47073250978503
