node_index,ct_code,population,area_km2,longitude,latitude
0,6019004406,5328,2.5099338780215343,-119.77444529125482,36.84481232420194
1,6019004503,5176,2.533021107570454,-119.80832144739486,36.82993437162256
2,6019004504,5245,2.583352185569144,-119.79030336648036,36.83016892870737
3,6019004505,5425,2.5785674855121967,-119.79036425093767,36.81571027743073
4,6019002501,4720,1.308382428588967,-119.76347006427928,36.76136897728165
5,6019004703,4130,1.2834197714785014,-119.8353598866754,36.79013861765119
6,6019004301,4129,5.696364124404932,-119.84123588518464,36.84658547976069
7,6019000400,5498,3.403401432475051,-119.77620884615894,36.727656610989015
8,6019004207,11921,17.301619839545925,-119.91454558036072,36.81688311608629
9,6019005403,4872,1.2969985091506513,-119.7632006554359,36.81219842475042
10,6019000700,3664,8.281219779938443,-119.82770801434896,36.734534717840646
11,6019000600,4750,2.46447221863103,-119.79335653697069,36.74306301149609
12,6019005505,7095,2.578418178776228,-119.73872661591852,36.8739461079688
13,6019004404,3152,2.7266398882482203,-119.79236399804428,36.84454607456883
14,6019004405,3663,2.424369278932411,-119.77431064542698,36.85877826214911
15,6019005301,6018,1.940426165305312,-119.76781726764526,36.79771861098379
16,6019005302,5355,1.9498488011842716,-119.76777159985622,36.804949105293424
17,6019005304,5365,1.609105177180207,-119.74296965175274,36.8049361109906
18,6019005305,3648,1.574377021404321,-119.74296886358995,36.7977981535212
19,6019004901,4057,1.7075684588997997,-119.79644251057707,36.78675871387523
20,6019001303,2420,0.643424119765364,-119.75914817409381,36.72500687478308
21,6019000902,5191,1.9705030310690328,-119.80427719447384,36.71776902547649
22,6019001408,2677,1.218708984198383,-119.72766855664345,36.72523313762976
23,6019001304,5383,1.3078037190670353,-119.74553491456439,36.72501467615173
24,6019000901,2759,1.954599774323648,-119.80430098695122,36.71046964457236
25,6019001410,12169,7.933108162166591,-119.71816772941798,36.711099014149205
26,6019004215,4557,2.6981201392955194,-119.89923921184416,36.83065568615832
27,6019004216,3454,3.5344550999977944,-119.91077230468164,36.84180499777702
28,6019001411,6926,2.5099909853153783,-119.69117467049708,36.74336737914863
29,6019002904,3132,1.3075816891870755,-119.72728490765476,36.74680344655899
30,6019002905,3046,1.26159100127241,-119.72729421197279,36.753965328651184
31,6019004801,4811,1.173902116803389,-119.81208484306312,36.784251042969814
32,6019003301,3179,1.3079104898156595,-119.76347898329122,36.77594325589381
33,6019002906,5229,1.3730436303245297,-119.72727863692232,36.76133328159839
34,6019005204,4299,1.3038443309421188,-119.76332996387168,36.79047750789713
35,6019004802,4448,1.4533952604996594,-119.82225108672486,36.78762667341289
36,6019003702,4581,1.463900829708333,-119.8278226895945,36.775868173320454
37,6019003809,5362,2.779422325037085,-119.87024963757989,36.79267867426421
38,6019003810,5704,2.5901293795552,-119.88938351130815,36.79354020713985
39,6019000300,4225,1.887564174941187,-119.80103470091085,36.72646199641506
40,6019003400,5456,1.917435578451664,-119.77919542013683,36.77247995392773
41,6019001100,2780,3.751348149902887,-119.78169720620477,36.70969621254147
42,6019001201,5935,5.771208540727772,-119.75777158707378,36.71075238668948
43,6019003805,7392,2.249645225227862,-119.85428897449145,36.77851545537458
44,6019005406,4192,1.9018268043181084,-119.76773506543925,36.83377626519711
45,6019005407,3476,1.2904091624860083,-119.7450787113904,36.833908907214436
46,6019005605,1745,0.9542021119080468,-119.73276723958767,36.830303441599995
47,6019005509,5128,2.5997891661598205,-119.73866613538006,36.844843652305045
48,6019005508,5671,2.5950753705621827,-119.73874954736951,36.85937948783389
49,6019001407,4798,1.292429831409083,-119.72737566698693,36.73227373554615
50,6019003104,4159,9.971658238428676,-119.7158648260669,36.78085377083829
51,6019005805,6416,12.66179412283616,-119.68059596554976,36.76851862036221
52,6019000502,3594,1.181121225801819,-119.78154542410944,36.744409925740825
53,6019005510,4983,2.609616345015004,-119.75673338602536,36.844678729965366
54,6019005408,2268,4.957619386712393,-119.74231997123096,36.81881055080218
55,6019005405,4693,1.9313420074710896,-119.76773986746852,36.82664335257217
56,6019005504,3384,2.5205526774698157,-119.7386292432634,36.888534463494224
57,6019005507,5503,2.583290257224112,-119.75675958177072,36.859256815157444
58,6019000200,2689,1.988136532048532,-119.80550621378416,36.73549313727768
59,6019004409,3232,2.9386637792503705,-119.81236786243723,36.84356431428467
60,6019004214,4570,2.518150845980545,-119.85367093200901,36.82981625595329
61,6019005517,7978,4.249831498676481,-119.75740146420505,36.8842852947494
62,6019004408,3566,5.217453074934261,-119.79501375629077,36.86181481818661
63,6019004213,3324,1.1733084626076902,-119.85075775737151,36.81858698010936
64,6019005516,6180,2.3677343895779805,-119.76367504118582,36.87032293010728
65,6019002903,3791,1.298390639390292,-119.72730857258699,36.73953764172369
66,6019004208,7367,6.613591825763719,-119.87763179586095,36.84617114179009
67,6019004210,3702,1.7437564197330833,-119.87022116920984,36.83210129096025
68,6019003003,4366,1.319400638749448,-119.70915353838187,36.73950128100028
69,6019000100,3676,0.8434472532421721,-119.79277318759367,36.736924421480474
70,6019005409,3328,1.302004656529996,-119.76320867190009,36.81944820948906
71,6019005203,5107,1.3047868346049951,-119.76340145250548,36.78320860784496
72,6019003701,3462,1.1215395525572769,-119.82557124008186,36.76866544658619
73,6019001301,5342,1.9593913035809476,-119.74999232133322,36.73225894931342
74,6019002702,4891,1.3084499835943757,-119.74539078367835,36.7395305426559
75,6019004701,6923,1.8691636950354047,-119.8369045558595,36.799499541599076
76,6019002000,6284,5.502797039285423,-119.83288109424477,36.757283546202785
77,6019002100,6200,1.8260125087315424,-119.81574255089669,36.75905028337548
78,6019004601,3136,1.816559606212592,-119.82539212558642,36.803154553592464
79,6019004704,5345,1.2585409895343878,-119.83524864192968,36.78294370210953
80,6019003001,3241,2.619511490180297,-119.7092921106477,36.75778338623353
81,6019005410,3536,1.2987301690764272,-119.77679677258381,36.81577473536064
82,6019005000,4548,2.590528119466973,-119.79043263130492,36.80128040427826
83,6019005100,6799,2.5877247906388856,-119.78146517933496,36.78688395223588
84,6019005202,3050,2.972421311027384,-119.74397554401841,36.78732664171124
85,6019002200,3617,1.3227122996338476,-119.80370243973739,36.758539314901746
86,6019002300,3559,1.4962525835629985,-119.79421617896087,36.756122057436606
87,6019002400,4401,2.4464669753441104,-119.78101688764646,36.75834300623941
88,6019003202,5745,1.6061879369812344,-119.74316860027325,36.7687040824454
89,6019000501,2532,0.674649273770915,-119.77484701968602,36.74267718454494
90,6019002502,4577,1.2940935213347788,-119.76347610653366,36.754082108033295
91,6019002601,4971,1.3074970214891417,-119.76343039377934,36.74681749154133
92,6019002602,3480,1.3039031127333782,-119.76345397565468,36.7395171581211
93,6019002800,4435,2.6408547242166285,-119.74537540192375,36.75779745455969
94,6019002701,4209,1.3007682442039268,-119.74539457938158,36.74681584841415
95,6019003600,4528,1.948192987917918,-119.81086066561853,36.77213673769271
96,6019003500,4901,2.59494511114522,-119.795044580708,36.772264548477565
97,6019003804,6349,2.5915652965343465,-119.87131211101182,36.779095456701285
98,6019004205,6153,5.093644516205221,-119.85445149143345,36.79718911652568
99,6019004211,6982,2.259452086303883,-119.8806132076455,36.82769209808193
100,6019004212,12379,4.757682706597412,-119.86901460979556,36.81508420482247
