node_index,ct_code,population,area_km2,longitude,latitude
0,4013093001,5696,1.434091612473149,-112.1608122349009,33.534213835107636
1,4013092717,5547,1.2973134893075835,-112.21175905259334,33.53451159693191
2,4013092718,3945,1.3004386078226595,-112.21181980196445,33.527264341346175
3,4013092720,6144,23.754285036927477,-112.27797553148922,33.529765240493724
4,4013092802,6747,1.2593282251062594,-112.19467534913102,33.52759183656264
5,4013093002,4905,1.1125616339531987,-112.15921157651508,33.52730708512998
6,4013093106,5293,1.2761313118758308,-112.19473904139437,33.5130397448587
7,4013093104,5107,3.9544784223875142,-112.17267518439536,33.51588700330742
8,4013614000,4352,2.5755468327889823,-112.21174344290556,33.689017005062986
9,4013614100,6643,3.369636216529489,-112.21499479955293,33.67421091340811
10,4013614200,4754,5.207268029021145,-112.19437281063382,33.68367324700414
11,4013615700,3159,2.049421518786729,-112.22738315074847,33.659287123997736
12,4013092716,4311,1.319518214631597,-112.21183277173297,33.51274979223242
13,4013092401,4933,1.289180544428781,-112.16439123942503,33.54578031126598
14,4013092402,3453,1.2876955349695616,-112.15585356929031,33.54578746175621
15,4013092715,4504,1.286320048259226,-112.21176973990774,33.52003874153694
16,4013615800,4908,2.703557522096576,-112.21168754076359,33.6603265280418
17,4013615900,4252,2.431617924189236,-112.19487065189688,33.66108423069909
18,4013616000,2192,2.493650309600612,-112.17783655270622,33.6614422753016
19,4013092311,3637,0.6471972743755321,-112.188399845072,33.560239976930575
20,4013092312,5161,1.832029758766491,-112.19675431632598,33.56009726071042
21,4013092721,3689,2.536610609033232,-112.24638134508355,33.54475914693252
22,4013092801,5350,1.2562457637471658,-112.19465665007449,33.534837897897106
23,4013617700,3540,2.6767434397377605,-112.22919170310634,33.64523641215354
24,4013617800,2350,2.8346343358571797,-112.20980911113857,33.6470071847866
25,4013617900,2828,2.3891318737712366,-112.19499539300297,33.644588525075804
26,4013092308,7129,2.554780372248748,-112.16030603564022,33.57471611644423
27,4013071511,3468,2.359950196833536,-112.20991121908499,33.63119164320196
28,4013092309,6188,2.554950550375584,-112.1603196429694,33.560310405771155
29,4013092500,4771,2.6316356944039483,-112.17740876215714,33.54579568416726
30,4013092305,4425,2.506380870917365,-112.19461011113579,33.574585730370394
31,4013092307,6183,2.5662539741446064,-112.17757412570916,33.56030535823448
32,4013092600,3171,2.5131546956887214,-112.1945977307621,33.54569081270521
33,4013092705,4612,2.592979654744382,-112.21173345224423,33.54536237135461
34,4013092711,3513,2.565808209227241,-112.2290633104981,33.545026527933274
35,4013092712,6101,2.54996421577282,-112.22905512803165,33.5306136109163
36,4013061100,2401,10.118027198341332,-112.37337961303244,33.536048170491505
37,4013093105,5467,1.2539067573273956,-112.19470479555143,33.52033941730293
38,4013618000,4605,2.7648092025838227,-112.17775139289796,33.64666939841833
39,4013104214,2424,2.4272897374834925,-112.17720040489034,33.632029892760414
40,4013104217,5645,2.5595363853068744,-112.17715282238134,33.61795985170025
41,4013092713,5351,2.5894224633374274,-112.22909766625622,33.51610159057767
42,4013092900,3303,2.630303248173326,-112.17744510875163,33.531270199626555
43,4013104222,6079,2.507771286296912,-112.19446684286336,33.58906455139837
44,4013104223,2120,2.4804603777558816,-112.19428332154763,33.60349629197127
45,4013104224,6002,2.554225229245044,-112.17728331017179,33.60355228196335
46,4013104227,2197,1.0575523152922643,-112.16358566520437,33.58635742191592
47,4013104221,5974,2.5703437319646225,-112.17739914174322,33.589139596242816
48,4013104216,5545,2.4924762395064803,-112.19415477527487,33.617904550820924
49,4013092306,6429,2.565723779097509,-112.17755047356258,33.57471798131727
50,4013093101,5040,1.255750528082216,-112.15738634794404,33.51921816013574
51,4013104215,4000,2.310145118916583,-112.19416014167655,33.63181967583528
52,4013092710,5005,2.5802923650661693,-112.24634025683669,33.53045614358701
