node_index,ct_code,population,area_km2,longitude,latitude
0,6059052404,4220,23.563124968360874,-117.71894107679026,33.673779974344484
1,6059062621,12331,10.507468460116058,-117.74614547445688,33.63110163516641
2,6059052522,4222,0.9358385112083032,-117.82172335629774,33.68028742967654
3,6059052410,5452,5.238339818304345,-117.71939107388219,33.63808828172109
4,6059052421,5447,2.503261696095154,-117.75436755531327,33.71693435264896
5,6059062630,1739,4.612602674871748,-117.7939845870401,33.65019075043222
6,6059052513,5728,1.6350712934724323,-117.78887847588582,33.678448056266724
7,6059062626,3167,0.4735218740460044,-117.83967228368253,33.65260699729748
8,6059052417,7893,2.110856633181066,-117.76212983442636,33.70556078156127
9,6059052418,21717,6.404942591501657,-117.7546972763011,33.69200211268878
10,6059052528,4059,1.0383125382127376,-117.79074687269626,33.69268962522058
11,6059052420,23390,31.62689310521637,-117.74198217070062,33.74751002056591
12,6059052506,2561,0.9403097135846092,-117.78070580288308,33.685682600063494
13,6059052505,5283,1.190677410656209,-117.77533740921359,33.69258392665786
14,6059052511,6532,1.886099086314112,-117.79913296655518,33.684745342090146
15,6059052514,5202,1.5176339959320562,-117.79735932094022,33.66914849620175
16,6059052515,9253,1.8637211125771949,-117.8098174961256,33.69176531714969
17,6059052517,10849,5.203368827514575,-117.77506263696311,33.6725201517982
18,6059052518,7589,5.795022066486166,-117.75786079164303,33.659405210686465
19,6059052519,4565,0.9795371856600452,-117.81415979482819,33.67188003600023
20,6059052520,3665,1.2408177935031832,-117.807481575897,33.67401895470188
21,6059052521,5147,1.348136126661438,-117.8218164466379,33.68483122299627
22,6059052523,4510,1.1971908472187271,-117.82631743054039,33.67473141032286
23,6059052526,4794,1.657301675600766,-117.783724542006,33.70084123101834
24,6059052527,8917,3.383508795345915,-117.79518482065505,33.708640843159415
25,6059062611,4963,1.7482872447061504,-117.83266997030888,33.664262252213824
26,6059062612,8225,2.508160090309487,-117.81441143162779,33.66222398553495
27,6059062614,17197,6.28795911641912,-117.84178640535082,33.642607239677304
28,6059062627,3549,0.9936272712930247,-117.83218324079226,33.65317974163288
29,6059062629,2545,1.070705009640053,-117.81752499151538,33.63738963246452
30,6059052525,19462,4.506130216472993,-117.77828945493184,33.71662980076264
31,6059062628,3812,2.4605879835669624,-117.81263041458051,33.65189339128184
32,6059062631,3182,2.378585898505826,-117.8123265896462,33.64012827682244
