node_index,ct_code,population,area_km2,longitude,latitude
0,12031014410,8028,9.392967325334892,-81.45102143534733,30.26956208219978
1,12031015924,4762,5.796211636948791,-81.5858762763766,30.271634205879554
2,12031017200,2165,3.7507219254736985,-81.66397418900092,30.330180749534048
3,12031010402,4138,8.212006361394236,-81.65986360128586,30.414144903077144
4,12031012704,5559,3.082751674439584,-81.78037592555373,30.260033082034084
5,12031013403,3329,2.839545299585836,-81.73231608680325,30.258201772443687
6,12031990000,0,161.71559471880664,-81.36358565162872,30.3790532808877
7,12031014409,11573,7.282279959762178,-81.47361624299276,30.274082255118007
8,12031014413,5535,12.229417031025374,-81.53823199863926,30.181689275712454
9,12031014411,8057,8.095225141531218,-81.53056509823624,30.205415578392255
10,12031014603,5278,5.798320303084786,-81.53539549380729,30.344452676096296
11,12031014604,5441,5.529519403411529,-81.5462878309099,30.331670087289137
12,12031015925,5396,1.4805353555178222,-81.55679715900384,30.22740083405354
13,12031015926,7155,8.027521707699611,-81.5701027329532,30.23948176468263
14,12031016603,3544,2.384547132115662,-81.60491602804794,30.22421337959891
15,12031016724,4926,2.6295077802494786,-81.60680751310161,30.21306939913655
16,12031016725,4362,7.823965557438208,-81.57613584259752,30.207149924779152
17,12031016726,4296,2.452899201873059,-81.61777035697588,30.190894084439442
18,12031016727,3245,2.467394577143886,-81.61405522147882,30.17849379692633
19,12031016728,4893,7.54705014040307,-81.57636921944432,30.18117382670675
20,12031012703,5520,4.609215874605054,-81.77894664403757,30.28085074688138
21,12031013726,8791,12.37186263010706,-81.80084045083284,30.215250488255805
22,12031014332,8711,8.55078479085743,-81.43951502328335,30.3068306112824
23,12031016807,4125,2.446206454129973,-81.61224083978591,30.164295027295594
24,12031016808,3672,2.0724799515364145,-81.62424349610556,30.170222869276973
25,12031015501,3478,2.6691587656019573,-81.58581322248935,30.31982469823824
26,12031015801,6941,5.8028345764676565,-81.58268943343633,30.30044886985127
27,12031015923,9353,8.644388716889239,-81.56875547999064,30.265964272964453
28,12031017100,6275,7.798327185980836,-81.6787819961329,30.31019247487734
29,12031010500,16844,92.05153670583891,-81.75968123133097,30.459125939710685
30,12031016200,2331,2.4959239849000663,-81.62391554008619,30.2776913471863
31,12031010101,8745,26.46796297925126,-81.6006529722453,30.502367709470928
32,12031014601,5501,27.448946925022685,-81.54634127087827,30.37963522908099
33,12031012000,4961,5.297560260019335,-81.76979649248558,30.306779250836158
34,12031013502,3504,4.367407141061714,-81.77930744909979,30.221296892783354
35,12031014312,6167,5.810662150697634,-81.50713112528,30.29448980062299
36,12031010102,10169,116.13183091088966,-81.52588302784233,30.505457001319808
37,12031012300,3990,2.680546203822938,-81.72528017791039,30.29494634061901
38,12031010600,5841,160.2824291003597,-81.8386810304264,30.387357830926042
39,12031002901,3672,1.6612457914397885,-81.68265758315319,30.360340853377885
40,12031015100,4343,2.299210904257338,-81.58465494344168,30.340885225536823
41,12031013504,5585,3.479892496646168,-81.78389243157854,30.240686512287787
42,12031010201,10301,20.941702600720024,-81.6091323588611,30.452652701605242
43,12031010103,6045,162.89054310739536,-81.48644644935538,30.43670328821362
44,12031015200,3280,1.367629409595213,-81.59630797515672,30.34685956113983
45,12031010301,5877,133.6619938897884,-81.67963270342125,30.518782695673675
46,12031000100,5443,7.410329628296044,-81.64383213356957,30.380195794323278
47,12031000700,4451,4.616421087913906,-81.6531880464195,30.29557609779256
48,12031000600,5375,5.013130419856273,-81.63738554282604,30.30364747838263
49,12031001000,4207,1.1845507789604182,-81.65213876910302,30.33204006658735
50,12031001100,1889,1.0545822571796777,-81.65284136486258,30.339845568266874
51,12031000800,2786,3.331025407359666,-81.65768562553205,30.31346268210734
52,12031001200,1783,1.384521889044037,-81.65337745191893,30.34709599705351
53,12031000200,2310,4.853934716019742,-81.63172602237572,30.362410589990237
54,12031000300,2227,3.6180255381531463,-81.63078143839181,30.350575926661804
55,12031010700,5244,7.481104155602074,-81.73588585281584,30.3965728567101
56,12031010800,4862,3.172787676138095,-81.72371998010426,30.410094714568345
57,12031010900,3351,5.522078974808937,-81.71129852420637,30.404112993852976
58,12031011000,4155,4.753450272569067,-81.68587757285037,30.4085614056217
59,12031016803,7096,10.439367149429597,-81.61454792635935,30.146024952089075
60,12031016804,7228,33.611591440758154,-81.66377678651197,30.152265510552873
61,12031016805,7700,10.19266747440563,-81.57086043996445,30.157322287858783
62,12031016806,16254,22.954623494375568,-81.55717530148623,30.129290755110485
63,12031011100,3092,3.676524248466219,-81.67101993222093,30.393797072430644
64,12031011200,3176,2.427857737491489,-81.69134738934218,30.39081180666051
65,12031011300,2964,2.631238542873682,-81.70600125256132,30.390753087475264
66,12031011400,2243,2.378879148120772,-81.71472777589506,30.379860102518194
67,12031011500,4118,4.104948760639607,-81.68697295809088,30.37756290564988
68,12031011600,3668,4.037344580849834,-81.71210663705823,30.369421962045816
69,12031011700,2752,18.118054072783565,-81.76805661731626,30.357507247345296
70,12031011800,2938,11.21949118128763,-81.74202252360438,30.338584911545205
71,12031011901,7643,24.62346828394066,-81.80772894824183,30.326200474701203
72,12031011902,10899,11.787584570252708,-81.81664770313152,30.292322029451142
73,12031011903,5468,7.408841928410776,-81.81310234828165,30.307335766800488
74,12031012100,1844,7.407615303898595,-81.74017749977172,30.31964202840544
75,12031012200,8121,5.153657677078857,-81.74053436860223,30.29754505174567
76,12031012400,2788,2.684996884846617,-81.72807819674559,30.275357564073534
77,12031012500,4143,2.656365068117375,-81.7413339154712,30.27147129191202
78,12031012601,3144,2.8956206085641747,-81.76140930049355,30.29355310412928
79,12031012602,6132,4.721095932308651,-81.75647170515415,30.280149811781193
80,12031012702,6139,12.959928930958313,-81.80418026436355,30.268695877766994
81,12031012800,7228,5.093388254676478,-81.76204798363852,30.258789302353097
82,12031012900,2840,1.618483975931759,-81.74739507005962,30.258911682223676
83,12031013000,2352,9.051114744470803,-81.69455837912697,30.26383446968477
84,12031013100,2157,7.953909430944338,-81.68419451610093,30.24727461465612
85,12031013200,2801,23.17401725531193,-81.67954004175263,30.21827837044766
86,12031013300,7378,8.579640441985246,-81.71395639051852,30.210522044590494
87,12031001300,3846,2.283248356735968,-81.65762064228194,30.358544833528494
88,12031001400,5044,5.044378582701772,-81.66640172205992,30.37484878380997
89,12031001500,4321,1.9305467618921623,-81.67075682081207,30.35612184776112
90,12031001600,1497,1.2541503509986285,-81.66788245438953,30.344717020944802
91,12031013402,5137,4.7358062503249325,-81.72573167364307,30.24085547292399
92,12031013503,8639,9.132807481184395,-81.76054563536817,30.21199286138945
93,12031013521,12739,11.213841438263064,-81.74998494214184,30.224739158772298
94,12031013522,3413,7.285697642905138,-81.72704497596973,30.219944667774133
95,12031013721,12018,29.20044841859033,-81.85203276629967,30.270355659625285
96,12031002200,4277,4.704433870367202,-81.70548663059866,30.293254095208507
97,12031002300,1632,2.1598099681336302,-81.71350875065777,30.283152765129042
98,12031013723,8459,24.8896482991168,-81.83435071988852,30.217356218671952
99,12031013800,4183,14.713570220671468,-81.41831825865964,30.38558700400188
100,12031013901,5971,8.084990467740305,-81.43193814400009,30.355910057016835
101,12031013904,4512,2.2141187294197517,-81.4192825468892,30.36192384270925
102,12031014311,5399,6.169675164708915,-81.5330993011422,30.306232164562623
103,12031014326,8590,9.511809298473253,-81.4729052129901,30.302802666803412
104,12031014328,7192,12.854663389464134,-81.50578560612361,30.340932710728985
105,12031014401,13643,14.179411399742564,-81.53915928594641,30.268374062866513
106,12031014404,9686,14.216118377195336,-81.5010279061134,30.269059013629512
107,12031014406,7986,14.075571519841512,-81.53269811449982,30.233310854404642
108,12031014500,4037,6.724762239182994,-81.5499258348165,30.303809881814995
109,12031014701,8824,11.258699805193908,-81.60811482496194,30.38508571990313
110,12031014702,2558,3.737589665155085,-81.58739866918472,30.377329830395993
111,12031014800,5414,3.809637691703542,-81.608435782054,30.359190808688027
112,12031014901,6332,3.286294565916526,-81.58816966186639,30.35946956334194
113,12031014902,7541,3.5428804461252184,-81.56606098135258,30.359181846822977
114,12031015001,5346,4.269086046183418,-81.5663529050454,30.344631667340266
115,12031015002,4731,2.416789383186802,-81.56979404684331,30.332001395392176
116,12031015300,3444,2.538230372841579,-81.60937009586254,30.336185306595528
117,12031015400,2371,2.1637152592372964,-81.59590384368788,30.334629708522304
118,12031015600,3924,5.299265578317744,-81.61102427070959,30.317456676592037
119,12031015700,5075,5.157239441924173,-81.6071169619266,30.301966276980124
120,12031015922,3423,3.944369114586401,-81.55759497579804,30.206088912949863
121,12031016000,7600,4.903459753838932,-81.59942087412908,30.2726623922355
122,12031016100,8715,5.234797777060639,-81.61446082783985,30.28645707139721
123,12031016300,2073,3.7215047479519816,-81.63350515433844,30.272071022703344
124,12031016400,5850,11.62381983325538,-81.66073823151969,30.275459473957984
125,12031002400,1903,3.076048958833479,-81.70532263751532,30.27379699620109
126,12031002600,3485,4.540574114971184,-81.69382929579325,30.32728904647339
127,12031002701,3233,4.506383071749419,-81.70871445930464,30.345280377963487
128,12031002702,4198,2.1412973285372807,-81.71391351002644,30.335696859829376
129,12031016500,5124,14.31473188920668,-81.6373882978651,30.239992828470292
130,12031016601,6319,10.989387845902964,-81.60100087421858,30.243562484230853
131,12031016711,4321,16.008540036926338,-81.64386077676907,30.202908902268806
132,12031002801,4461,3.704185023440664,-81.69870324788415,30.357254806578776
133,12031002802,4652,2.2514201993866685,-81.68978436694638,30.34359342860715
134,12031002902,3408,1.4417928122579935,-81.68077164443689,30.34762345076432
135,12031010202,3368,23.714928488291573,-81.62604660252828,30.41878648300582
136,12031010303,7973,9.413348429750952,-81.68561055911348,30.445942094215624
137,12031010304,7523,9.691216667996894,-81.65562105822089,30.44530231153883
138,12031016722,8295,7.139893633009985,-81.59553451245458,30.197235017973398
139,12031016801,2450,5.932533859925115,-81.64190735423897,30.17609748841726
140,12031016604,4280,2.96747242838184,-81.61546674711425,30.237813265280078
141,12031014331,4982,3.239048878421498,-81.4486765728156,30.294986121459953
142,12031015802,7967,3.850080318575594,-81.56599940353178,30.30301831193482
143,12031013906,4461,5.269094909185863,-81.40636145324643,30.3526835128646
144,12031013404,3064,2.166754084648898,-81.72206678399964,30.252117433613552
145,12031017400,2643,8.810236606200407,-81.63145903978825,30.33156506252886
146,12031013727,7836,6.760367219455511,-81.79231625018717,30.195145997761973
147,12031014329,3273,3.2192794665142177,-81.46313271962009,30.333898945915813
148,12031014330,4948,19.80761384142369,-81.46211186028114,30.36077629589149
149,12031014333,3554,2.408460341010998,-81.5089697512687,30.368124704632336
150,12031014334,5031,3.504723838269187,-81.49411094583459,30.36855783072503
151,12031014335,8266,5.886257940166091,-81.47450456963348,30.348857893169196
152,12031014336,6859,4.455538804188055,-81.48109177526722,30.33043794783336
153,12031014337,10221,6.531411259106972,-81.50182393702433,30.31263041011475
154,12031002501,3871,1.6910489357811531,-81.70859694632063,30.315864271993835
155,12031014338,4308,2.178777938783796,-81.52046162556024,30.311486752083823
156,12031002102,2575,3.5787588016781857,-81.69068235894505,30.296705140315872
157,12031002502,3772,2.0626226370366334,-81.7226261861445,30.313267662645792
158,12031010401,3399,2.8429360734438154,-81.68392500623287,30.42372543505828
159,12031002101,3166,1.6131044562253507,-81.70282156866064,30.309423649120745
160,12031014412,20123,137.71277370881856,-81.47976000093459,30.17569010655993
