node_index,ct_code,population,area_km2,longitude,latitude
0,29047021205,8049,13.996796331840995,-94.54280534864796,39.25668952806446
1,29047021204,5240,3.092650653964351,-94.59363193064988,39.20665513853202
2,29165030307,0,43.62051289262462,-94.72615832031752,39.30048073606078
3,29047020604,5204,4.6729642408219165,-94.51403119171484,39.17416612068728
4,29047020901,5570,5.49191374876806,-94.53146561778523,39.19253506155015
5,29047020902,2065,4.210439741602775,-94.51109277498405,39.20528224505331
6,29095008300,2528,1.2405979004544672,-94.5881098436327,39.0207566694425
7,29095005602,1424,0.6377198372777001,-94.54878761231882,39.05888252012862
8,29095012903,3428,2.118328045722391,-94.49441478110072,38.957657221265286
9,29095001000,2977,1.5621326995613107,-94.55573472460465,39.111652568147726
10,29095001100,1744,0.6533094760932528,-94.59163538414053,39.10106595862572
11,29095008100,2209,1.02190143701112,-94.57013788620623,39.02086905599804
12,29095005200,1092,0.6452368831823384,-94.56690266096534,39.06671585061576
13,29095005801,2022,2.447936350209284,-94.52562347845692,39.06172305713635
14,29095005601,1580,0.6406821078333793,-94.54841836072856,39.066098264229176
15,29095005700,2371,1.2787517024138924,-94.53939948671584,39.062183351179705
16,29095006000,1327,1.10854414011496,-94.5403901517538,39.04860962997278
17,29095006100,2890,1.3384213190062229,-94.54915070038513,39.04773421586151
18,29095006500,1630,0.4853910292869764,-94.57584252918836,39.05271597671511
19,29095006600,1910,0.9699324685516638,-94.57972284010896,39.045502127444216
20,29095007802,2130,3.248883140875185,-94.53216233603214,39.024459015943705
21,29095007900,3612,2.5321401444092584,-94.54638310561785,39.01911497356964
22,29095008000,3239,1.4700891162511722,-94.56129971428506,39.01920657280093
23,29095008200,2950,1.2398853864719237,-94.57881017527635,39.02040597993205
24,29095008400,2904,1.9538986361876616,-94.60018873587717,39.0213180157786
25,29095008500,3788,2.016805414452796,-94.60061012598327,39.007232890265044
26,29095008600,5449,2.568452090076656,-94.58416650474628,39.006444011527606
27,29095008800,3684,2.537653255917973,-94.54681838388561,39.004038146960575
28,29095009000,4533,2.56341716837935,-94.56646477946889,38.991180097074036
29,29095009100,3805,1.9487424391200872,-94.58487328781924,38.99377288397215
30,29095009200,3048,1.4967205909475925,-94.60121491233956,38.99430917262942
31,29095009300,2618,1.8465619839073515,-94.601364093313,38.98157659312668
32,29095009400,4735,2.583150175912569,-94.58548735529584,38.98109952403538
33,29095009500,3242,2.135797370593554,-94.56839957254083,38.97602792165258
34,29095010500,4417,6.341465418527124,-94.49035529799464,39.02889601421406
35,29095010702,3468,4.285326005935223,-94.45736584107144,39.042327094299765
36,29095980802,0,2.627649419498328,-94.48531958319388,39.04931266733564
37,29095013405,2058,27.191799646752195,-94.57421754988772,38.865506880268846
38,29095013407,2519,3.093012939390811,-94.6009103288347,38.90264187773935
39,29165030308,5296,23.749160925419694,-94.70596507023488,39.26039720961921
40,29165030211,2996,2.0060178967429905,-94.64455772696637,39.25052873763544
41,29165030210,1795,1.9817182077263755,-94.64436677345299,39.25809765128701
42,29095005500,701,0.6402872716211314,-94.55802320367289,39.059184028686325
43,29095005100,1623,0.7259073374041508,-94.57897091041043,39.05902364566122
44,29095005300,1528,0.6401120953488706,-94.56728038403634,39.0595061394344
45,29095005400,868,0.6457114746320344,-94.55764963319824,39.06640039555718
46,29095007100,3286,0.7778333585586381,-94.60178667146336,39.04652820846247
47,29095006700,1811,0.4878073119766062,-94.58281219141537,39.052710459323784
48,29095006900,1497,0.4938047539916591,-94.5909276083212,39.046461774873904
49,29095007200,1918,1.936574507928567,-94.60020368046087,39.03475808299053
50,29095002300,2058,1.4615487845146184,-94.53271331469897,39.09070907704582
51,29095007400,4000,2.2798128045481683,-94.58205203550926,39.03397633890602
52,29095007300,3091,0.7033800075606749,-94.59134956002849,39.041167119058024
53,29095007500,2704,1.2682255075416329,-94.56875945171947,39.034106903592075
54,29095007700,1247,1.6451524805870985,-94.54879560347604,39.03325181412937
55,29095014300,5115,31.822716106105016,-94.40615041822943,38.99120433759542
56,29095007600,2018,1.228751047571743,-94.55953943597153,39.03355289268077
57,29095010002,3875,2.02926122019137,-94.58932827753355,38.94813061728989
58,29095009800,2926,2.413555809452615,-94.58846584336362,38.96486773805309
59,29095009900,2158,2.235882056666777,-94.60174609186299,38.965441800085934
60,29095009600,1708,6.2052893995052365,-94.55402292768125,38.97399620113181
61,29095010001,1714,2.017473249932563,-94.60242392510952,38.94757343821094
62,29095009700,1897,1.458490543998131,-94.57580822189769,38.96582833878842
63,29095010103,2455,3.5625089211433454,-94.57037248160957,38.94847689397307
64,29095010105,3738,3.264260000005226,-94.6010804416345,38.92571775845615
65,29095012904,2964,2.907072366661396,-94.4761993651184,38.95876727955171
66,29095010203,4556,5.729515552888119,-94.5500596787728,38.931567144648014
67,29095010204,4573,5.855191583293082,-94.5472724968792,38.91704928562645
68,29095010201,2362,5.024749328867182,-94.54935626054824,38.95157832351992
69,29095003800,1531,0.6391676174853158,-94.54805826901976,39.07331973400846
70,29095008700,2338,2.5669177628953554,-94.56573913926984,39.00564251872825
71,29095013408,6282,8.204627307740061,-94.57931533979809,38.90570134644633
72,29095006300,1587,1.395194831157289,-94.56319933298737,39.04464889060147
73,29095013003,5232,4.439698049722064,-94.52192005698403,38.94358965968061
74,29095013100,2454,3.993570259074633,-94.51814407309682,38.92451609891208
75,29095013203,4997,2.0788538975387465,-94.50246709816207,38.92250009728341
76,29095016300,2106,11.0380881602657,-94.50463653126772,39.05862162359277
77,29095980101,0,6.776881800341208,-94.52122705378133,38.999628005931015
78,29095016500,2009,1.2776716460303634,-94.53869394812699,39.076650198240515
79,29095008900,1833,2.214484524290724,-94.5452367810606,38.99322728101666
80,29095013208,2683,2.3649395745691493,-94.50124597220777,38.91132576821855
81,29095012906,4786,8.318673939134568,-94.48846780813508,38.94081273172237
82,29095015400,3900,1.766790961583324,-94.5617645782305,39.10244445239434
83,29095015500,1275,26.8888769327052,-94.50804491477157,39.12788528107597
84,29095017000,2652,5.839468642699379,-94.47557329968684,39.06453625356184
85,29095016100,2134,2.262118174387405,-94.56039495309712,39.091220433052875
86,29095016200,1393,1.286217381252259,-94.56634726303648,39.07767891753985
87,29095017500,2200,8.580063089512462,-94.50563075659794,39.01299003930643
88,29095016400,1696,1.2840155478722983,-94.52504197785173,39.072583226350424
89,29095016700,3660,1.2971031890278613,-94.59035287947592,39.063946632594465
90,29095017800,3289,1.216833012507134,-94.57855494773914,39.06624536652986
91,29095016800,4389,1.4607257011184025,-94.59676964048842,39.05335711820017
92,29095017200,4604,10.82742731675378,-94.51110648255218,38.97940580738963
93,29095016900,2721,1.2817730427749308,-94.56304912659999,39.0521664602895
94,29095017300,3431,4.704749750690992,-94.58308622975152,38.93065850516187
95,29095017400,2721,6.338149844040646,-94.52326370038179,38.95970813882381
96,29095017600,5264,9.981727357138324,-94.43350409956301,38.99529709678058
97,29047021206,8084,12.890823062208954,-94.53213456852959,39.233289827297995
98,29047021303,4555,19.348532661375828,-94.53262035179112,39.288324279760474
99,29047021305,8090,9.239133524166473,-94.57696986484969,39.298842003480175
100,29047021306,6899,8.559329217717115,-94.57971639656007,39.27759347746105
101,29047020201,4290,4.334064807569094,-94.56841952509853,39.165232726606014
102,29047020202,4596,6.680872715961002,-94.58933571968812,39.173875271389825
103,29047020300,6662,5.592776145201762,-94.57033425057436,39.1885007404218
104,29047020400,2565,2.776929997227277,-94.55221790525289,39.17865423383718
105,29047020500,5983,5.059495828166806,-94.54605046265635,39.16271580819304
106,29047020602,3872,6.504211926189923,-94.51495533423648,39.15904843519139
107,29047020603,3247,3.545271291336819,-94.5055513768536,39.18750893864986
108,29037060100,1548,5.060734859213939,-94.5524558886039,38.83357887361931
109,29047022200,3922,46.04356200899987,-94.45159034922797,39.16344275425036
110,29095016000,1484,1.903379967402059,-94.5448503423104,39.09144539135763
111,29095013210,2817,1.869588320786996,-94.48816635094954,38.92324138286534
112,29095015700,3601,1.0113583064110292,-94.58341512522784,39.10138007489929
113,29095016600,1396,1.2997922432373283,-94.55715949460968,39.077236030580984
114,29095015800,1578,2.2081193000256887,-94.58021923503647,39.089978277755534
115,29095015300,2956,2.8226940936280065,-94.59813716421246,39.08332003014806
116,29095015200,2485,3.691635453077089,-94.59658625610413,39.10301656993745
117,29095015900,2305,0.8489978612462684,-94.57426633391165,39.10133380675416
118,29095017100,3783,4.528019033818866,-94.52570248249017,39.04581419986675
119,29095988300,100,17.875312040653636,-94.46889647255419,38.90092868026216
120,29095001900,3632,1.733458209469505,-94.52532231482712,39.10179427336634
121,29095000300,1524,1.695822195947136,-94.57116351844564,39.114273929533354
