node_index,ct_code,population,area_km2,longitude,latitude
0,6037570304,5094,0.5715349187228128,-118.19318374843431,33.85603554675365
1,6037570403,4832,0.5706754298120106,-118.20448585860836,33.87786678254749
2,6037571703,3557,0.3974794008446155,-118.19173399277206,33.84932009323859
3,6037576503,4469,0.3117828022968897,-118.16974070806269,33.771829051656454
4,6037573202,6379,0.6490426812096706,-118.18501907552431,33.79348642154865
5,6037571503,3878,0.908988759410828,-118.17057723702663,33.84816758527519
6,6037576401,5021,0.324019800076878,-118.17850583155162,33.778973996752036
7,6037572002,4723,1.046072630238374,-118.19163694752065,33.82308044310509
8,6037570502,6588,1.9978261467518628,-118.16680202877967,33.86747030658091
9,6037980007,0,2.705064384744026,-118.10245255652123,33.76360521406038
10,6037575801,2254,0.4362173062239867,-118.2023175481056,33.77914735835796
11,6037573601,6402,3.7267099558832353,-118.13136173669412,33.826669284106806
12,6037576001,5174,3.094742255221268,-118.19331714337913,33.76251742813217
13,6037576301,4165,0.548532859227503,-118.18869643727437,33.77896850706441
14,6037576903,3644,0.3247039972654327,-118.15676684413437,33.780778745045154
15,6037577504,1378,4.207487792701832,-118.12770569246369,33.74154642832702
16,6037570402,3400,1.529111997241564,-118.19854625933839,33.86863008343771
17,6037570501,8042,1.4859321029149488,-118.17967360090903,33.86869228160953
18,6037570602,6177,1.0424985296736782,-118.17293316287244,33.85615594352471
19,6037570603,5172,0.7347131792569965,-118.16232128807218,33.85717117574513
20,6037571704,4076,0.48158726291282,-118.18707233325709,33.84994581890702
21,6037573003,1843,0.4481118955435609,-118.20224449372022,33.79352983053966
22,6037980006,0,3.3492317492995345,-118.08711704551166,33.814350020388495
23,6037571502,4739,1.3769310977504818,-118.18422761789121,33.8421849435487
24,6037571600,2309,0.2889465783893961,-118.18138275033188,33.849871537664484
25,6037571701,6247,1.8992492641621144,-118.20042762212223,33.84847806630746
26,6037571800,3222,2.8107266765873,-118.1973289514158,33.83375482432154
27,6037571900,5413,1.9351546504840824,-118.1774537930874,33.83193020207409
28,6037572001,5957,1.4419988772454435,-118.17626843984296,33.822720507275115
29,6037573004,4577,0.410913500958912,-118.19647341605604,33.793490632153706
30,6037576904,3157,0.3660873695293148,-118.1573180081184,33.77715128498434
31,6037544002,3187,1.6014445803244308,-118.21596390126041,33.83043067886279
32,6037572201,5592,1.5541811828092682,-118.19497523101265,33.81529466489095
33,6037572202,3614,1.5522550107579025,-118.19502161351002,33.808025616288084
34,6037572301,3841,0.8160410862147627,-118.21882694049242,33.8212858106746
35,6037572302,3610,0.7502491792880728,-118.21041793001103,33.815279304279876
36,6037572600,5357,1.2726439339202824,-118.21393110164065,33.80801266474639
37,6037572700,5268,1.0743945761195028,-118.21257744294131,33.80075593222309
38,6037572800,986,1.0747854659934384,-118.22120872589745,33.795295833247536
39,6037572900,5360,0.7721569790721912,-118.21055527907853,33.79345586446418
40,6037573100,7547,1.1926523550509776,-118.19735781188005,33.80075249803006
41,6037573201,4597,0.6017276171829065,-118.18531817021172,33.80061911548717
42,6037573300,4158,0.7867119677306538,-118.17570778659244,33.79329109812757
43,6037573700,5009,1.825381316232288,-118.10961409042427,33.826585262964734
44,6037573800,4309,1.5340163383967913,-118.09841251193225,33.8242122293651
45,6037573902,2031,0.6948556733033494,-118.07745770090276,33.81396331360862
46,6037574000,5165,1.8198944765315763,-118.10173865869989,33.81447388432561
47,6037574100,5014,1.8391540496279133,-118.12305710770404,33.814817279911495
48,6037574201,3100,1.294645533390355,-118.12962648713511,33.80329547904799
49,6037574202,2251,1.3395107683753251,-118.14321330274524,33.801256114249426
50,6037574300,6052,2.481021552434139,-118.11720595591034,33.799886790299134
51,6037574400,5474,3.4004944993239725,-118.1019446384053,33.803427201643956
52,6037574500,6631,2.722889931825471,-118.10024023453012,33.786901615663695
53,6037574601,2276,1.296739677070846,-118.11480097515565,33.78379453135866
54,6037574602,1291,0.5845781792336531,-118.10753690914123,33.77793019100182
55,6037574800,2961,1.10807251069821,-118.12748592858962,33.783492830862436
56,6037574901,3697,1.341381802487278,-118.12517592531339,33.79214339526874
57,6037574902,5549,0.8033184859393484,-118.13782525014963,33.791335055317695
58,6037575001,3688,0.941978064587268,-118.14709677795243,33.794713895605575
59,6037575002,4843,0.9650161936401528,-118.1434681329318,33.785783099024684
60,6037575201,4772,0.5665949741336084,-118.1767948709564,33.78648731500287
61,6037575401,4788,0.8899234496722898,-118.19967167032289,33.786273096013886
62,6037575402,4129,0.3238080894090909,-118.19154380659253,33.786226408409576
63,6037575500,93,1.37615553162694,-118.21496659639517,33.78651293154431
64,6037575802,5664,0.3209386875901909,-118.1972070344824,33.778962027579816
65,6037575901,3553,0.4856131586191328,-118.20189669759775,33.77252618422528
66,6037575902,5208,0.3505170446437761,-118.19520124089402,33.77231570120037
67,6037576200,5324,0.6966695533918427,-118.18676364813003,33.772383614809065
68,6037576403,5140,0.3245403948277527,-118.16981518063638,33.778972887322816
69,6037576502,4658,0.3076167799132871,-118.17409057340873,33.771917983478914
70,6037576602,4423,5.0503593033048775,-118.17832000009257,33.74950823643028
71,6037576700,3935,2.4960534923748847,-118.16257872206921,33.756253947401845
72,6037576801,4070,0.5141916372190181,-118.1642807403399,33.771579391447084
73,6037576802,4061,0.4677917892306322,-118.1577274326491,33.77178563907358
74,6037576901,5357,0.4448960607567312,-118.16463200735497,33.7791376767943
75,6037577000,7288,1.848697574970949,-118.13986199153982,33.778717503684135
76,6037577100,7185,1.2154071991678277,-118.14806487327625,33.77079269941834
77,6037577200,5848,3.495712540659701,-118.15271316345947,33.75244772130215
78,6037577300,5431,3.208911143392714,-118.14124730136002,33.74983671145428
79,6037577400,2947,0.6453637066861794,-118.13511395757794,33.76290629709925
80,6037577501,3370,1.362029213720945,-118.12217552326254,33.75489819646578
81,6037555202,3661,1.10238295690412,-118.0730067796036,33.820803268076055
82,6037570100,3192,1.1543665714863327,-118.15322121631608,33.86446281248214
83,6037570202,6124,1.6647090016931638,-118.1785185040933,33.87941133127008
84,6037570203,4165,1.301660246507709,-118.16000773355573,33.87832688288765
85,6037570204,4201,0.5480921881065616,-118.15561290909457,33.87163285265691
86,6037570301,7273,1.2038149156892632,-118.18908809025334,33.86910493167625
87,6037570303,4471,0.6160082951993121,-118.19191219102032,33.85994294029358
88,6037577604,1367,1.5280654860641163,-118.10909151581498,33.75489724183836
89,6037575803,3229,0.1995881375097543,-118.1937148323703,33.77896607290832
90,6037570601,5610,0.7804470291831013,-118.18098489903656,33.856940212890834
91,6037572500,3643,0.5927046300429046,-118.21827963061536,33.81653834494335
92,6037574700,133,0.4208219681906899,-118.11864799991294,33.77843573787912
93,6037575103,5171,0.4825184803693227,-118.15348731847324,33.786193372732804
94,6037575202,4175,0.4040921094911275,-118.17046038575512,33.785867073924294
95,6037570404,3676,0.8655681261388517,-118.19608678216804,33.87761997297213
96,6037571504,4512,1.5116743802364017,-118.16979903039834,33.838701193937005
97,6037576402,5015,0.3244478088398602,-118.17416176690851,33.77897556658124
98,6037575101,4339,0.4215382374322001,-118.16239725821656,33.78813021778678
99,6037575102,4151,0.4059593235664167,-118.16219120507239,33.7844124313698
100,6037572400,1425,0.4733299529372405,-118.20920612121932,33.82300995968824
101,6037576302,4077,0.3237049722465254,-118.18284887188119,33.77897182662494
102,6037980018,0,7.411010769138548,-118.15227179226898,33.81523069486692
103,6037980033,16,28.70352985056826,-118.21676194718732,33.74706622977139
104,6037572100,1113,0.7892924210940231,-118.2022595161699,33.82373644628448
105,6037575300,4360,0.6480652332673335,-118.1850263502701,33.786225786970846
106,6037576501,2986,0.2913686552376995,-118.17873058300549,33.77223902175028
107,6037573002,4086,0.3245038428310008,-118.19154442189844,33.79348403725596
108,6037571200,8175,2.6137558356230977,-118.13362463386001,33.8395918322143
109,6037577602,3259,1.395174902067801,-118.11177542763456,33.770458528717135
110,6037577603,8457,2.9809058903610124,-118.12829543503886,33.76862073988771
111,6037576601,4293,0.4613287349058642,-118.17949129412848,33.76625679754746
