node_index,ct_code,population,area_km2,longitude,latitude
0,47157001200,4370,2.168282327939317,-89.935748855662,35.15572632735973
1,47157001300,2870,1.664584656938544,-89.95051382647955,35.156432514299745
2,47157001400,1567,1.226141972826086,-89.96160257079005,35.15469581618944
3,47157001500,1708,1.3691949947456856,-89.97409029439197,35.15299268956425
4,47157001700,3934,1.6442938687199866,-90.00426877183709,35.15863317663577
5,47157001900,1143,0.9261779541673152,-90.02331097136168,35.16328146687018
6,47157002000,1829,0.9650938360593928,-90.03302555740969,35.160944769338535
7,47157002100,1298,0.791222032661023,-90.04451929347364,35.15993512099432
8,47157002400,2253,1.2418705925432336,-90.02662032870876,35.151185550380134
9,47157002500,2620,1.620794031720756,-90.01597947932676,35.150669981894225
10,47157002600,2741,1.196173825429528,-90.00397335416352,35.148088207386486
11,47157002700,2131,1.3561562290639435,-89.97535305610843,35.14294477783127
12,47157002800,3105,2.420730690165992,-89.95777847997022,35.14417600629559
13,47157002900,4952,4.109570927181903,-89.93593548604414,35.137099107232146
14,47157003000,2895,2.012182308442596,-89.95405530406408,35.1354645804562
15,47157001100,3155,1.7514007135059655,-89.94110094001839,35.16740394529154
16,47157003400,2326,0.9183480350815516,-90.00778306969788,35.137584438615065
17,47157000100,5503,6.735743546983868,-90.051579379846,35.17318092946982
18,47157000300,767,2.881278973983574,-90.02960044427539,35.17812896427919
19,47157000400,1352,2.3679791353110784,-90.01635120169894,35.17819733332184
20,47157010630,4147,1.8008333427029062,-89.91454094109821,35.05732626897525
21,47157011200,1363,1.2012308602084776,-90.01465290039964,35.165342805939254
22,47157011300,1334,1.909173936308531,-90.04173742573104,35.15236395573991
23,47157011400,5135,2.858372669669475,-90.04556026102958,35.13653789068262
24,47157011600,2786,1.5314196956081714,-90.0397677689993,35.12054143375392
25,47157011500,2485,2.388233334046715,-90.02374649169909,35.11516814570667
26,47157011800,5911,3.843265434782351,-89.92403455889949,35.09434390501813
27,47157022700,7386,8.300713655560862,-90.05135679278875,35.00776223160466
28,47157007821,4926,3.49302956088797,-90.00723065590886,35.07989295514675
29,47157007822,1754,2.338010600978619,-90.02733414659379,35.07935109325231
30,47157007900,5154,2.737800704095669,-89.95949693998071,35.10133490750664
31,47157008000,4448,2.681196841018214,-89.93997927743776,35.10045747429872
32,47157008110,2296,1.9400705378471992,-89.97909892156197,35.08388834319846
33,47157006600,2217,2.0868591728507884,-89.98458339613661,35.11986022689766
34,47157008120,4909,3.200939630322598,-89.96172370994047,35.086947340480286
35,47157008600,6081,5.359534413646528,-89.91323745137082,35.14002095198284
36,47157008700,4792,2.863301580467416,-89.91675434737907,35.15544109420297
37,47157021721,4407,1.937743647172216,-89.86134708788285,35.06133888406397
38,47157008800,6889,3.07481013929646,-89.92520839393016,35.17132152897135
39,47157008900,4532,6.176457128568703,-89.93047682444761,35.1873892009713
40,47157009100,3352,2.9846604661016367,-89.90983908854038,35.17265532035651
41,47157021731,3226,3.011524808778601,-89.87606780531786,35.04272344037242
42,47157021741,8785,3.958999939870133,-89.86161029554601,35.02767064783585
43,47157021732,6191,3.187597458208408,-89.85574946725804,35.04264515243552
44,47157006700,3580,1.874531358779296,-89.97536517166021,35.11339856897287
45,47157009300,4365,3.210261446821666,-89.90910504144124,35.09826280915699
46,47157009400,3421,2.053217293757333,-89.89942634784946,35.099232877938014
47,47157009500,5936,5.350006798430502,-89.8848426944324,35.0954970929815
48,47157009600,5492,6.831138754777722,-89.88105944193137,35.11809356687857
49,47157009700,2765,1.7976459404197795,-89.90988114521043,35.082171628231556
50,47157009800,3248,3.6001968171228733,-89.89688338159345,35.15887927701205
51,47157010000,7242,5.518818848797006,-89.99390354629874,35.23523898286543
52,47157010110,6475,4.1971334924190735,-90.01037055616176,35.21726976573399
53,47157021900,5118,15.19783896517793,-89.96186414294577,35.00931917829419
54,47157006800,2019,1.2860099757609529,-89.97668067440715,35.104132811143565
55,47157006900,2665,1.920539847117787,-89.97978348298774,35.09552740541554
56,47157007000,3133,1.5392024563652933,-89.9561215115244,35.111681831952104
57,47157010210,5571,3.60703184160946,-89.97788724782781,35.22570363755094
58,47157010610,6032,3.9005699034028023,-89.91866210130817,35.070946210949046
59,47157010620,3753,1.369321172314872,-89.92720450248373,35.05798820766507
60,47157007100,2686,1.7959299846363288,-89.96559855110708,35.12429440849879
61,47157007200,2758,2.224837418292913,-89.95347813938771,35.12209076267702
62,47157010710,5168,3.9369812222347456,-89.89545273318207,35.07177384085838
63,47157010720,3876,1.4070842076505976,-89.88072937799797,35.06855980423059
64,47157010810,5931,2.378713587939988,-89.89638769732441,35.05638072186203
65,47157010820,4262,2.2519212081595263,-89.87585342576762,35.05562156838161
66,47157011010,3690,2.8274913712696805,-89.95942989386468,35.03682077833221
67,47157011020,1436,4.777614239208208,-89.94533872315449,35.04039713316221
68,47157020511,2238,3.783441475905692,-89.96018919300624,35.20543052831851
69,47157020541,5722,4.587938433787878,-89.90990365452396,35.21429026463595
70,47157020542,5184,4.560557795835286,-89.90686729241241,35.19750014652892
71,47157006500,2441,2.1325808987569785,-89.99748488292977,35.104323012646006
72,47157980200,0,45.5156456278379,-90.1320359134571,35.102280902375156
73,47157000700,4305,2.497535190766469,-89.99577214768267,35.16731992102274
74,47157000800,2355,2.191972385513888,-89.97290941944958,35.17816900691174
75,47157000900,2326,2.3653338752933384,-89.97524079083037,35.164896954288025
76,47157020512,5375,9.434613502019667,-89.9419265883657,35.20605944533128
77,47157005500,2106,3.35514558280992,-90.05936263983921,35.09392568763732
78,47157020521,3324,7.771166552900832,-89.95367885744575,35.24670857918426
79,47157008200,4870,2.488509683979899,-89.94133892457053,35.08677810089609
80,47157010220,8526,10.618260838009666,-89.98203273152336,35.20223348160772
81,47157021200,1898,2.2799403978683896,-89.86706353043904,35.15695030900546
82,47157021710,3119,2.4139802848578364,-89.87405072898792,35.072187083041456
83,47157022210,4210,20.61862637994141,-90.11630574607912,35.036976204752676
84,47157022322,3873,4.149000338779251,-90.05500860676403,35.02795953768421
85,47157021111,4598,6.818544687713086,-89.8525472905042,35.17802040736406
86,47157021112,6728,5.395473442641843,-89.82644917680234,35.19237948368958
87,47157021113,3956,4.262424039465133,-89.8004447872448,35.19815875035369
88,47157022330,4928,4.212774239008524,-90.0838623026491,35.0281455037018
89,47157006300,2714,1.2091838808748692,-89.99764669505747,35.12045944807755
90,47157021122,6484,2.93071941759487,-89.84779397010513,35.16065285294962
91,47157005000,949,0.8776233486881628,-90.05107091355129,35.121428356055894
92,47157021136,5523,4.241333974354998,-89.76860727992302,35.166619455303696
93,47157021137,8320,6.099276867679344,-89.78107727585011,35.142018154185116
94,47157004300,2799,1.6823566284198956,-90.06476190256207,35.12987323186651
95,47157009901,2967,19.044419820268114,-90.03325413724829,35.22672393207068
96,47157021334,4388,3.245533943083845,-89.82379260930135,35.060509799900714
97,47157021333,4919,3.994690150186654,-89.82924342708155,35.07364016285681
98,47157021139,4190,8.725616724610662,-89.75998746158237,35.11597987747965
99,47157022500,5189,15.633886789303796,-90.02947906231273,35.061228017019744
100,47157020532,6527,7.956449377720943,-89.90763010398771,35.23257694364612
101,47157021142,3780,4.274181617235778,-89.77960320317821,35.19245804785162
102,47157011700,1295,3.5319368605348256,-90.06490256350087,35.116773060217284
103,47157021121,5228,7.222375654707408,-89.81480412595658,35.17784243955663
104,47157010300,1411,5.602343495636405,-89.98294194976393,35.24919222979885
105,47157020621,8230,5.342779391988585,-89.88122276002625,35.1957633001874
106,47157021744,5884,3.5622502277798005,-89.82310396498937,35.03841935421576
107,47157010500,1918,4.589388569989405,-89.94152043168387,35.06419320765292
108,47157004500,1109,0.5554576778394869,-90.0394262852,35.12856740705298
109,47157980300,0,102.52145872699413,-90.19962406320897,35.02950097432482
110,47157021724,2191,2.223353713131405,-89.83498176537222,35.0547724066427
111,47157980100,82,19.126875766078527,-89.97124409116378,35.053395539625
112,47157004200,3323,2.683620621598238,-90.05821186688388,35.14428644190365
113,47157004600,1185,1.2815285165116967,-90.02804807836264,35.128624377699765
114,47157007300,4500,1.9171287196033175,-89.93637985152884,35.12098406854716
115,47157021320,6157,5.925212615732256,-89.85098780179437,35.0921817163061
116,47157022410,6131,13.503402911923802,-90.09291467775232,35.00743535702094
117,47157005300,3308,6.464508296026821,-90.07533935356241,35.09200958830291
118,47157008500,4399,6.517968711001328,-89.91192120348902,35.12019132693551
119,47157005700,2795,1.447788529867738,-90.04106019315131,35.10422559031247
120,47157021135,7058,4.27478198688786,-89.78657066867964,35.16679546379129
121,47157009200,7782,6.802406416622269,-89.88155058024984,35.14045567624819
122,47157021138,4098,9.43876234012725,-89.75509330246938,35.14456955955987
123,47157003300,2418,1.1228268640001893,-89.99870711946465,35.128168927286694
124,47157000600,1815,5.092783746554288,-89.99319016296138,35.181347946827515
125,47157021331,3126,4.929388861830048,-89.85943708949402,35.07879844008838
126,47157022130,5819,5.034632228558564,-90.0116325470374,35.000765226310996
127,47157010120,5563,7.462168783746105,-90.01584454818372,35.20052372002591
128,47157020610,4225,7.648529712946813,-89.88511606692472,35.176210030178986
129,47157001600,3234,3.1288073174366344,-89.989827278314,35.15135686013371
130,47157007810,2414,5.984898594928905,-90.00487284403346,35.09210240767923
131,47157003100,3465,2.802851940067884,-89.97977411017648,35.13294597940111
132,47157003200,3876,1.4318641464578723,-89.99691962567984,35.137095948255904
133,47157003500,3039,1.413184470872154,-90.01359497030802,35.12792517156247
134,47157003600,1538,1.213205533284292,-90.01718797301987,35.138872313993744
135,47157003700,1220,0.6949619610567298,-90.02789254304047,35.13553431066313
136,47157021141,7021,3.9319153686702175,-89.76550587506837,35.18773856524029
137,47157000200,868,1.1020929416945096,-90.04290483806494,35.16825743895607
138,47157980400,2383,18.232651437818102,-89.83303861741804,35.1360474608281
139,47157021140,5231,4.539407501234152,-89.78668106927938,35.12278494956495
140,47157011100,1623,4.078603822272755,-89.95668731750277,35.173152276203126
141,47157003800,754,0.7168919615393511,-90.02826683970883,35.14161921073763
142,47157003900,1534,0.5917878350060449,-90.03856068392678,35.1442694843524
143,47157021311,4790,8.013288486166292,-89.8550111701871,35.11486752603575
144,47157022122,4265,2.6181398829530877,-89.9987209969917,35.013713156628185
145,47157022600,3993,40.34330063511516,-89.89920723593431,35.01915516414803
146,47157009902,1793,4.207354764303158,-90.0395290179164,35.20411346415768
147,47157021125,4420,4.630669468012057,-89.80605661847866,35.14983762548759
148,47157021726,3409,1.4359367027690673,-89.85059141542396,35.054923346918
149,47157021725,4605,1.0396961303375658,-89.85096317921733,35.06423480803046
150,47157021746,4701,2.71617643868182,-89.83750543350912,35.03934173432953
151,47157021747,4178,1.867787094172393,-89.8411278342269,35.026339725058094
152,47157022220,3655,7.011501347515063,-90.07487024311874,35.065977625797274
153,47157022023,1463,1.4358686552788869,-90.01830739393912,35.05372980443205
154,47157022024,3364,2.5816850143704846,-90.0154615945858,35.04165742850089
155,47157020524,4823,4.658018838393869,-89.94017880948569,35.23105176859636
156,47157020523,2942,2.501636685181193,-89.93461200365624,35.24575937076072
157,47157021126,5031,2.4428532334058843,-89.80268942573278,35.16614235783682
158,47157022121,4724,4.373321793090632,-90.02250377699097,35.01379987961845
159,47157021312,2098,1.362075215205384,-89.83728779236966,35.10852881595088
