node_index,ct_code,population,area_km2,longitude,latitude
0,4013422641,7881,7.721692028107911,-111.66165933623924,33.35760352525696
1,4013422642,5533,2.574300234923496,-111.6274307511882,33.37180820140055
2,4013422643,6065,5.154783857559051,-111.61852375374775,33.35726768290897
3,4013422644,9764,7.818287317661207,-111.59849498847562,33.3668405170967
4,4013980600,4291,9.918360852402383,-111.61909765804421,33.33555216078347
5,4013422646,13026,5.6119385090286364,-111.59313821181672,33.335378042897894
6,4013420215,2335,2.595273872834177,-111.72755220526057,33.444563387685896
7,4013420707,2373,1.2968288839029771,-111.76235350360521,33.41910759239093
8,4013421001,3991,1.2774766367470307,-111.83562606268626,33.42958739512103
9,4013420708,3679,1.2964084596460452,-111.7450284393797,33.41913535277342
10,4013420709,3472,1.305730106109095,-111.76241039463699,33.41184530441131
11,4013420710,3845,1.2904601345322677,-111.74509955454917,33.41188098468606
12,4013422221,4051,1.901138249947956,-111.8723126412909,33.371871800831926
13,4013421303,6196,1.813540517402039,-111.86874002999977,33.41831126437681
14,4013421701,5185,1.2818806332961423,-111.77961908449623,33.41904181872668
15,4013421702,4678,1.2907263494318926,-111.7796786322636,33.411778529487734
16,4013422222,2365,0.9781712463172751,-111.86278827156453,33.37072872794603
17,4013420207,2881,3.288672871583779,-111.69235424422472,33.49012559218665
18,4013420208,5770,2.5899995566534697,-111.72771089988734,33.43007028106409
19,4013420209,4022,2.5933680254388385,-111.71040366905186,33.430089934576515
20,4013420302,4761,2.5731304802521238,-111.77926541059671,33.458996925353155
21,4013420210,5590,2.6010850221071435,-111.69291432712977,33.44461187012628
22,4013420211,4238,2.585029351811444,-111.69257039855951,33.47356993935747
23,4013420212,3240,2.5848780004244656,-111.69270486585562,33.4590878192776
24,4013420301,2386,1.6581791381181912,-111.79555077978652,33.45645128455688
25,4013420303,4775,2.5966152821774435,-111.76201113016032,33.459105973697014
26,4013420304,1131,5.28984736659599,-111.74409977482233,33.466776223520114
27,4013420501,7585,2.6222096614842605,-111.83114687686052,33.44413797943642
28,4013422624,2589,1.4667006072389437,-111.72645395708882,33.41174345880803
29,4013422625,4541,2.373016658013295,-111.7007063444979,33.41215782310076
30,4013422626,2664,1.83382707838335,-111.67253937148539,33.41162933068109
31,4013422633,2966,2.6101084206514766,-111.6765605786331,33.38616852158325
32,4013422635,1791,2.403728086908693,-111.64177147403893,33.38654800743849
33,4013420503,3917,1.3311608446530003,-111.81761017223155,33.445439183659836
34,4013421304,3237,2.3255680530574767,-111.8721703476093,33.41114345997199
35,4013420107,6743,8.354046992165689,-111.66892817668794,33.482540187429684
36,4013420109,4874,7.614929883392243,-111.65901723609248,33.458717202346975
37,4013420112,3299,1.92769685888164,-111.58783716563138,33.42836538287165
38,4013420216,4319,2.584540695960834,-111.71025053146327,33.444617215061875
39,4013420602,5364,2.559357831380793,-111.77948892513002,33.42993521983537
40,4013420603,4059,2.5441228462211063,-111.77929859400925,33.44450158881459
41,4013421201,4976,4.694520322755501,-111.87318840723067,33.43382344980544
42,4013420704,4968,2.6136369287195533,-111.76228008512618,33.43001678730544
43,4013420705,3946,5.200387301705961,-111.75349521139734,33.44457602389443
44,4013420706,5048,2.57054752278729,-111.74500527929608,33.43001701547223
45,4013420800,5429,2.5935040517734262,-111.79665337400542,33.42982961107401
46,4013422609,4556,2.576794323016815,-111.67608049857479,33.40068152567482
47,4013422503,6946,2.5857005244853823,-111.77977723320004,33.38627529360292
48,4013422504,5144,2.595520337679321,-111.76257105089542,33.38643236478524
49,4013422514,5795,2.449973607469167,-111.74563119736064,33.38676169611861
50,4013422607,4198,2.585834137470301,-111.72785001383471,33.40107218935409
51,4013422001,4452,1.268793189358007,-111.83159439159083,33.40424449816841
52,4013422002,4330,1.2925462869827438,-111.83142110912726,33.396993880271566
53,4013422615,7098,5.168779252049526,-111.60710623395475,33.39339144971505
54,4013422617,5846,2.653872082422434,-111.6789270516898,33.37240056049122
55,4013422618,2632,2.462197991987165,-111.661816686714,33.37176435341095
56,4013522800,981,15.59261466326132,-111.6620714809511,33.305865864092375
57,4013420401,4766,3.14506081821267,-111.82611438397065,33.45730952444624
58,4013420504,3653,1.3542768035697306,-111.80977172494886,33.44261382294639
59,4013422631,4512,3.124802514891222,-111.62370831337583,33.388460814897755
60,4013422636,2661,2.70204244481284,-111.7284576332585,33.38631328524281
61,4013422637,3487,1.4083671401886737,-111.71437852045223,33.40034447779401
62,4013420402,4161,9.702790393350485,-111.78002497259001,33.471856035633856
63,4013422638,4390,2.664637325595833,-111.71032199672051,33.38605104532943
64,4013422640,4563,2.604214951484803,-111.64477411803537,33.37195340825269
65,4013421102,7069,2.637671344348796,-111.84822834316438,33.43014197004681
66,4013421801,3029,1.2818998573649494,-111.79684997120621,33.39709613720194
67,4013421802,5205,1.2825799909009867,-111.79683904868583,33.40437159183744
68,4013421902,6686,1.3142253287726842,-111.81411622570597,33.40422271821055
69,4013421302,5504,2.4975080244412164,-111.84825652897173,33.41498394273867
70,4013421202,3997,1.5186731505821802,-111.86355481307632,33.4266992628034
71,4013422102,4825,1.2736509972783077,-111.8657395709275,33.404129910415776
72,4013422103,5308,0.7264006979081767,-111.86980905284585,33.396674730845604
73,4013422104,6508,1.5230414856471293,-111.8799564726162,33.401304627229926
74,4013422105,3384,1.2767296591319963,-111.84859431411701,33.39683785711309
75,4013422106,6200,1.2590582148269132,-111.84844976058213,33.40409462404156
76,4013422107,4365,0.635208821128572,-111.8612601221469,33.39711048754159
77,4013422203,5493,2.647164559191284,-111.84902467260166,33.38584300903387
78,4013422204,3049,2.592367835004282,-111.866632877571,33.385848271121496
79,4013422205,1612,1.3771887434443186,-111.88140186242858,33.38395959268034
80,4013421901,3944,1.309326268348246,-111.81419081229073,33.396981952121926
81,4013422501,6305,2.6054597025891355,-111.76247144316453,33.400933623930776
82,4013422502,6503,2.5707333739434266,-111.77973286340327,33.40087744454482
83,4013422212,4434,2.1759311890254818,-111.88584406705942,33.37099304419682
84,4013422213,2765,1.3290150940918588,-111.88534273159738,33.36023826110644
85,4013422216,6512,2.6046447398198764,-111.85072463610797,33.371544612028416
86,4013422302,5512,2.6399304764191784,-111.79709241356723,33.386061771755166
87,4013422301,5667,5.160154214498956,-111.8230247642993,33.386099819226196
88,4013420213,1947,1.303291427175283,-111.72776341471713,33.419180549320636
89,4013421002,3445,1.28095902080297,-111.82704456631701,33.42955774809876
90,4013817600,2527,45.10149434802995,-111.63352237712364,33.30997027451624
91,4013420113,3807,1.2836301203746314,-111.67596742596616,33.41900414662702
92,4013422634,5069,2.548916061097748,-111.65876835268186,33.38627453349816
93,4013421601,3767,1.2784053915920983,-111.79673566195729,33.41891107491654
94,4013420104,5887,7.67423299525798,-111.65848734857701,33.42966878874178
95,4013420105,6102,7.631301755389466,-111.6587763689644,33.44408173045736
96,4013420901,4126,1.2108876221446323,-111.81415435057637,33.43318633309894
97,4013420902,3761,1.3396622580246,-111.81415950531681,33.426091070298455
98,4013421101,4987,2.7777604284885484,-111.84712007926363,33.44627138510373
99,4013421602,4622,1.2775138581046823,-111.79679663042414,33.41165408833957
100,4013422215,2254,1.3234255794379544,-111.8678247442327,33.36049048004204
101,4013422513,4408,2.5949619184289454,-111.74511989892427,33.401005954983674
102,4013420604,4762,2.594645911467377,-111.7964107213775,33.44435130481008
103,4013421501,3911,1.3243271013803517,-111.81415083955672,33.41147604324077
104,4013421502,3340,1.321110015457974,-111.81411532266611,33.41874789108358
105,4013420206,3634,15.065804295049894,-111.71739729769888,33.47328963437847
106,4013421400,2452,2.541928460934278,-111.83142995954896,33.41510467689727
107,4013422217,3618,1.3203557105425363,-111.85040712925644,33.36053582877841
108,4013422610,3138,2.6105964960937538,-111.65879468536956,33.40062178446216
