node_index,ct_code,population,area_km2,longitude,latitude
0,34013004802,2670,2.336356809886264,-74.20278634323134,40.69946649673765
1,34013005200,1307,0.2686420353877883,-74.21318840900042,40.719163748006764
2,34013007200,3849,0.203449879641915,-74.15376148431177,40.724016305038084
3,34013007300,5438,0.4119830673595122,-74.15001425432203,40.72746826595611
4,34013007501,4665,2.314372678657288,-74.13371486894506,40.73649912583761
5,34013008100,3714,0.8065623155832176,-74.17677835640401,40.73413367801112
6,34013008200,2289,0.4287142134601104,-74.18859233101182,40.74056664281847
7,34013008700,3564,0.5290946999246847,-74.16965991379564,40.75523433992592
8,34013009200,3062,0.405220312553963,-74.16742607094214,40.759680880365245
9,34013009300,5017,0.5529074409031292,-74.16585556681623,40.765874492959576
10,34013009600,5443,1.2287632335680063,-74.15729416019605,40.7737182711121
11,34013006200,1696,0.2358270228419092,-74.18623083707358,40.72969710173121
12,34013006600,1481,0.1619420614001253,-74.18713713551928,40.72706417385091
13,34013000900,3392,0.3280575458081495,-74.1877720604859,40.754192231704444
14,34013007900,3659,0.4972551122406209,-74.16250075014277,40.73191563416425
15,34013008000,2356,0.8658408114665584,-74.16949528484444,40.73369441797229
16,34013008800,1852,0.1544616707915422,-74.17301261181781,40.752857387977635
17,34013009000,1787,0.4543060198330046,-74.18107277418707,40.75378624209184
18,34013009100,3116,0.4826470881155879,-74.1795964612609,40.75954840721295
19,34013009700,5297,0.4121612092990659,-74.16132971783595,40.77768227801233
20,34013000800,4672,0.3820117151261946,-74.18538963443855,40.76112587548947
21,34013001400,2816,0.3329614716892239,-74.19855779591076,40.74311399307396
22,34013022900,4255,1.241002874640038,-74.17154167605231,40.745363188987554
23,34013023100,2396,0.4780350664868723,-74.20584319725025,40.73496962192508
24,34013023200,3413,0.5241942345764179,-74.19450152011069,40.72010121941785
25,34013980100,2594,1.4632462786503144,-74.16713351705619,40.71363847055534
26,34013980200,1391,19.268167620208743,-74.1563716873683,40.698163103453545
27,34013023000,3179,0.3670180878983382,-74.19386120994334,40.73664590322502
28,34013008900,2035,0.1372116240264052,-74.17553752115228,40.755199192009165
29,34013001600,1832,0.2610346848018139,-74.19280476472251,40.75094804461578
30,34013009400,5973,0.6229103842438957,-74.17299551905755,40.76650248132913
31,34013000700,6165,0.6532843845376329,-74.19193636648102,40.75933477537509
32,34013002202,3385,0.3869478499686556,-74.24006135524523,40.73533151834297
33,34013000300,3893,0.3278055934714293,-74.17827308441868,40.77726971317769
34,34013001500,1942,0.2376492858236783,-74.19187947179934,40.74625157478297
35,34013022800,1964,0.3169633469060651,-74.18429262153867,40.73338628189563
36,34013007800,3600,0.1976883449481686,-74.16706876149438,40.72728776197113
37,34013005100,2171,0.3084316705401438,-74.20682344690712,40.714564049526125
38,34013002100,3185,0.4383908121719502,-74.23461733980942,40.74320154173818
39,34013002201,8704,0.5600443021696015,-74.24525909722372,40.73767862992898
40,34013002500,4590,0.3733493766181129,-74.22092411039296,40.743718714107345
41,34013002000,4231,0.4060890005382162,-74.23191491257506,40.748631237442275
42,34013002600,1564,0.2062269122660955,-74.20863922471146,40.73978196580456
43,34013002800,1898,0.2141665080671332,-74.20087673015868,40.73593730781698
44,34013003900,1296,0.308176782283744,-74.19459324128137,40.72704993290434
45,34013004100,3332,0.3478503954246772,-74.20597321433387,40.72461077966041
46,34013002300,4917,0.4985546491124198,-74.23216916535856,40.738675077633175
47,34013003700,1874,0.3292584466578884,-74.2078112567322,40.728722223050276
48,34013004300,2679,0.3774796097505756,-74.21828310292871,40.71864393005136
49,34013007600,3508,0.1944410861406818,-74.15539197012949,40.73003843837254
50,34013000100,6296,0.9455824245333792,-74.16912897543364,40.78248389539709
51,34013000200,3378,0.7862708316254001,-74.17677286898332,40.77142594877196
52,34013000400,2104,0.1788986371761783,-74.18288864841614,40.77432719246297
53,34013000600,3721,0.3275380798318887,-74.18724660565006,40.76859772749891
54,34013001000,3503,0.5298540295748794,-74.18240317559977,40.74772936337649
55,34013001100,3154,0.56914562842862,-74.18247561054085,40.74323226580859
56,34013001300,1629,0.2232788694584321,-74.1943619238201,40.742266414618584
57,34013009500,5514,0.603388971240572,-74.16748827573662,40.7741049534144
58,34013000500,1970,0.2076265360225054,-74.1836562264231,40.76798586392079
59,34013006900,4908,0.3606262131015849,-74.16639174372209,40.72364105099494
60,34013007700,2701,0.1987948286644757,-74.15981583975012,40.72828287059278
61,34013022700,2648,0.4992285677480063,-74.18798104905665,40.72266749290006
62,34013004801,2279,0.1680889306146003,-74.2020183741853,40.71085403679835
63,34013001700,2156,0.2864066051312754,-74.19766085886495,40.75060218162926
64,34013001800,2188,0.6949760693274497,-74.20381001211311,40.74490978378103
65,34013001900,1955,0.709177697994168,-74.21350647489601,40.74534692578259
66,34013002400,2979,0.3869073707852549,-74.22613633610227,40.74178802314023
67,34013003100,2092,0.2679095465698821,-74.19235835615356,40.731780097878165
68,34013003500,2270,0.2536944171446725,-74.2116682014912,40.73329731499217
69,34013003800,2218,0.5747391899525658,-74.19975385833784,40.730781529257115
70,34013004200,2214,0.290396695423758,-74.2134274143585,40.7256766426356
71,34013004400,1313,0.2214172361940733,-74.21674724421457,40.71425603556541
72,34013004500,2981,0.4890272365523663,-74.22300909464387,40.71089327721615
73,34013004600,2977,0.3941629333793013,-74.21577630406257,40.709846874511
74,34013004700,4981,0.5675673218649481,-74.21243637856482,40.70535784633103
75,34013004900,3276,0.3941431234573506,-74.20708885722685,40.70925629507743
76,34013005000,2774,0.7973819532334597,-74.19779219322344,40.7149848012002
77,34013005300,2290,0.3204638358281615,-74.20912843915389,40.719204052102576
78,34013005400,4178,0.3519005065992973,-74.20322777629713,40.7200828279832
79,34013005700,2225,0.8657209484552518,-74.18460199297182,40.71829393326895
80,34013006400,1154,0.3098436017208437,-74.18400375070367,40.737591574258765
81,34013006700,3955,0.3268784083693505,-74.18007998970869,40.7253516636817
82,34013006800,5811,1.1704247622616697,-74.17376012672825,40.719096149778466
83,34013007000,3765,0.3971267865898592,-74.16126156989377,40.72232468039573
84,34013007100,4428,0.3858579317506938,-74.15645950583841,40.720504978224405
85,34013007400,5388,4.367362927591635,-74.13361206642743,40.71796346169695
86,34013007502,2573,1.7802155094083765,-74.12920431514277,40.729500620093745
