node_index,ct_code,population,area_km2,longitude,latitude
0,6001403502,2044,0.1824634155097912,-122.25694009636987,37.81596187286008
1,6001403702,1930,0.1991024160484771,-122.25209332309907,37.8094978959664
2,6001405700,3531,0.5468601248532804,-122.22967368451306,37.79823072278908
3,6001405800,4370,0.5190506307060072,-122.23309846739873,37.7939451582438
4,6001404700,2137,1.2001686555706694,-122.20699345507923,37.81334264478855
5,6001404800,2647,0.6284068549282543,-122.21319624485217,37.80550756316164
6,6001405200,5183,0.8581203294406442,-122.24338782442892,37.80527699442651
7,6001405500,3880,0.4117220343228748,-122.2432790109304,37.79828211184833
8,6001405100,4285,1.2565205319695358,-122.23223657686063,37.811425001869125
9,6001404900,4197,1.0111806572801638,-122.22150594241039,37.80414219285866
10,6001405401,3648,0.313932620621713,-122.2494562298132,37.79653840502497
11,6001406602,2698,0.4147251685676715,-122.21430724351157,37.7964781965092
12,6001407101,3821,0.3708265661370934,-122.21439654557722,37.783128638926094
13,6001407102,4387,0.6608639434465446,-122.21023845085625,37.78077613779768
14,6001405301,2954,0.2277535059430931,-122.25135581375096,37.802075708808346
15,6001982000,63,1.53863207234322,-122.29283268893288,37.79662419979435
16,6001404101,3017,0.5737397568944848,-122.24982541219912,37.830093618355825
17,6001405302,2373,0.2055679928422482,-122.25431378630896,37.798507531945596
18,6001405600,3269,0.4287738263194475,-122.23727261548953,37.80080187201033
19,6001406400,2545,0.5655132937618285,-122.22186932308381,37.795560297889715
20,6001401700,3018,11.57035155095058,-122.31411592519258,37.820702351241515
21,6001983200,583,0.6410062024715724,-122.27697464364928,37.79565901580086
22,6001405902,2942,0.4872793596240601,-122.24095302549594,37.79094465521242
23,6001410500,2705,0.72447837254425,-122.28895705122066,37.81001587718353
24,6001981900,58,5.161523913587764,-122.31965641590705,37.80295713222767
25,6001403701,2968,0.1739459093686187,-122.25866557068021,37.81121338758308
26,6001404102,2653,0.230173926847144,-122.25106672961225,37.826021863759514
27,6001406900,3608,0.873126167668074,-122.19037894068292,37.79327539249485
28,6001408200,4570,0.9017633333606686,-122.17557281435685,37.77510051570864
29,6001408400,3201,0.5426591081230607,-122.17095954031544,37.76460556278265
30,6001408500,5977,0.8313596968699015,-122.17851117335194,37.76041762502556
31,6001408600,7096,1.061439387864358,-122.18230302448907,37.766197539948685
32,6001408700,7909,1.1312955563598917,-122.18894493920946,37.76886379842474
33,6001408800,7149,1.2043538225316397,-122.19694215447153,37.7588039493933
34,6001408900,3546,0.8024086983267543,-122.18878030435083,37.754181559702914
35,6001409100,2490,0.490550335087397,-122.18348281558416,37.73234194375655
36,6001409200,3672,0.7167981790482102,-122.17783894379257,37.72908301129358
37,6001409300,5303,1.0762781664887495,-122.17335985586384,37.73784663849935
38,6001409400,4780,1.2536180289541878,-122.18036228606628,37.744613029462464
39,6001409500,4128,0.8366099329722833,-122.18376587153914,37.75044630121583
40,6001409600,4978,0.7474781475465552,-122.17261971497712,37.75326690411426
41,6001409700,4991,0.8113040992526271,-122.16589289624456,37.75641870327667
42,6001410100,2667,0.7844344316005168,-122.15352942626913,37.74786407813544
43,6001410200,3630,0.5858445944048308,-122.15717423390812,37.74530633123491
44,6001410400,4477,0.7066068748659595,-122.16217410911412,37.74081607636651
45,6001407000,5869,0.8629383530558995,-122.20249005259676,37.78794579460198
46,6001407200,6985,0.7150722796833237,-122.21928187437561,37.77778483579922
47,6001407300,2420,2.580172168020236,-122.21249838863572,37.7630437862609
48,6001407400,4531,0.5114906357385948,-122.20674791884234,37.77104069580699
49,6001407600,6327,1.0227110224079414,-122.20319916356402,37.77752930561696
50,6001407700,4122,0.9179982725434496,-122.19320079078,37.77652472394626
51,6001407800,2728,1.2346918473158968,-122.18665981682678,37.7817416569171
52,6001406201,4995,0.4080762323399958,-122.2307359592249,37.78504485090376
53,6001406202,4817,0.3921808358463412,-122.22655572652712,37.78197858449087
54,6001406300,4383,0.4857153171483222,-122.22501274538007,37.7892880271631
55,6001410000,3242,6.707549885828237,-122.13234931645196,37.74397332302705
56,6001407900,2873,1.0990941230125464,-122.1847830998574,37.78842729701644
57,6001401400,4732,0.7582033485576094,-122.27338741731396,37.820755980562936
58,6001400500,4124,0.5902951390385869,-122.26472765703402,37.84854116348213
59,6001409000,4687,21.31057837874411,-122.21462950608885,37.727458765146196
60,6001401500,2839,0.4677428950682842,-122.28063362280247,37.82292857316004
61,6001401600,2289,0.6361366089133499,-122.28148223532052,37.81737131488667
62,6001402400,2866,0.3370102414123794,-122.28245757930603,37.81203045044694
63,6001402200,2477,0.7120774816571905,-122.29630734592293,37.80635213571825
64,6001402500,1781,0.3654540683376497,-122.28478031545468,37.805730536948374
65,6001402600,1243,0.3188451714201861,-122.27995513631046,37.80427006147391
66,6001402700,1890,0.3988191709527879,-122.27699102058784,37.810387333891065
67,6001402800,4480,0.3983111637177199,-122.27150009038705,37.808717982323735
68,6001403000,2905,0.3523957878420035,-122.2707273502064,37.80043412299627
69,6001403100,2101,0.3468519171710252,-122.27550119904926,37.80227409135672
70,6001403300,4178,1.0126053916541249,-122.26646805661825,37.79449639986409
71,6001404501,1809,1.0930695753702848,-122.21575152189467,37.82630705930579
72,6001403800,3351,0.6526664623644961,-122.24166617054304,37.81482360216885
73,6001403900,4051,0.4931005309404055,-122.24877131093729,37.81717839140999
74,6001404000,2895,0.3669841175253184,-122.2536627262057,37.8233125672787
75,6001403400,4340,1.2666658901020142,-122.25897905103939,37.80457977907561
76,6001403600,5570,0.3914917104039987,-122.25348033496398,37.8135075086694
77,6001409800,3516,1.7900260404875332,-122.15576366482718,37.760361065908896
78,6001400600,1745,0.2978563621965598,-122.264888160035,37.8419909147696
79,6001400100,3120,6.894332173608523,-122.23194603242528,37.867627489457455
80,6001408100,6320,8.935557047435932,-122.15721088405367,37.7853986732151
81,6001404502,5891,3.0714454641912585,-122.20261545159507,37.83452586690259
82,6001406800,3611,0.9125295237129178,-122.1949575043635,37.79789438485169
83,6001405000,3394,0.8003774485605998,-122.22764467153934,37.80827662620697
84,6001400900,2471,0.4208755824205722,-122.28026460725567,37.839491201741055
85,6001400700,5128,0.8803037397286979,-122.27235284892978,37.84176671934377
86,6001400800,4069,0.6962210348829809,-122.28339431725978,37.84546735327786
87,6001400200,2007,0.5865583100149494,-122.24959161838987,37.848137761362025
88,6001410300,3857,0.5783269961058084,-122.16614072389449,37.746679805129766
89,6001409900,3642,4.332550014167936,-122.13582497318995,37.76197269930457
90,6001406000,3796,2.581969211555972,-122.25030417314511,37.7865564760793
91,6001404200,3877,2.724010702595036,-122.23446657884027,37.83611351871144
92,6001400300,5051,1.1058475413457505,-122.25444039570202,37.8405970398921
93,6001407500,4299,0.4945012180677663,-122.19760928161043,37.769514988897356
94,6001408300,5047,1.521672819715218,-122.16451667062447,37.77109788869364
95,6001401800,1801,0.298631814751878,-122.29823553238317,37.809532643127
96,6001400400,4007,0.7156298855570781,-122.25744770778108,37.84828084327084
97,6001401000,6133,1.1443234372816768,-122.27190135024519,37.83122543967146
98,6001404400,5628,4.119673273917954,-122.2150687617775,37.84624299493975
99,6001404600,4625,4.827841054867647,-122.19121947424064,37.81985873984771
