node_index,ct_code,population,area_km2,longitude,latitude
0,40109106502,4590,2.4314055773627445,-97.55691258691742,35.51797116491671
1,40109106601,2948,1.9405242693296696,-97.57459882336322,35.5167574002885
2,40109106604,2583,1.38884977552686,-97.57597809174294,35.52639005736222
3,40109106606,2317,1.199243308793884,-97.58806849449111,35.52903117066082
4,40109106607,3854,1.5557489320899052,-97.5968866777276,35.531067876125604
5,40109106608,3123,2.7199490666400945,-97.58257646364225,35.542527737473584
6,40109108301,1930,15.52960104057279,-97.48716478299548,35.565615167189044
7,40017301008,6832,10.343591359850942,-97.68916610878644,35.43516451020259
8,40109105400,1993,1.9389464031333064,-97.50139272455073,35.41351238605701
9,40109105500,2940,1.2468647449510455,-97.55673438905403,35.4242162491908
10,40109106906,3397,1.2928484999237733,-97.60559826063245,35.500534538889966
11,40109106909,1887,1.2837499045189666,-97.64549678610224,35.482426674718354
12,40109106911,1889,2.4863069207508213,-97.66285056760785,35.48595290872558
13,40109106912,2934,4.559272123347412,-97.65573136493714,35.471009734405754
14,40109108310,2826,2.604370396278989,-97.5403932168101,35.587345828705395
15,40109105700,1298,3.2299299856745303,-97.55743272551594,35.454905015463424
16,40109105800,789,2.607402285404913,-97.55673025545468,35.471425980025735
17,40109105903,2950,1.920756590916517,-97.59231194959148,35.50584624516451
18,40109105904,3738,2.724467289716436,-97.57485260637564,35.503630104905746
19,40109106913,4373,5.804764645822753,-97.62099951040521,35.471856678371935
20,40109106914,4411,2.577478034583627,-97.62783081748468,35.4860555831926
21,40109107001,6254,4.546565928609455,-97.58463624537588,35.427277759369424
22,40109107103,1938,0.6665914643776415,-97.56824560774731,35.41462218119384
23,40109107104,3356,1.337596941861553,-97.57461348954425,35.41343934426044
24,40109108504,7199,5.819870134881681,-97.61279849367763,35.59199558124029
25,40109108506,3444,2.6124146144197167,-97.5755377269078,35.58666578339468
26,40109104300,3262,1.6436171892911868,-97.55257148589278,35.43858208800747
27,40109104400,3525,1.4738163179654449,-97.54414600614906,35.43466638674014
28,40109104500,3793,1.3146137453322553,-97.53462629127456,35.43515126767843
29,40109104700,1313,1.2507923765014477,-97.5165064496666,35.44118826851997
30,40109104800,3044,1.938708820143044,-97.50140780231835,35.42807763318766
31,40109108525,2266,0.995412958392955,-97.66598092522287,35.55390432880737
32,40109108315,6181,5.254475753924758,-97.54964635060988,35.616286762113184
33,40027201612,5662,2.6072405353931094,-97.52102500997798,35.34155526325295
34,40109108316,7181,5.312698728810291,-97.54935164985457,35.6310715484817
35,40109108218,10023,6.489458760167491,-97.54491844637654,35.645771804164134
36,40017301408,1685,78.43888343773017,-97.75353698137458,35.35771918035087
37,40017301009,5914,15.634819481300177,-97.73357768499608,35.435330135364374
38,40027202107,3263,7.379149113092345,-97.43917831575155,35.33129990772844
39,40027202007,4371,10.313603719540284,-97.44356805545222,35.36550804514808
40,40109108601,2742,28.22092130674984,-97.64028461912756,35.4411580094788
41,40109105300,3415,7.678536961597101,-97.48582671660154,35.442430042635955
42,40109107002,2076,10.99615243022179,-97.58543206127746,35.45877254061536
43,40109107218,3705,1.2635583140958655,-97.53907207061508,35.42427141126512
44,40109104600,1056,0.8156231714854623,-97.52579333627642,35.4398788735907
45,40109100300,2684,2.099039126054965,-97.5259305380492,35.51233531447845
46,40109100400,2434,2.593440200999616,-97.485575047159,35.500431510643374
47,40109100500,1785,2.734885415164814,-97.50378406633517,35.50061783147677
48,40109100600,781,0.5509656174637361,-97.51722371781712,35.50408245854139
49,40109100700,1221,0.6484383044485276,-97.52541333102,35.50414837056228
50,40109100800,2308,1.2986017595131487,-97.53877577975926,35.504155637614986
51,40109101600,497,0.5995395357281589,-97.51394736611573,35.485535976783694
52,40109101700,1203,0.8910019310625773,-97.52100745474519,35.486516995527666
53,40109101800,1602,0.646496357037674,-97.52553718594324,35.489627796717194
54,40109100200,6653,3.349292947369326,-97.55464737058549,35.50398377540847
55,40109100900,1493,0.8350617081121209,-97.56806592864427,35.49501697551323
56,40109101000,3167,1.3032179596893874,-97.5388006193249,35.49689878997924
57,40109101100,874,0.64961094884087,-97.52546723856089,35.49688672563311
58,40109101200,1238,0.6107456428050496,-97.51685651609685,35.49681997096941
59,40109101300,2956,1.9265112322028808,-97.47240129556222,35.48952168301066
60,40109101400,1040,0.8922452150784159,-97.49012417383204,35.48819960001449
61,40109101900,3131,1.2973809251461978,-97.5388409081339,35.48962998844406
62,40109102000,2682,1.3160211232919068,-97.55668594019386,35.48957369373565
63,40109102100,2233,1.293688824729361,-97.57452126868155,35.48960005936865
64,40109102200,2774,1.2936896462494225,-97.5745082277601,35.48233327085987
65,40109102300,2763,1.322078882339157,-97.55664167312665,35.48229279882891
66,40109102400,2672,1.2918533613745735,-97.53877568655892,35.48238195936564
67,40109102500,998,0.716295312666898,-97.52297848495522,35.479829394819376
68,40109102600,679,0.6422298921679658,-97.50742126321131,35.47884112609211
69,40109102700,162,0.8746218265306435,-97.49600637379417,35.479325083759655
70,40109102800,3054,2.489573138785605,-97.47512172262445,35.481460963697096
71,40109103000,265,0.932227177000081,-97.50054189468287,35.47370562393895
72,40109106707,7410,2.5543050181590607,-97.62790684594127,35.54406082632282
73,40109108529,2718,2.5932365339976,-97.6295728435454,35.58735255057715
74,40027201801,3829,5.259440585819544,-97.56564922886042,35.355683958381384
75,40027201802,3300,2.580007051067333,-97.53881306469783,35.35603633795431
76,40027201902,4206,2.4692335914408603,-97.53890749725127,35.37022269558783
77,40109108219,8295,6.495793291798715,-97.54491535337019,35.66028687321802
78,40109108709,3463,47.63844559479002,-97.18379574402887,35.404073820269794
79,40109103300,1636,1.0673234771197035,-97.53781797985174,35.4756117366257
80,40109103400,336,0.8607826933330192,-97.54356930744197,35.4690880235351
81,40109103200,3896,0.939317389461046,-97.5235898089044,35.47386820688807
82,40109103500,229,1.8114437672103945,-97.53625670631135,35.46324815980689
83,40109103601,243,0.5023812612534908,-97.51987241164757,35.46789568926629
84,40109103602,581,0.9882783473211212,-97.52753194471748,35.46012408133192
85,40109100100,3151,2.141981204714793,-97.53155366129977,35.52075810125468
86,40109108511,13904,31.50948902772744,-97.62015044647515,35.62386759823511
87,40109107101,8,23.860917214545022,-97.60419733036376,35.39710259199164
88,40109105600,4687,3.429338724303043,-97.57372149485064,35.44492931032826
89,40109107303,1540,11.818218100702037,-97.47978812224169,35.3909742730788
90,40109107404,3422,1.6439764634608909,-97.43091505888768,35.41552380490962
91,40017300905,5205,5.127481889218942,-97.71477233554387,35.497010146198626
92,40017300904,4242,12.903723788003113,-97.68916647772721,35.496944975260945
93,40017301007,6384,4.559947065580324,-97.72680247833672,35.45693776522937
94,40017300802,2692,6.084839638407158,-97.73007205433731,35.588895478179715
95,40109104900,4280,1.9417620190348144,-97.51469813912566,35.427951256588905
96,40109106610,1444,1.0214667560155597,-97.57146815955524,35.53258219637111
97,40109106609,852,0.9672058127196868,-97.57073808355905,35.540897066334004
98,40109108302,4952,14.529858534562962,-97.48561456737954,35.59386421590327
99,40109105202,1143,1.2827407239569466,-97.48104711510103,35.51497286843279
100,40109106706,3436,2.599749980060834,-97.61008736372443,35.52956854843691
101,40017301003,5132,7.409966860604928,-97.74784795472279,35.466720016287795
102,40027201904,4567,2.492967723782951,-97.55664700836996,35.370146104376346
103,40027202002,4021,6.223046794612243,-97.4989940221624,35.370282494380234
104,40017301006,2957,4.264185948287672,-97.69127934950974,35.45509519751081
105,40109108524,4153,3.789475059708197,-97.66639187913627,35.59862816864497
106,40109108528,2356,2.690314858827684,-97.6474433806311,35.6021472397637
107,40109108526,5278,2.3508503119488062,-97.66552920002276,35.56316772686496
108,40027201700,3678,49.157890183334864,-97.62465227468816,35.34848380370927
109,40027202302,5513,90.22939459160624,-97.19596000407057,35.337843321302564
110,40027202006,2943,1.2390992114813768,-97.52563696761217,35.37022782377362
111,40027202301,5727,123.43483784202728,-97.35082133793544,35.337973063507796
