node_index,ct_code,population,area_km2,longitude,latitude
0,42003562500,2417,2.2449027348735573,-80.05237158987369,40.45788052604286
1,42003160800,2570,1.0293179090048408,-79.97108624340082,40.42091884600135
2,42003160900,3011,1.6903219399406284,-79.9642830593496,40.424885695763855
3,42003120800,836,0.7157052753782125,-79.91313437496889,40.460374250947254
4,42003190300,1804,0.7888011529291356,-80.01484343265982,40.43272279569517
5,42003300100,3863,0.7756372129252199,-79.99300745387652,40.413554763737935
6,42003310300,997,2.046497252983529,-79.9225468134258,40.387925303227036
7,42003320600,2185,1.479648375152005,-80.00506417043812,40.394667411116544
8,42003051000,2130,0.646436228483821,-79.96751974751237,40.4443806937457
9,42003051100,402,0.1946001093639378,-79.97643709873876,40.4415541022027
10,42003141100,1300,1.3864303946638898,-79.90495800965628,40.42068427050468
11,42003562300,2914,3.393232739418315,-79.93273211613193,40.40864987274213
12,42003191400,2484,0.9486749684454948,-80.01112607886958,40.427300222172555
13,42003310200,3213,2.541945366426218,-79.91411228265947,40.37140265558561
14,42003210700,2223,0.7229476512628714,-80.02505154023424,40.4555033312331
15,42003010300,6652,1.0838586041152656,-79.98514727317301,40.435789704037056
16,42003080200,1725,0.3445624888397273,-79.95133516461675,40.459965784398314
17,42003080400,1547,0.4303858188231822,-79.94590711170541,40.456335783373184
18,42003080900,1911,0.3802253279758366,-79.94425024287125,40.46298982320744
19,42003130200,1422,0.3484858336002606,-79.89349429473165,40.45869369299184
20,42003130300,1230,0.5463097342118676,-79.89683310600164,40.45462789660619
21,42003130400,945,0.475085299230146,-79.88828679225797,40.451767082546255
22,42003130600,2969,1.4038615229235327,-79.87527949256716,40.45386717636695
23,42003130100,1702,0.7721403153890798,-79.88868836182148,40.45925082899338
24,42003170600,1718,0.8435575060426287,-79.98472793677062,40.42266245834361
25,42003260200,2080,1.4411670194122363,-80.01834183107447,40.49139000327132
26,42003290400,4204,1.6038883744421994,-79.98246518441977,40.38765611173957
27,42003141400,5143,2.137544010694503,-79.91875557572952,40.421320238849596
28,42003040400,1871,0.1995053314469465,-79.94937200142141,40.44734770588054
29,42003191700,3416,1.865132356911452,-80.01243735687514,40.40380983758589
30,42003260700,1514,0.6713441995162623,-80.0116945961398,40.48177889089181
31,42003260900,1698,0.8127995092567954,-80.00259617654034,40.47763357805072
32,42003080600,2073,0.404920053806036,-79.93966738719612,40.4601984073762
33,42003040500,3255,0.4723176121677089,-79.95595426415339,40.43961949632736
34,42003060500,1244,0.6642387473776538,-79.96624118758601,40.45763362212811
35,42003070300,2192,0.4285469884810928,-79.93520404503137,40.45078381892194
36,42003070500,3131,0.4127546114644034,-79.92896186208202,40.456016544480086
37,42003070800,2566,0.4466803630949917,-79.91976748284635,40.45647083365398
38,42003090200,2746,0.4463519574762514,-79.95714633273455,40.468893037624476
39,42003090300,1631,0.256782342408359,-79.95294213376172,40.464354462989554
40,42003100500,1845,0.7143054748842242,-79.93701419422655,40.47718154679334
41,42003101100,2573,1.3555817071137928,-79.94975851249285,40.4838812766919
42,42003140100,5520,1.4651782064181862,-79.937343840984,40.44274256279471
43,42003140200,2523,0.7594929424793285,-79.92631129335847,40.447801148494506
44,42003060300,2226,1.26174953651231,-79.96505805403294,40.465256441319355
45,42003070900,4278,0.8035686405476724,-79.94195038688304,40.452028786160035
46,42003111300,3013,0.5406303410637804,-79.92454479179405,40.469010260046026
47,42003111400,1469,0.3276222187308313,-79.93184207027274,40.467010415580766
48,42003120300,2098,1.0796706442336144,-79.90292185758358,40.46939262057743
49,42003120400,721,0.4374136578118671,-79.910450500889,40.465337734915224
50,42003120700,882,0.5149300118954081,-79.90394676084782,40.459431093733734
51,42003563100,3524,2.7154856643598166,-80.04371794944402,40.43092931751772
52,42003562400,2723,1.8919002315697888,-80.00243230681761,40.41271371708321
53,42003562600,2520,2.2801477083035566,-80.036890881856,40.443180889547264
54,42003980100,0,1.7272686465008915,-79.9145064503663,40.48122112703708
55,42003981100,0,0.8759873290300296,-79.90632559321014,40.442037733646245
56,42003562800,1528,1.7750318592653835,-80.0713579496461,40.42269583282387
57,42003563000,2918,3.946817465501132,-80.08090830880826,40.452880477117006
58,42003561600,2090,1.5733855922552211,-79.96635087276213,40.41484061089683
59,42003561700,802,1.072681416450482,-79.9740066636442,40.40932071552534
60,42003561900,2467,1.0808264933208744,-79.89308703221134,40.46935869298155
61,42003050100,1745,0.7903768826122203,-79.97289062536571,40.44771276870826
62,42003070600,2150,0.2897369615158509,-79.92547760990632,40.453270343503235
63,42003080700,1878,0.2750579488607121,-79.9343797972159,40.46097339018603
64,42003090100,1943,0.8187844642608424,-79.96197127444579,40.47530269084497
65,42003111500,2770,0.9652634158028068,-79.92463924274021,40.462207101535284
66,42003101400,3083,1.232707339567196,-79.92708112509922,40.48514785403614
67,42003140300,3431,0.9419406602256236,-79.919573798978,40.44144805128717
68,42003140400,2319,0.8349940926131095,-79.91573855646824,40.44933756225845
69,42003320700,1617,1.3137996717602516,-80.00021810133691,40.38245093094347
70,42003040600,2212,0.2530620346506676,-79.95228524719042,40.43675013791893
71,42003270400,933,0.3968169261312064,-80.02851130406177,40.46539950975966
72,42003270800,2237,1.2707933247361838,-80.0319964113558,40.48569608303878
73,42003271500,3234,1.39379830506355,-80.02822180121507,40.47302100179245
74,42003281400,2561,1.328962391399639,-80.05195803079425,40.44713601339767
75,42003281500,1426,0.6171036528254806,-80.05392880435646,40.440462334023756
76,42003290200,4486,1.4538969327275415,-79.9838309784639,40.39936604346321
77,42003140600,3152,0.8880578662874321,-79.90138117420997,40.44590304532774
78,42003261200,1019,1.0540859558956728,-80.00810981235689,40.49223789122652
79,42003261400,2205,1.2116973427132902,-80.01206287435096,40.46565830388439
80,42003020100,5490,2.1185667648702218,-79.99997095048866,40.44082217789573
81,42003140800,4487,1.0890721384977111,-79.91660159117382,40.43327476425685
82,42003220600,1805,0.4301735798103044,-80.01042444772045,40.45606665489388
83,42003040900,3577,0.9123938332264848,-79.9578956908682,40.43327560838671
84,42003180300,2073,0.7693048823019627,-79.99377127871439,40.42297241706916
85,42003290100,2007,1.2667384645704802,-79.9931756343606,40.399074421965196
86,42003141000,953,0.5078799721412307,-79.89761705583545,40.43288965348369
87,42003141300,5126,0.8902026627488324,-79.9282230553579,40.433482709586634
88,42003240600,2326,1.541969232141729,-79.98262188244757,40.46226754316996
89,42003241200,721,0.6907058259935565,-79.98915558136093,40.46846185606843
90,42003250300,1154,0.2424467226396445,-80.0120309468529,40.45848880819945
91,42003250700,601,0.5601285553017771,-80.02186301076446,40.45994107621802
92,42003250900,1026,0.6436391272635956,-80.00427583180561,40.462812971366986
93,42003020300,1212,1.9215045318281976,-79.98143336103082,40.45427291723264
94,42003320400,2045,0.853045109248214,-79.99204298559306,40.38471498831634
95,42003110600,2390,0.6375866961141087,-79.91559855580495,40.472691566360815
96,42003270100,2779,1.1717150779707366,-80.04385623940402,40.483213311576144
97,42003191900,2059,0.6087890311006333,-80.02216671497524,40.39620848498012
98,42003191800,5141,1.4571883995450867,-80.01630617287691,40.388915874532394
99,42003192000,3575,1.3606975153650651,-80.02704112366905,40.404426229582796
100,42003151600,2576,0.820481375232177,-79.94439407676704,40.42500768230001
101,42003151700,5477,1.1894430952569366,-79.93311995830281,40.42395103931894
102,42003030500,2109,0.663826375735606,-79.9838330981505,40.44272443483796
103,42003040200,1576,0.604717885947094,-79.96624629799595,40.440110053042524
104,42003101600,1043,0.4646018349509552,-79.93933063912598,40.47037387296411
105,42003101700,1327,0.3924971100590465,-79.94106784876453,40.46687903823104
106,42003101800,2621,1.197155387189634,-79.93693256975246,40.484169707415035
107,42003110200,3973,0.8150097554654036,-79.92316265834656,40.47555146558657
108,42003180700,1991,0.3933829350540891,-80.00129974923479,40.42465436257417
109,42003202200,3102,0.8869734759496792,-80.06360157228704,40.45411610949778
110,42003050600,2145,0.811251354596201,-79.95979730541016,40.45318156862033
111,42003050900,1348,0.4550328696359424,-79.97438496248807,40.451014321161374
112,42003191100,2438,1.6013084778782765,-80.0248301702472,40.435463909776864
113,42003191500,1922,0.8026108989272824,-80.01081714282563,40.420520383260396
114,42003191600,4180,2.4225037942731267,-80.0232036728348,40.41730573220073
115,42003202300,3806,2.532258554020673,-80.03929697251918,40.41030035945161
116,42003562000,2858,0.5866986625435407,-79.95389817802167,40.45183531656439
117,42003562900,1813,7.371623051142286,-79.9472192266181,40.4003027553018
118,42003140500,1915,0.7547212957979543,-79.90213115906941,40.45166454276711
119,42003170200,3725,1.3909797001453788,-79.98489613685807,40.42985627006847
120,42003980400,0,1.1069299660295633,-80.02001638248545,40.4819377731161
121,42003980500,16,1.6205773512418722,-79.94215996478243,40.43434610525144
122,42003980300,0,1.2941258116883452,-79.90572291187542,40.43255031423373
123,42003982200,4618,0.5056751603474038,-79.954765171351,40.44448792020497
124,42003980700,0,1.0789523793944311,-80.0114592393743,40.43755317395776
125,42003562700,1877,0.9158943350804958,-80.00986890153911,40.45194044213748
126,42003981000,0,1.3788151876304695,-79.94880789335755,40.47310358889725
127,42003981200,0,0.6171934837682571,-80.01080096501127,40.446456411854065
128,42003980800,0,0.5109888003589294,-79.96550945368053,40.432597892856734
129,42003980600,13,1.4568763812453076,-80.02800989810753,40.45198492698567
130,42003261500,1744,1.135927306490944,-80.01635006757625,40.470954211154066
131,42003262000,2559,1.647851243501154,-79.99521210462962,40.467170410090866
132,42003270300,2223,0.5931025612606815,-80.03675712305044,40.47785068868516
133,42003563200,2088,1.0636641027267877,-79.99793116669386,40.45292513479916
134,42003980000,0,0.8746024769664931,-79.89240570776798,40.48825449979778
135,42003981800,207,2.1329442960381533,-79.89721720975899,40.48017058165122
136,42003980900,1313,2.3188719208981654,-80.04194813493261,40.46659286251602
