node_index,ct_code,population,area_km2,longitude,latitude
0,48085031653,7188,3.581765538684166,-96.782330455108,33.049090308578606
1,48085031645,1950,1.4788276220489267,-96.83648959603235,33.05069555386493
2,48085031646,6125,6.334906213190521,-96.81308283628202,33.052449959259846
3,48085031647,3198,2.486539150827907,-96.83637410972733,33.036109730137575
4,48085031648,7269,5.728313559654286,-96.81272661860618,33.03564677373674
5,48085031649,4491,6.664123759198958,-96.81804871472352,33.020853707074664
6,48121021627,7926,5.127668332713864,-96.85041074674946,33.04463899670614
7,48085031632,6037,3.791339289811776,-96.70083358821378,33.0769485860809
8,48085031625,4868,2.467122193951999,-96.76171205310604,33.03382640739401
9,48085031900,7515,10.926613911405552,-96.68986029023016,33.010492702441404
10,48085032012,4299,1.6055817705160187,-96.68947673967071,33.03601425395091
11,48085031662,4818,2.1135505010565434,-96.7791584769989,33.09216705317156
12,48085031659,2428,1.0011551897082425,-96.79692354710987,33.08089912959809
13,48085031631,4670,1.907761347681624,-96.71741586754027,33.0775002051373
14,48121021626,2648,3.423336950441404,-96.84887295709066,33.07206314834685
15,48085031802,7372,5.521765159982416,-96.72042710160903,33.00877361522931
16,48085031312,6617,9.412111158318057,-96.646470077074,33.03590920514759
17,48085032010,6163,4.099348543406854,-96.65265437924617,33.01568631817765
18,48085031657,3084,4.0662586613501945,-96.81064724978002,33.08349662311612
19,48085031660,4597,1.3848106202306432,-96.79614744730814,33.0903758596006
20,48085032008,4484,4.210798829668066,-96.67404909429717,33.04264284313732
21,48085031629,3980,1.559691344359668,-96.72389157127752,33.0451791533975
22,48085031658,4265,4.417755092147588,-96.80950907773719,33.06801645265896
23,48085031656,2877,5.6254399046185934,-96.83327840568433,33.07292586646911
24,48085031661,3435,3.018113122522766,-96.78491343623783,33.10142797401625
25,48085032013,6359,5.359069950496834,-96.6878179872704,33.05530342833393
26,48085031654,3666,1.8125728932072245,-96.78175368863796,33.03827540629693
27,48085031655,4855,2.0300605383334878,-96.78281864693021,33.030847288668234
28,48085031807,4699,5.206647811322196,-96.74956109028031,33.01160912542317
29,48085031664,3821,1.7445657712016658,-96.78159704684369,33.07507424239402
30,48085031663,3608,1.478468475147967,-96.78293614238255,33.082425113103696
31,48085031621,5528,4.561815350043249,-96.78067013861289,33.018507480047745
32,48085031622,6613,3.862465671456808,-96.72049609954868,33.033919841640795
33,48085031623,2822,1.8278827337686727,-96.72115189669027,33.023056660652145
34,48085031624,3828,1.3723961826965896,-96.75996601133366,33.022890579421805
35,48085031626,2344,1.2857943846027835,-96.74237227938802,33.023045912771146
36,48085031627,5201,3.0060004186780005,-96.74344424398488,33.03372138994408
37,48085031628,3766,1.872300988406905,-96.72195038944588,33.05282613287614
38,48085031630,4612,1.9630374819738967,-96.7300522237071,33.07917971785626
39,48085031611,4184,2.5233031807886777,-96.70512279724052,33.04863518341116
40,48085031612,6197,2.884380124293171,-96.76109433896981,33.04907172939148
41,48085031613,5540,3.270930004768521,-96.7426101058924,33.04902875115287
42,48085031635,4542,3.0000998741042317,-96.70483109455684,33.062895920594386
43,48085031636,7198,3.1568792706836324,-96.76069240179561,33.064166235192886
44,48085031637,7181,3.1649032042724863,-96.76102049857852,33.078757132325464
45,48085031638,6849,3.4503938080933563,-96.76054655146991,33.093379163679685
46,48085031639,6820,2.827672981979518,-96.7593391266038,33.10826031708465
47,48085031640,8646,3.943103230353088,-96.7415073016524,33.11178335655626
48,48085031641,6415,2.3470523237011047,-96.74178414689055,33.09368725517413
49,48085031642,4559,2.033847842825134,-96.74343634958035,33.078759742269405
50,48085031652,7947,3.823043305853616,-96.78307662228025,33.06352042346256
51,48085031643,5036,2.187047133057562,-96.7430451529273,33.064170857484505
52,48085032003,5448,2.3017557921858227,-96.6907101192984,33.02479744040625
53,48085032004,7961,2.7073931679681595,-96.67284321345414,33.023449921349126
54,48085031409,11660,7.920515290744293,-96.66212588425635,33.06704093547678
55,48085031633,4341,1.5092873812088552,-96.72576284438937,33.06801322907907
56,48085031634,3622,1.37635265253122,-96.72507757872764,33.06103820776362
