node_index,ct_code,population,area_km2,longitude,latitude
0,41051006602,5981,2.534565035974928,-122.70728404002392,45.47107656905912
1,41051002401,2756,0.8422300116529121,-122.65255493540963,45.54370499685057
2,41051002402,3378,0.8782214794168216,-122.65195882014768,45.53420415712124
3,41051002501,4688,1.338433394392017,-122.6389908912231,45.54359634232292
4,41051002502,4774,1.0982440003063698,-122.63916780349696,45.53497620167274
5,41051006502,4621,1.9133476256640425,-122.71367525463224,45.46172584367241
6,41051006601,2538,1.575376116412314,-122.73342131932066,45.47191944472505
7,41051006701,3341,1.8532029242149857,-122.73367285516008,45.48157244319032
8,41051006702,3574,1.3866192171927676,-122.71333887448172,45.47971350988503
9,41051006801,2462,1.422044473803833,-122.73547973788381,45.49268506863148
10,41051006802,3644,2.22648029804415,-122.7185356894418,45.491400791175046
11,41051006900,2726,4.734039233189282,-122.73096851744369,45.508155059065686
12,41051007300,1249,31.225958840058446,-122.58837999673979,45.581644981619604
13,41051007400,4166,1.453290377237142,-122.6076480975388,45.56584790727674
14,41051007500,5357,2.159335141077919,-122.60899752469146,45.556880570310966
15,41051007600,3233,1.598556566737816,-122.58761216984226,45.56014475629539
16,41051007700,2033,1.099684306524126,-122.57103066873883,45.559237239227045
17,41051007800,2283,1.1198542494878212,-122.56252666448209,45.55064446515277
18,41051000401,3778,1.3566523670717618,-122.61433215219901,45.483479328436566
19,41051003000,5118,1.6324016158134185,-122.62388854132159,45.5547627837954
20,41051003100,5216,1.285026395406207,-122.63579524724743,45.555480976274055
21,41051003200,4399,1.145496327010913,-122.64547696050197,45.555329717844295
22,41051003302,3487,0.702588469233765,-122.65595814535669,45.55187353690202
23,41051003401,4150,0.9543541083242224,-122.66826328291975,45.5586359795205
24,41051000502,4924,1.436903862294973,-122.5849454596759,45.48369693076089
25,41051000402,3635,1.1706912717768727,-122.60410360947574,45.483173389837205
26,41051000601,5850,2.03331235514876,-122.56661651895493,45.48478114153888
27,41051000602,6079,1.65873227706414,-122.57196339345987,45.474766885412954
28,41051000701,4744,1.424363968400108,-122.589114327792,45.501387403846486
29,41051000702,5632,1.408353039902154,-122.59007662734648,45.493909835561496
30,41051000501,4327,1.1282503970955924,-122.59463377461906,45.48220004931485
31,41051003402,4179,0.7732835481631067,-122.66860512507682,45.551394459192906
32,41051003502,2641,1.212186760442109,-122.68288906158062,45.551448245799456
33,41051003601,5017,1.633639321471728,-122.6559373743667,45.57107046374272
34,41051003501,3610,1.2855544362537272,-122.68597282316516,45.559457662852445
35,41051000801,5061,1.5590475314890526,-122.61090477058636,45.5013676560182
36,41051000901,4795,1.1272231024631103,-122.63100575545047,45.50097721969153
37,41051000902,4881,1.0016753152052609,-122.63124548013292,45.49378223070794
38,41051001000,6139,2.5246457916964284,-122.64970879684837,45.497934027679655
39,41051001101,2705,1.672226090935866,-122.66093795671361,45.51318252251619
40,41051001102,1474,0.829732106283494,-122.6559782458706,45.50860553061439
41,41051001201,5385,0.9276021668265144,-122.64216565361207,45.515710488677705
42,41051001202,3534,0.9340210260134468,-122.64212764685298,45.508456416616994
43,41051001302,3600,0.7579956370565872,-122.62873142723086,45.50841898845721
44,41051003603,1663,0.9213034821693716,-122.6253669816011,45.56786121460164
45,41051003701,4558,1.4761693015617008,-122.6682370988047,45.57632802534567
46,41051003702,2643,0.8491358951692586,-122.66816213656084,45.56632798877589
47,41051003602,6884,2.215803321590804,-122.64092063629565,45.569352362057025
48,41051003802,3344,1.108953255853295,-122.68362487625384,45.57353324878811
49,41051003901,7643,2.503508986169305,-122.70411619789314,45.58400719984916
50,41051001301,4191,0.7449072629427187,-122.62886176548433,45.51567548093023
51,41051006100,2611,1.6303563048209753,-122.70064803832362,45.48506324835258
52,41051000301,5777,2.328438492498897,-122.63187103501804,45.484115138061426
53,41051006402,5658,5.800348278459233,-122.6975132838261,45.44392103816703
54,41051005200,4429,0.6269471302577305,-122.69083886174451,45.52052546509901
55,41051004001,8151,1.85694964010691,-122.72234845853764,45.58794057075648
56,41051004002,6590,3.149735966077128,-122.73075910555492,45.57659283348789
57,41051003902,3683,1.1314956361200117,-122.69976980299965,45.572629320957596
58,41051010600,3244,1.2214946080335247,-122.67612686861499,45.51870601560821
59,41051003301,3429,0.7413486036990317,-122.65560328175432,45.559104486510265
60,41051004800,3007,0.2970935060916602,-122.69499619404422,45.52712659256974
61,41051007202,3094,34.22270813688537,-122.71936558793475,45.612070257531954
62,41051001602,4545,1.66624049451843,-122.57215284567819,45.511912745928804
63,41051002801,3017,0.9170855715136572,-122.60504354985225,45.54356166565503
64,41051008301,4266,1.6217887313453383,-122.5722571891768,45.49730964005733
65,41051003803,4463,1.23126486499452,-122.68472984352982,45.566301930409736
66,41051006001,1511,1.817710090108216,-122.68687351113677,45.489672264493144
67,41051005800,4801,3.8007998599630968,-122.69644283895217,45.499619362342415
68,41051009202,5351,1.625282881584272,-122.51586688638854,45.513286790677235
69,41051004101,7852,7.798758198304572,-122.75776803598653,45.604554232874435
70,41051001400,5866,1.215530997260208,-122.61765452824301,45.51144733728134
71,41051001500,3648,0.9809031995638604,-122.606821121669,45.5111304718492
72,41051001601,6427,2.944582777721059,-122.59033692995665,45.51275849688253
73,41051001701,6818,2.0249762963372104,-122.58667062169796,45.52758577180178
74,41051001702,4348,1.3551572245386856,-122.57324946136337,45.525656797063014
75,41051001801,4650,1.1688220304776071,-122.60485007032176,45.52628637107941
76,41051001802,3845,1.0829362248330694,-122.60750276934336,45.51998792241256
77,41051001900,5182,1.7924679526197054,-122.6239502027512,45.52650509698492
78,41051980000,0,5.672617589118617,-122.70607587368355,45.56047199590678
79,41051004500,2635,1.7145480144210574,-122.70156296330947,45.538252295774434
80,41051004601,3253,3.564258169842595,-122.71023496994403,45.51965770847798
81,41051004102,5518,2.1705300856389247,-122.7439013278585,45.58697129760909
82,41051004200,3962,2.3100780177952407,-122.76150255670788,45.591427201648685
83,41051002000,6426,1.45604964961901,-122.63790064046452,45.52524113534667
84,41051002100,2990,1.7405661806420725,-122.65593574888683,45.52373035313049
85,41051002303,2731,2.1938273680641687,-122.66751599141358,45.53434989255961
86,41051008201,3047,2.1090686628180544,-122.55837206459782,45.51183912145259
87,41051002600,2793,1.018221586095605,-122.62642837674576,45.541540739327345
88,41051002701,3279,0.91281090523112,-122.6164665168867,45.543475325427366
89,41051002702,3393,0.8571042705676879,-122.61595203956567,45.53476023213862
90,41051002802,3379,0.9827004286707524,-122.60529921070793,45.5338370224555
91,41051002901,4581,1.536178052568055,-122.59273889106018,45.55144714528394
92,41051002902,5926,2.5219585573343903,-122.58866750527592,45.541331360988806
93,41051002903,5521,2.914266824408385,-122.57072065370292,45.543073972299226
94,41051004700,4577,0.7147351461646726,-122.7032740720088,45.530906933432064
95,41051004900,5007,0.5456351043465866,-122.69374445111906,45.53008912746017
96,41051005000,3626,0.7396301537899651,-122.68751078193962,45.53006969135723
97,41051004602,2205,1.4111549792692104,-122.70275433991795,45.50998991429842
98,41051008001,3239,1.436847292383043,-122.55429945520584,45.540398410576046
99,41051008002,2965,1.3291288165506223,-122.54311286881078,45.5403004360778
100,41051008100,8159,2.807467093764989,-122.55249372017681,45.528049960227094
101,41051008202,8848,2.372956479688012,-122.54587021063101,45.5148901239981
102,41051008400,4546,1.297163332465353,-122.54282846272366,45.49692518554114
103,41051008500,4741,2.1972201578227084,-122.54713069923865,45.48282137686332
104,41051005100,8816,1.4203602985053418,-122.67742393935053,45.528895430706314
105,41051005500,2869,0.3797027174286129,-122.69097045449874,45.51414864521561
106,41051005600,6296,0.4921086606637514,-122.68398334647286,45.5121401249864
107,41051005700,4107,1.5456100839118414,-122.67451674422598,45.50654877499993
108,41051008600,4287,1.286904254449467,-122.5842005777401,45.46868558225774
109,41051008700,5047,1.6798160242681612,-122.60269466631274,45.472262140066356
110,41051008800,4145,1.6539871369307504,-122.60265892187758,45.46506079749818
111,41051008901,10754,9.732543846102583,-122.51687450787902,45.47032461377761
112,41051008902,3836,3.014534306963746,-122.5605989709118,45.46746876818038
113,41051009000,11175,2.796955501500892,-122.53070816441695,45.49264213728886
114,41051009101,5785,1.5911966833967317,-122.50870264654353,45.50071713929291
115,41051006403,4248,1.8964344723288635,-122.72100445362409,45.44742155065435
116,41051002203,4243,1.4114753428965956,-122.66709254629274,45.5440322858545
117,41051006404,3768,2.7663709297131374,-122.7281887331843,45.438092236424765
118,41051000802,5039,1.3313795077411628,-122.61197826763568,45.4938318218824
119,41051008302,4977,2.2389429563087906,-122.556899101086,45.49706366552042
120,41051009102,6926,5.2496658521222175,-122.50641509183262,45.48846618793786
121,41051009201,7868,2.6662542281341803,-122.52935808401139,45.513266025264706
122,41051009301,6831,1.7160300847462728,-122.50306845635231,45.526229219822284
123,41051009302,4647,2.7290948311794443,-122.52357456441281,45.528111226676785
124,41051009400,6758,3.77380713489876,-122.51819076177097,45.53891390753813
125,41051009501,4575,1.872312578679536,-122.50905409090228,45.54759438051114
126,41051005900,8885,3.3131535825130034,-122.67334903210178,45.48520315325496
127,41051006002,2331,1.3290862797329568,-122.68697703382956,45.47513944447731
128,41051009502,3683,1.6399776508325796,-122.52813312895101,45.55080574845358
129,41051003801,3166,1.237419373574532,-122.68398539156689,45.58117555921064
130,41051004300,1028,28.248398600478676,-122.76958056828346,45.579165791122136
131,41051007900,4200,2.0161158069184437,-122.54815574658284,45.55336747866555
132,41051000100,6650,5.86971621293598,-122.65856875679987,45.47688931963644
133,41051006200,3194,1.7728675868225456,-122.68856150975283,45.46492093578011
134,41051009701,5819,1.8220299491750065,-122.50367264299103,45.51177145756157
135,41051009702,8442,2.637683784030364,-122.48612007238754,45.51184501938445
136,41051009804,3097,1.161816646762819,-122.49049713268549,45.49904882686074
137,41051000200,6389,2.385527994680106,-122.6442428798853,45.474198830516066
138,41051000302,7578,3.2168309999393365,-122.62666376144918,45.470061061118
139,41051006300,5585,8.6667577430441,-122.67053939294664,45.448746421051084
140,41051006501,6190,3.629814630579719,-122.73422380169409,45.45711016922233
