node_index,ct_code,population,area_km2,longitude,latitude
0,6071012300,4966,0.963185236266241,-117.2196638840585,34.139411344647975
1,6071004900,7113,4.869842953893094,-117.3167343080772,34.100398792405834
2,6071006100,9735,4.414131811345154,-117.25990639582614,34.160569950763005
3,6071004509,5251,2.112431482541007,-117.30248098153011,34.17708262153071
4,6071006204,4277,1.1298086221708037,-117.25357148205096,34.13920519398679
5,6071006203,4995,1.2944750923618915,-117.25143167702304,34.14567099264926
6,6071007410,5922,2.278643648432728,-117.21088680354315,34.13215994444751
7,6071004301,4449,1.421470026001059,-117.34603423235083,34.111535515407
8,6071004505,4989,1.680825243436354,-117.28519692220397,34.17201980531398
9,6071005701,1580,3.4837759922534293,-117.29260052118822,34.10063490635209
10,6071004103,6290,2.972496820002166,-117.33158162851551,34.141023617984295
11,6071004302,3655,3.015941049899016,-117.33093427021397,34.11404298469482
12,6071004403,5054,1.3473778757737067,-117.34096085124396,34.09283133809838
13,6071004404,4598,1.5630880570415164,-117.3419734278358,34.101410482712765
14,6071004601,7261,3.854949830864423,-117.32921986493082,34.16735560008605
15,6071004503,3718,12.460250029292608,-117.38721195350176,34.219954104505725
16,6071007407,2939,1.297660697135552,-117.23495559913428,34.13221171571391
17,6071004800,3263,0.8660431218837257,-117.30818119205158,34.11205417903778
18,6071004700,5424,1.9949548048146049,-117.30856702731754,34.1244890407029
19,6071007403,8102,3.9235011547183016,-117.23496736643153,34.14676438812026
20,6071005100,8442,5.026924529677414,-117.28058637100574,34.15758935319858
21,6071004504,8479,6.888922838897131,-117.34298699808691,34.19406462202915
22,6071007404,4644,3.923853266635655,-117.20680172052045,34.14360193992392
23,6071005200,4508,1.979871882151364,-117.28171735211896,34.144524676357776
24,6071980100,0,8.028781499570302,-117.23983430533387,34.097865245687835
25,6071004604,5621,2.4443518348503246,-117.30808381433079,34.14203266749735
26,6071005300,5363,1.7371277201715452,-117.29128307968054,34.13961050382911
27,6071005400,6750,1.810776669636168,-117.29088785942585,34.13229637228399
28,6071005500,9180,1.7626300155716672,-117.29056958598007,34.12500305132008
29,6071005600,6727,1.8333412193713223,-117.29210971888584,34.11732135077299
30,6071006201,4435,1.5785913887817151,-117.26682245322058,34.142673271330366
31,6071006301,5721,2.636565534713049,-117.26824649603907,34.1303051824387
32,6071006401,2778,2.024260577226711,-117.26989415870382,34.115771902016775
33,6071007408,4796,1.299419163968458,-117.23493862736308,34.124938052394704
34,6071006500,8416,3.939280030890439,-117.26618960710779,34.10326562542997
35,6071007200,5964,9.41264675831825,-117.2622655040339,34.07636117929886
36,6071004201,6943,3.356672262525669,-117.33162032375151,34.12798496757992
37,6071004202,5704,1.8145877730995008,-117.31820812200012,34.1259544982107
38,6071004401,4284,1.7861343602662467,-117.35290839743244,34.09417638261703
39,6071004510,5422,5.219156278786762,-117.31949569085619,34.18540096844726
40,6071004603,5526,4.265987495272566,-117.3081225257546,34.156631861502085
41,6071012400,3386,8.979576823285011,-117.29436736693846,34.07874914387951
42,6071005800,4013,1.666981579393105,-117.28423008052746,34.10832865469353
