node_index,ct_code,population,area_km2,longitude,latitude
0,6075025200,5256,0.657047619717093,-122.41421662852028,37.743712336623126
1,6075025300,4454,0.3830067405632509,-122.42014864931527,37.743701647030505
2,6075025402,3427,0.3001704611999289,-122.41278600670613,37.736882878838856
3,6075025500,9684,1.076563890135002,-122.4372594267687,37.72806291521193
4,6075025600,5314,0.562531121797631,-122.4224243321343,37.728713495952825
5,6075025800,2224,0.2417109418732177,-122.40200183969426,37.721619989828476
6,6075025900,4618,0.7396064046126573,-122.41095230078774,37.723475284227376
7,6075026002,3644,0.3578699176821646,-122.42628228299522,37.72611954740024
8,6075026004,4649,0.3362266506850449,-122.43570327348192,37.71789182823913
9,6075020500,3046,0.2768966398401693,-122.43702963775556,37.75912818587504
10,6075061000,4839,3.0347689250341108,-122.38544564252562,37.712643432832515
11,6075026100,7455,0.7512111321881612,-122.44315998539614,37.71962382371698
12,6075026200,7903,0.7745305274764076,-122.45395348005594,37.71131716444153
13,6075060400,1596,6.817847494616413,-122.49618449435253,37.71987882196076
14,6075026301,5083,0.3677435919595597,-122.43953618014001,37.71386867260254
15,6075026302,5255,0.7603187798374137,-122.43079252123894,37.7116594357242
16,6075020401,3176,0.3272160727137493,-122.44348358485588,37.759516652288035
17,6075026303,4822,0.4265975550942001,-122.44346627500784,37.709664587369105
18,6075026401,3738,0.3410431038408116,-122.41128335362646,37.71352507963521
19,6075026402,5102,0.4145044650094119,-122.40329757703918,37.716488466262845
20,6075026403,4082,0.3793815517181282,-122.40691284433666,37.71119163095379
21,6075030101,5048,0.3464332988458082,-122.45973343995476,37.7642375777699
22,6075030102,5262,1.275079757493226,-122.45691498363061,37.75836099348451
23,6075030201,4529,0.3609582058550537,-122.47378404426942,37.762813571424516
24,6075030301,5914,0.7525207278710598,-122.46922850335312,37.75694126142024
25,6075030302,4348,0.5978095956226315,-122.47164694040151,37.75194492870694
26,6075030400,5573,0.9734642079923336,-122.46752089073485,37.74695769110069
27,6075060700,13222,2.926375819865513,-122.39079576901108,37.77274099526646
28,6075030500,3230,1.123450953979871,-122.4526201388418,37.75173553327354
29,6075030600,2495,0.5216277959298585,-122.45713887715581,37.74375347945169
30,6075030700,7024,1.4412575078621823,-122.45020572970397,37.73741481516726
31,6075030800,6226,1.243204296487695,-122.46786568394904,37.73919090792782
32,6075990100,0,70.93968101550651,-122.55186221045093,37.762159961761625
33,6075020402,4564,0.5913224502581232,-122.44441169611544,37.75283907660641
34,6075061500,16968,2.1120495825636705,-122.39266234147907,37.78738099787562
35,6075061400,6283,0.7977450709188098,-122.39747312439641,37.75509190298089
36,6075980900,253,3.845938457251374,-122.38948596241477,37.745612896117834
37,6075017102,4095,0.2948941947321529,-122.45047535867981,37.76543534158784
38,6075012302,2713,0.092648091259202,-122.41209694305195,37.78702228443402
39,6075016801,4145,0.2265341533677654,-122.4290132947346,37.77133088433784
40,6075011902,2712,0.0930535936412289,-122.4098066939416,37.790995928043984
41,6075012201,4620,0.0920478886003465,-122.41635350667032,37.78584643297559
42,6075012202,3181,0.0928221445578992,-122.4196442992611,37.7854121976157
43,6075012402,4662,0.3580239862615635,-122.41776902316586,37.78014674446337
44,6075012601,2516,0.1704579132529507,-122.43915085319526,37.802268268374135
45,6075012602,2844,1.1739125398238957,-122.43323598078211,37.80735363045161
46,6075012902,3865,0.3528840174280044,-122.43211043345983,37.80061829478583
47,6075013101,4061,0.1730320811622806,-122.42474957640437,37.793779516386806
48,6075013102,3012,0.2378884560532808,-122.42743127671993,37.79262001343035
49,6075015801,3837,0.3439311386536482,-122.43735848757092,37.78130451160068
50,6075016802,3622,0.2150715592811241,-122.42492999197582,37.77354641936812
51,6075017101,4113,0.3133827912575996,-122.44608368121891,37.7657245232832
52,6075017801,3891,0.2140541592567785,-122.4011589175665,37.78202844158726
53,6075017802,6367,0.510135484783263,-122.40870333621977,37.77606491410187
54,6075022704,3367,0.5446091001293929,-122.40198931977072,37.760951910890455
55,6075025701,5088,0.627359785870977,-122.41214006810418,37.73158598505183
56,6075025702,4401,0.5334567831584841,-122.40575894117693,37.72813046634492
57,6075031201,6690,0.512109900502962,-122.45733712153853,37.72178148644709
58,6075031202,3394,0.3094188769504204,-122.45239558711688,37.719328612575495
59,6075032602,4753,0.4721152296806577,-122.48257970002294,37.75889870667576
60,6075032801,4401,0.585364948251733,-122.48043556510106,37.74601898795748
61,6075032802,4432,0.6461034280921489,-122.48148509599149,37.75240261568637
62,6075032901,5615,0.6719008192422756,-122.49018731697005,37.74615395481103
63,6075033203,3956,0.4377036359430276,-122.4782504240665,37.715926963395745
64,6075033204,4698,0.3732367535719502,-122.48040654215902,37.71962104922196
65,6075042601,4004,0.2931313630340527,-122.48119103558393,37.783122332617
66,6075042602,2861,0.332059284372979,-122.47547888348137,37.78338475213206
67,6075047801,4421,0.4766069104688724,-122.49211229826564,37.77584272101771
68,6075061100,4477,0.2398644336438644,-122.40406468193605,37.79559978209335
69,6075061200,3842,0.4347438571447736,-122.39016121083698,37.73705027225898
70,6075980300,63,4.751414401230432,-122.48391705642557,37.76892147588375
71,6075980401,0,247.9204788381016,-123.05188346676924,37.73335779371233
72,6075012502,3674,0.0612749279992601,-122.41259544340589,37.783932986641794
73,6075980200,312,1.7751211076635087,-122.50162243479767,37.78695960268323
74,6075023102,4549,0.4992338206363517,-122.38449001539624,37.73448942635462
75,6075023200,3972,0.8565661025027569,-122.38615007775121,37.7277635055548
76,6075023300,3739,0.6359783809665327,-122.39777003245108,37.72541896927031
77,6075022901,4856,0.2489035871494113,-122.413944466817,37.751201011687094
78,6075022803,5224,0.2820795033497539,-122.41208424197036,37.755836833547974
79,6075017902,3008,126.56415427910294,-122.3727532023514,37.8049761101404
80,6075047702,3927,0.3527871520176704,-122.48378884983431,37.774460246081205
81,6075035202,5244,0.3727581912716122,-122.50614695302286,37.76139954555416
82,6075020600,5191,0.5673233925350898,-122.43034290366869,37.7595625829646
83,6075013300,4634,0.5813102140792439,-122.4524292878686,37.78873074454264
84,6075025403,4782,0.5165614602830081,-122.42060684203618,37.73377052215715
85,6075022702,2298,0.2838379988655787,-122.39560564592034,37.76254364840982
86,6075030202,4438,0.3556630782812764,-122.46732727433977,37.76308676847309
87,6075012000,3973,0.1252294051802798,-122.41852733296562,37.78796452193485
88,6075026001,5986,0.4072950427087907,-122.43224344126864,37.72355018822981
89,6075026003,5126,0.4029797489179863,-122.42877292030313,37.719621610078875
90,6075026404,2897,0.1891687994230414,-122.41529328403628,37.70965081009874
91,6075025401,3775,0.3759281719794209,-122.42097621368275,37.737705907210405
92,6075016100,5340,0.3688997055989141,-122.4286630560604,37.77998304258646
93,6075011000,5127,0.239177176058177,-122.41979779328321,37.79437662334471
