node_index,ct_code,population,area_km2,longitude,latitude
0,53063004200,4617,2.651374917045529,-117.41849426398313,47.63407156348555
1,53063004300,3385,2.3053545026633158,-117.41399099047315,47.62295390541411
2,53063003100,4875,2.2638738327722656,-117.39184501577265,47.64583865044026
3,53063000900,6391,4.291690889464407,-117.47174668005773,47.70778521533707
4,53063002300,4845,2.744005755909458,-117.44899547091391,47.66675207162962
5,53063002400,2977,2.165635951734527,-117.42250936511846,47.667618079875716
6,53063001100,3557,2.302537686659673,-117.44515480419425,47.692999557634856
7,53063001200,2524,1.000476937514148,-117.4311576468481,47.69505481776624
8,53063001300,3407,1.5774474199083677,-117.41833292221668,47.69425905309824
9,53063001600,3408,2.1025975208971643,-117.37121967540317,47.69232045492446
10,53063003600,4257,4.779889085779742,-117.45735690717709,47.66656575747683
11,53063000300,5563,1.970683229961342,-117.3870150698655,47.70784121064621
12,53063001000,5633,3.891382065365865,-117.46570720560115,47.69125484220914
13,53063003900,2109,9.026303150100286,-117.42425147844726,47.61799708851443
14,53063003800,1738,3.3157834073787016,-117.4650779141422,47.64814096552895
15,53063004900,5482,3.9734985580272064,-117.38290689805108,47.60627041190087
16,53063002600,5069,2.0793246226044637,-117.37647851551547,47.67219887174144
17,53063002900,3317,1.6034906341012027,-117.35417126574833,47.64681793589585
18,53063003200,2633,1.2418110200304109,-117.41463378928754,47.649299431585455
19,53063003500,2479,1.7358007431278442,-117.42132799572532,47.65750124767981
20,53063001800,2742,1.668865771587711,-117.37934431845022,47.68041066605633
21,53063001900,3644,1.684243258125654,-117.4191813883022,47.681474455983526
22,53063002000,4093,1.782236578834009,-117.43171331833457,47.678415917103514
23,53063002100,2483,1.22124189051984,-117.4420301253653,47.678588512098365
24,53063000200,4629,1.8813030598095264,-117.37095002130818,47.707707033532955
25,53063003000,2472,1.4219303711697382,-117.37204887865182,47.65059042084821
26,53063002500,8985,3.270365915114399,-117.40019150986207,47.67178847401232
27,53063004601,3560,2.491856531721349,-117.37141429981706,47.638396279260775
28,53063001400,5839,2.617440753993004,-117.40331443508263,47.69090254732206
29,53063000800,5179,3.577535955571471,-117.4615247834458,47.720477517493066
30,53063004700,6704,3.227934376073226,-117.36891361420605,47.62246206542737
31,53063004500,3566,2.6244416911615565,-117.39159717187843,47.63392664315349
32,53063001500,5672,2.290098438017624,-117.38766436877555,47.69201828277147
33,53063000400,3844,1.92322356710254,-117.40322970025234,47.707871493950954
34,53063000500,3418,1.7432574446595808,-117.41850538509058,47.707863878293686
35,53063000600,3332,1.299934386121202,-117.43110149294998,47.708114024694495
36,53063000700,5117,2.1548952480824908,-117.44519107616081,47.70809251507897
37,53063004000,4932,1.5519808627205385,-117.43306881601366,47.64586079442538
38,53063004100,2201,1.113243939629082,-117.41412351328786,47.642935680020514
39,53063004400,4794,2.03869231591778,-117.39322541490093,47.621054791339304
40,53063004602,3378,1.643404670714651,-117.35503554477387,47.63427335110657
41,53063004800,4136,2.690661924226994,-117.3562995093641,47.61311048526651
42,53063014400,4562,6.351278018959784,-117.35281353384336,47.695465548717195
43,53063014500,1954,8.014410618745474,-117.37336880226397,47.66189494801386
44,53063010601,3967,8.126914607118078,-117.50461509673138,47.73028312221062
45,53063010602,8020,8.197139364550752,-117.48926816159762,47.743212067917675
46,53063011101,5918,1.9171870865875584,-117.4033288227831,47.72228030078656
47,53063011102,4527,2.3910164504427907,-117.4024276457859,47.738751131840246
