node_index,ct_code,population,area_km2,longitude,latitude
0,53053061002,4544,3.037317625170592,-122.52247334198613,47.2494644989907
1,53053061100,6288,4.395171743213405,-122.49393901493387,47.245628922243334
2,53053061200,5123,1.890506435290542,-122.47453313892441,47.24908418482036
3,53053061400,3166,0.9272005617635306,-122.44832653068129,47.250245881815324
4,53053061500,4969,1.1706353389193929,-122.44944100159078,47.262184945153464
5,53053061601,1875,0.7601085818611354,-122.44023227524794,47.254217709034364
6,53053061602,807,1.0569644626939054,-122.43774139688662,47.24015059787862
7,53053061700,5506,2.647224876652169,-122.45783263325673,47.238681619240324
8,53053061800,2819,1.3838147605699538,-122.45183379964148,47.22678715042913
9,53053061900,1797,1.0398634262984163,-122.43417078810748,47.227673434537685
10,53053062000,4621,2.099287332038853,-122.41871574330392,47.228940214741186
11,53053940007,3265,2.522734241810275,-122.4026098452403,47.232195058527296
12,53053940006,3431,1.825257796173316,-122.4012240375361,47.21539374066174
13,53053062300,5824,2.455979767680821,-122.41678471761738,47.21422328836959
14,53053062500,7381,2.900390118153977,-122.45220539601682,47.214928711570224
15,53053062801,7167,3.773289377691176,-122.49716472787237,47.224200410998144
16,53053062802,4416,3.0055725551592487,-122.49646047966026,47.19400094537958
17,53053062900,7586,2.981028842037502,-122.47862744548824,47.200332571859796
18,53053063000,3375,2.204914146194348,-122.46777624508509,47.19718693025789
19,53053060903,3364,3.7557259252250703,-122.52813611461968,47.28201896970392
20,53053060904,4996,1.948482927853304,-122.50993137852784,47.28080470433085
21,53053060905,7057,4.010221822428338,-122.53241881578656,47.26707921147465
22,53053061001,4268,4.614719219807292,-122.5479363843422,47.25314139076998
23,53053060500,4185,2.7842157861468246,-122.47606303314791,47.275286873706335
24,53053061300,4992,1.5746475462799407,-122.45899656036116,47.25001533111079
25,53053063501,4354,1.9221456568233877,-122.45240286341965,47.18638641190332
26,53053063200,5425,2.3610729002372626,-122.43216641653746,47.19899325879955
27,53053063300,8721,3.3824322718871644,-122.40866098799368,47.19900558167866
28,53053063400,7900,3.860358590074092,-122.43145714644933,47.180961878622774
29,53053063502,4668,1.93706933556334,-122.45255053333355,47.17559096344309
30,53053940005,6237,4.256511146218174,-122.37218843149056,47.27923429992544
31,53053060800,5067,2.5830629891367183,-122.49634648692945,47.265595961590385
32,53053940008,6258,3.0541289478418467,-122.39545958586237,47.293999598825906
33,53053060300,4773,15.40076600394938,-122.52444538816864,47.308111859495384
34,53053060400,4211,6.515222057772263,-122.48597374809765,47.289903234164335
35,53053060600,5793,6.874761814064595,-122.45444179785592,47.276117273115176
36,53053060700,6946,2.1058729772978206,-122.47852667823165,47.26137299378826
37,53053063100,4616,2.447705624739279,-122.45185056970622,47.199079441120354
38,53053062600,3827,6.952463235212011,-122.47611818572817,47.219736343106185
39,53053060200,2533,24.91594605414712,-122.40863056827062,47.26600501421208
40,53053940011,4350,3.752000238875439,-122.4159959178099,47.3011395618151
41,53053060906,2247,1.5734193007624957,-122.50979960343597,47.263315206047004
42,53053062400,6734,2.2665715480449515,-122.433777414156,47.2145262396409
