node_index,ct_code,population,area_km2,longitude,latitude
0,12057000601,5660,1.354039268350511,-82.47600718812066,28.029101259283152
1,12057000901,2826,0.8759525487984392,-82.41086515224455,28.02898041683975
2,12057001100,2759,1.6770479800057851,-82.44098635807276,28.014675126723827
3,12057001200,2943,1.3988068461434215,-82.45788972849242,28.015542119737223
4,12057004300,1154,0.8925000051091071,-82.47180041968404,27.959897813473233
5,12057000500,4361,2.964927092737033,-82.47431471895182,28.04260418518351
6,12057000402,3323,1.961437259800132,-82.45947233597107,28.038182758643273
7,12057001300,6333,3.906984597964207,-82.47157008681214,28.01886112318056
8,12057001400,4893,2.4377881901717484,-82.47632350525282,28.0039602535905
9,12057001500,2632,1.5513502512701771,-82.46505157778682,28.00248223475259
10,12057001700,4557,2.623944366555021,-82.44300754516165,28.00336096623052
11,12057001900,3224,1.9651049594277936,-82.4285782739084,27.98875914266626
12,12057002100,3317,1.3001511197845603,-82.44705666164603,27.988778535962414
13,12057002200,1668,1.3129714322615391,-82.45527457488541,27.988792703173388
14,12057002300,3288,1.556670522726587,-82.46487509354506,27.987416950889738
15,12057002500,6623,2.676299692756572,-82.49286091448984,27.988694483931084
16,12057002700,7504,3.588036431600743,-82.49007884270759,27.974060374587225
17,12057002800,3311,1.8035476988480716,-82.4735022548408,27.974070832020253
18,12057002900,2322,1.3123865814124622,-82.46354530803254,27.97422556175726
19,12057003000,2997,1.3385693860594536,-82.45525144092298,27.974047801022635
20,12057003100,2919,1.3084178065479102,-82.44295428764562,27.97782039682432
21,12057003400,2990,1.3371228900343275,-82.4264085851775,27.977831016524078
22,12057003500,2582,1.56139479198287,-82.42649840412676,27.969785506990817
23,12057003600,4924,4.0295050984154255,-82.40575641411293,27.97471351482279
24,12057003700,880,10.48859395638047,-82.39284511372672,27.956073476201187
25,12057003800,1040,2.1702677028934985,-82.42484367895113,27.96039804553666
26,12057003900,2193,1.6821878440261688,-82.44299065057866,27.960483043241343
27,12057004500,3914,1.88929293113284,-82.49317978878663,27.961483269384328
28,12057004700,2605,1.815354215178188,-82.51765934422151,27.94798367752826
29,12057004800,3974,2.547954782007674,-82.49527724963413,27.950469345077856
30,12057004100,1543,0.6573717516302342,-82.4563061234095,27.962459705386504
31,12057004200,1396,1.1002386616107651,-82.46516097522775,27.962918153680352
32,12057004400,2094,0.9490066434166906,-82.4807916752056,27.961408137490913
33,12057004900,4900,1.8134814389284988,-82.48051373364548,27.94659067865247
34,12057005000,6476,1.9078839585244176,-82.46945764220813,27.94910290314269
35,12057005700,4083,1.7329570248921915,-82.49579892732883,27.94090441236882
36,12057005800,5082,2.9886069247088547,-82.5119637821779,27.933709678943295
37,12057005500,2851,1.0108939456665544,-82.46793512809855,27.940057242161195
38,12057006300,4613,1.7952135130053393,-82.51196671739686,27.915656577304013
39,12057006600,4388,1.9894103282244304,-82.51230992504726,27.901212948042264
40,12057006801,4469,1.977418889621776,-82.50021274725125,27.886438887110053
41,12057004000,923,0.4222308512185353,-82.45332497515595,27.95736478133569
42,12057003300,1817,0.7907346759581695,-82.43890020857465,27.969724714799334
43,12057005102,4025,1.219229928285411,-82.44987699254462,27.935294676058604
44,12057006200,4647,1.6542616996636823,-82.50031392802971,27.916855881308187
45,12057000300,8219,2.979733273930409,-82.43867420596987,28.038115158527944
46,12057000700,6054,2.1329140200277865,-82.44440838805626,28.02442836414196
47,12057000800,3608,3.0250593972171083,-82.4253083271278,28.02478584859672
48,12057005101,1951,2.007259813118223,-82.45665523748005,27.948659058584866
49,12057007300,2751,25.41057062680547,-82.50039430273827,27.842803724523826
50,12057006900,6124,3.534803806120685,-82.49444256978421,27.8731155917092
51,12057002600,1169,6.920119582412635,-82.51268393705405,27.980864084127287
52,12057000202,6009,1.9844705320798808,-82.43450796982891,28.049042488788054
53,12057000201,3664,0.9956493592241004,-82.44702177029333,28.049062376932365
54,12057011015,6981,13.488042952695196,-82.3791875177349,28.08358644879995
55,12057000602,2793,1.3385305517594766,-82.45951381123785,28.02902179279806
56,12057000902,4494,1.7051689427711392,-82.40652437811076,28.023964908996888
57,12057980600,0,9.598589844892349,-82.5333193570132,27.97774136573308
58,12057004600,5199,6.749061635700702,-82.5270421633261,27.955166661106567
59,12057005302,1891,11.42963287398132,-82.43331956772863,27.93442361806184
60,12057005301,3668,0.9845748115913028,-82.44649271589533,27.94927744868328
61,12057005900,6465,4.663514550603639,-82.53015724706826,27.93565544719736
62,12057006101,3538,1.62513730338232,-82.47506293985313,27.932373180862136
63,12057006802,3314,2.02294616662726,-82.48668014827564,27.887083497512208
64,12057006700,6227,3.193476297731732,-82.49643162454223,27.900989537267584
65,12057006502,2042,1.582187368335445,-82.53245944718637,27.89928714340149
66,12057006501,3632,1.413548303953667,-82.52258105084054,27.901121848886156
67,12057007103,4530,1.9437961401075232,-82.52271023335958,27.882783168799243
68,12057007200,4752,6.911182845889522,-82.53654428643819,27.85820696052603
69,12057007102,3195,2.373772771393821,-82.5329164044639,27.883555024729397
70,12057007002,3669,1.3360870382081094,-82.5128422349837,27.870448160176572
71,12057007001,3787,2.3921496745051787,-82.51246973853733,27.88459944736741
72,12057011012,7296,8.49214049433701,-82.3759267270568,28.159325358714256
73,12057011014,1416,2.5178092726406134,-82.35745439313645,28.154401601733205
74,12057010211,6215,6.060716263065804,-82.35257713635659,28.12972598022775
75,12057001800,4854,2.3984293052941763,-82.41389936148693,27.990311235441023
76,12057006103,4011,1.609941414925826,-82.49031062703176,27.917839460492974
77,12057011013,4349,3.566714870255068,-82.3716252544798,28.13777066550143
78,12057001001,4464,3.1143754554272447,-82.42810832113672,28.012279520600117
79,12057011708,4562,5.685269214775661,-82.56020534273755,27.97228656380151
80,12057980100,0,16.873790573648076,-82.62643108746019,27.983422516351133
81,12057000401,2654,1.9783209772245915,-82.4594205313701,28.049136733097527
82,12057000101,4414,3.383289902810912,-82.41189326460213,28.049005852758942
83,12057003200,2725,0.8182472889368116,-82.44707149332415,27.96963582416412
84,12057002400,4078,2.4395611480750063,-82.47658508055395,27.989595264109234
85,12057006000,5698,3.2137811188316783,-82.49491737906305,27.93079900501481
86,12057002000,3474,1.3067538507587262,-82.43885726104003,27.988769189897724
87,12057010212,5597,4.0762246942212,-82.31967064317729,28.134877262737014
88,12057010210,4631,3.755271402263771,-82.29873599843235,28.13819366030786
89,12057010209,14271,17.374457544460594,-82.30044983229274,28.157834918079867
90,12057011016,4233,5.443105457423273,-82.37823605408794,28.104159207464342
91,12057005401,5452,5.162056515921773,-82.45551196517027,27.92089887467678
92,12057006400,4176,2.630742381353527,-82.52634614779258,27.91628090834791
93,12057001600,1729,1.3053011901142677,-82.45536470397784,28.003371796820986
94,12057010900,5331,6.277332749005364,-82.40751512511568,28.066128770117324
95,12057011008,6712,22.202144881947778,-82.39956520596559,28.125971748806148
96,12057000102,6437,3.419576278720573,-82.41191032445595,28.038089365830302
97,12057001002,5407,2.890312465032553,-82.41626523284451,28.00204837332127
