node_index,ct_code,population,area_km2,longitude,latitude
0,40143007641,4826,1.41550944717781,-95.96283779706226,36.053406621285106
1,40143002301,2329,2.653259291343651,-95.96909556974728,36.15383733864967
2,40143007311,2673,4.859424077908503,-95.82434901826319,36.147079120263506
3,40143005900,2561,48.92198825098541,-95.84094829129153,36.20460044182268
4,40143001800,1989,1.1553892631730327,-95.92696708586584,36.15426988911503
5,40143007613,2920,2.5901384489824646,-95.93106714892173,36.0681062021159
6,40143008501,2934,2.4419910121339328,-95.87823927358409,36.12617721508173
7,40143007629,3719,2.5768707152990955,-95.89536389675328,36.02459627266266
8,40143004500,2505,1.9904084212227575,-95.98266149015959,36.1265776593078
9,40143005001,2093,1.627053939503384,-95.98130617653946,36.09686139101593
10,40143007312,4512,2.585203234928158,-95.82433229178307,36.12620792206731
11,40143006804,2728,1.2432592932203088,-95.97131105042669,36.08221113119025
12,40143007642,1941,1.3493737081155968,-95.97242933210867,36.054182437354
13,40145030403,2592,15.402818163869275,-95.74397199035305,36.14074565665914
14,40143011100,490,29.526292206262557,-95.89996148688637,36.20932251427471
15,40143006906,2155,2.59777029850586,-95.87757987378339,36.097203381421544
16,40143004600,3194,1.673298305582774,-96.00244297841581,36.133576325976485
17,40143004800,4383,3.411902276398186,-96.02112182392369,36.097014072974325
18,40143004900,1904,9.21176762352416,-95.99890840775458,36.10822203170343
19,40143005002,3334,2.612396882019766,-95.96698573635419,36.09689980008812
20,40143005100,1744,2.456465463149673,-95.94906134790487,36.09738891921853
21,40143005200,3092,2.5928923365865866,-95.93123227200711,36.09707640593254
22,40143005300,4897,2.5882037645121088,-95.9135098632265,36.12612795821592
23,40143005700,2716,4.27805265170096,-95.96076057643575,36.227975893251816
24,40143006000,5286,2.918568244676985,-95.89563051184392,36.16889625909634
25,40143006200,2642,4.558752056535201,-95.9847185797922,36.199572904467935
26,40143006701,3024,8.214267459859958,-96.01634125752435,36.081984896087675
27,40143006705,6336,22.13143027514842,-96.00394384410963,36.0528558605126
28,40143006801,2447,1.638818621764848,-95.98142969663219,36.08273355701712
29,40143006902,1547,2.5884475142175227,-95.91330113488301,36.08260466137563
30,40143006903,4185,2.587533476746356,-95.89543641304188,36.08263833334349
31,40143006905,4163,2.5967333344833863,-95.89549335614929,36.097148359588395
32,40143006907,3171,2.604271065223101,-95.87754908415566,36.08268221760418
33,40143007000,2998,2.5850019583009067,-95.9134604493396,36.111626430599195
34,40143007101,3736,2.602011654197934,-95.89559755273152,36.14072178106043
35,40143007102,2147,3.125268640829475,-95.87584113428086,36.140887002866656
36,40143007200,3886,2.274712523630743,-95.89564936135973,36.15434898897969
37,40143007306,6245,2.586434420662095,-95.84217459214032,36.126205871103316
38,40143007308,3355,22.37718279828542,-95.78855834542365,36.13975920865387
39,40143007309,1681,2.260196597360444,-95.84225193597835,36.15432188728606
40,40143007310,3940,2.588584517787541,-95.84218653137292,36.14072659224143
41,40143007304,3910,2.0304287598356443,-95.85815891354916,36.14050014864613
42,40143007305,6330,2.710310429171186,-95.86046241628478,36.126258961390306
43,40143007410,2460,2.5430643839952998,-95.85976154000613,36.06815363040743
44,40143007411,3444,2.544514399342153,-95.859740709369,36.0536353971977
45,40143003300,1966,1.2666104051980505,-95.96693115899052,36.136950960693895
46,40143006901,4273,2.5875547541558994,-95.9311732568615,36.08258939879103
47,40143007631,3343,2.581786771957965,-95.93107066304576,36.039123888061354
48,40143001000,1428,1.436422279465364,-95.98867960869413,36.16950957556481
49,40143006803,2708,1.2954107322479402,-95.96235120827113,36.08259307032622
50,40143007524,3158,5.1147579226587565,-95.86866927595986,36.03912594279144
51,40113940006,5345,7.506845519690459,-96.01446434419417,36.17503238777276
52,40143007609,4547,2.599492840448048,-95.96689402852294,36.06797936719341
53,40143007611,1479,2.7358736024561865,-95.94879953707289,36.068487878144
54,40143007612,3544,2.529631905599095,-95.94908308672511,36.05368418308574
55,40143007614,2629,2.638816247015127,-95.93119359031972,36.053573280361746
56,40143007615,2209,2.597942972290574,-95.91319546271144,36.06809733807546
57,40143007616,3378,2.5939348058211054,-95.89531280259911,36.068140612545
58,40143007618,7064,2.574003024908396,-95.87737087084629,36.05366875310592
59,40143007619,3703,2.615233043615748,-95.8952388256598,36.053619700294256
60,40143007620,5310,2.575480293080397,-95.91314946817212,36.05359893451433
61,40143007625,5736,3.7164472074524775,-95.95295573618985,36.03966936276623
62,40143007630,5035,2.605701836694038,-95.87751298938251,36.02461242420412
63,40143007632,2986,2.602796950196488,-95.9132022889764,36.039126301927865
64,40143007633,2612,2.5994620809299125,-95.91319527757699,36.024603340657336
65,40143007634,3730,4.485332216975123,-95.93766884338783,36.024910474184026
66,40143007637,5443,5.1941319406945965,-95.91328411680398,36.002847758841035
67,40143007638,4547,10.509997915325656,-95.9278313670902,35.99617818800629
68,40143007639,5029,2.6056222717798403,-95.89525309177604,36.03912449806754
69,40143007900,4412,3.73690385738613,-95.98847254579988,36.227716267212124
70,40143008001,1989,4.497616477937878,-95.96006337559,36.213654140257574
71,40143008002,2892,3.72850444659391,-95.98842632728416,36.21321893596532
72,40143008200,2465,2.9218553982025,-95.87772767061989,36.16888294691792
73,40143008400,3620,2.602136943916112,-95.89561117720048,36.126185620809544
74,40143008502,4929,5.194495906032535,-95.88663068901744,36.11168358525533
75,40143008600,4107,2.5864336357429067,-95.91337040257773,36.097115710183
76,40143008700,3101,2.5649805179098206,-95.94924743147573,36.08327130274495
77,40143008900,3741,2.224658188442683,-95.8599906895221,36.154332006447106
78,40143009004,5570,2.547774986280684,-95.85989354047979,36.11172583641209
79,40143009006,6769,2.586439339469249,-95.84216199281803,36.11171817455194
80,40143009007,7134,10.359474383196172,-95.79738993717051,36.11168162307727
81,40143001500,3692,2.9107212923534576,-95.93141230433511,36.16893672406296
82,40143009008,3807,5.148057793306738,-95.85087889116214,36.09723426290227
83,40143009009,10266,10.336179322366917,-95.79745936063374,36.09719294369235
84,40143000800,1360,1.1307390182963466,-95.99739203936339,36.1842882154006
85,40143001200,1782,3.1017690731731498,-95.97522819346828,36.168628496967095
86,40143001300,1981,2.1872039425504783,-95.96242595405002,36.17275393766699
87,40143001400,5139,2.9174644626217465,-95.94924936786086,36.16897129246783
88,40143001600,5167,2.922807648200409,-95.91353916650377,36.16892215906595
89,40143001700,2446,2.30692991682267,-95.91355385614064,36.154315066917896
90,40143001900,1575,1.1506381538297192,-95.93588644242038,36.154285621113026
91,40143002000,1662,1.0780226741102756,-95.94923625532533,36.15776419265548
92,40143002100,2485,1.236035490862857,-95.9493056295133,36.151272749717954
93,40143002500,3625,3.5961194849251195,-95.99072953067567,36.152454413198505
94,40143002700,2965,4.375937337767265,-96.01525924784193,36.15346113727081
95,40143003000,1861,2.4282134210674817,-96.03809029875707,36.1486557058876
96,40143003100,2177,1.4974753015889384,-95.99476578816503,36.14019003725424
97,40143003200,1620,1.366024959377012,-95.98107417390338,36.13920649648513
98,40143003400,2109,1.2643505660884249,-95.96691380980235,36.1442200263828
99,40143003500,1964,1.2920729522844605,-95.94928140657703,36.14416886506578
100,40143003600,2128,1.2992016050096693,-95.94928511963127,36.13690513145307
101,40143003700,2572,2.586341197128576,-95.93144476906313,36.1405577739902
