node_index,ct_code,population,area_km2,longitude,latitude
0,51810046216,6094,3.495674091361711,-76.13697678519141,36.77043225197524
1,51810046217,5722,5.826734543060113,-76.16623355295152,36.76798415328317
2,51810045406,8884,4.573508610025862,-76.08752000466619,36.79009715086732
3,51810045407,4598,9.25580269761313,-76.06258743437513,36.81507002806374
4,51810045408,5987,9.578224818623555,-76.01929146448126,36.785148843369306
5,51810045412,1494,25.19729392376616,-75.95720152622557,36.72588458751781
6,51810045414,5995,1.9009100058934985,-76.08897941228689,36.81163686945151
7,51810045417,9097,8.359258290471091,-76.04099248168555,36.77143288252231
8,51810045420,5551,5.299872596145259,-75.99283146579666,36.74941831168759
9,51810045801,4509,3.5702663498464027,-76.11618292676428,36.829675841325596
10,51810045803,3195,1.801773880274354,-76.13263965949638,36.81848119108082
11,51810045806,3880,1.3720429205658664,-76.10481528658384,36.820089943378484
12,51810045807,1527,0.3809797901687915,-76.11490340998176,36.81950995288888
13,51810045808,2958,0.9054645196953444,-76.11822993369054,36.81317354336913
14,51810045809,5289,1.973005910814188,-76.10681112787557,36.80856318681584
15,51810045810,2164,0.6931083685052841,-76.10480420990886,36.798633322164115
16,51810046002,5443,3.8858304737909046,-76.17954750769609,36.82036141191405
17,51810046005,8392,3.4947260792746,-76.1470206669292,36.82777520602244
18,51810046006,4342,3.108925895350627,-76.15133374230257,36.81407320601703
19,51810046009,5611,4.373833927576298,-76.1727254297917,36.834700435151866
20,51810046010,3063,1.4705418657442575,-76.18728058429468,36.834795792070835
21,51810046011,1501,1.0177626015217065,-76.13208760078125,36.81068310205012
22,51810046012,7026,2.4330972740852235,-76.12098436644433,36.80225962816366
23,51810046013,4424,1.4070215534770685,-76.10688331056713,36.79127487395849
24,51810046204,5281,5.505420539660448,-76.20990940035368,36.82367125395351
25,51810046222,5330,2.9145748255152992,-76.17754577883689,36.78021263206128
26,51810046225,4382,2.756442272058566,-76.13615864033117,36.782817134310065
27,51810045603,1886,0.8314266371537682,-76.1246713094983,36.84158723849482
28,51810046015,5755,6.24136884755653,-76.10727717169254,36.76897614252544
29,51810045424,5967,16.90607113185547,-76.01887267117733,36.7383396761573
30,51810046224,4602,1.3442915256599006,-76.15239074062934,36.77933492040083
31,51810045425,2831,1.4029565972033131,-76.00651527444856,36.768208204425314
32,51810042802,4459,1.9160431659669768,-76.07621237812464,36.83318627638974
33,51810043002,4064,10.435523295567714,-76.05943109042192,36.89119470236116
34,51810043200,1452,18.86629835792797,-76.01886688430453,36.9110211045881
35,51810043400,2242,1.4958731026541894,-75.99127731175933,36.901770508098274
36,51810043600,1811,1.4156150538072705,-75.99016824015156,36.882654928919195
37,51810044001,5642,1.6758313813255397,-75.99273315300277,36.85177236511457
38,51810044200,7180,6.556811015163131,-75.9958666675557,36.83199152417823
39,51810044401,3591,5.410137298041982,-76.05580595305979,36.8669059576907
40,51810044402,5984,3.624447278653817,-76.03671804401627,36.864440661894754
41,51810044600,5623,11.497209075448472,-76.01815043010139,36.87229467796178
42,51810044805,3443,1.614442436294399,-76.02206564592295,36.84767200752962
43,51810040403,3715,2.5375771613848714,-76.17245936295778,36.897002289358596
44,51810040404,7977,5.260137647834313,-76.16691279371459,36.87978997797617
45,51810040402,7578,1.7485809453187529,-76.1693867022383,36.86734100498505
46,51810044806,3298,2.917324997388113,-76.02107138633158,36.84188612856689
47,51810040600,7143,3.4841668542651925,-76.16761811683376,36.85126522730729
48,51810040801,4144,1.7024856338954617,-76.13964424526233,36.86656009398512
49,51810040802,4609,2.3518598829211306,-76.15551475540792,36.86077494196514
50,51810044807,5273,2.124445966467253,-76.03815621356632,36.849749509194645
51,51810044808,4322,1.7732541677036795,-76.05484723371704,36.8474740121709
52,51810041003,3351,2.3953273574710647,-76.13441929745422,36.852442378573905
53,51810045200,3933,13.044292474836023,-75.97243828540901,36.79496906105594
54,51810045405,4661,1.632445441759146,-76.09414900373012,36.80271752503192
55,51810045000,2574,21.461498350441605,-76.03091700819813,36.81377183129484
56,51810041002,2161,1.887706823336847,-76.1473144550634,36.83963191091433
57,51810041004,4119,1.7547760252483664,-76.1462805403578,36.8487195019837
58,51810043800,4019,5.31791905909891,-75.99461297745134,36.87202652565077
