node_index,ct_code,population,area_km2,longitude,latitude
0,20173007301,3754,4.55897647305016,-97.24244516792056,37.70163091260917
1,20173007302,3882,4.218544835388866,-97.24127996455977,37.68698278150239
2,20173007600,3659,4.265880556478974,-97.26766405027833,37.708618444991494
3,20173008200,7035,4.9234182660038055,-97.34792804609519,37.74031486443241
4,20173007800,3360,2.2851669194139173,-97.30626354936813,37.73228897463506
5,20173008300,4149,5.30111195327044,-97.36519809604826,37.743949416157506
6,20173008400,3689,2.745473576153262,-97.37055440587197,37.72458264344053
7,20173008500,2508,1.945027377212099,-97.37165262747072,37.71412424002891
8,20173008600,3493,2.3625203756063784,-97.38955559013411,37.715024342711644
9,20173008700,3934,2.3681946528353923,-97.37834082484697,37.70331675115513
10,20173008900,3552,4.085269462473501,-97.39984949024505,37.68556899405306
11,20173009100,6903,10.636510979125196,-97.38547308428802,37.650556105932004
12,20173009200,2745,21.778991135809694,-97.42866354352013,37.65866302175244
13,20173009302,5831,4.599860323196337,-97.42804046164294,37.68673866443795
14,20173009401,3952,2.6233488769266757,-97.4534584169286,37.701265752290105
15,20173006700,2547,1.3140000722150258,-97.2738703028315,37.652825559038334
16,20173010001,4392,10.431570137152116,-97.16214526953415,37.67945961511368
17,20173010002,4490,10.44150852351308,-97.18040301271378,37.67939857348382
18,20173007700,8253,6.697271404911279,-97.28232870359318,37.73271366229838
19,20173008800,4553,3.5072560430753104,-97.39914605225691,37.700749089697446
20,20173010003,2154,1.8446329790459424,-97.23379562784557,37.644350877593276
21,20173010106,3031,4.315863187179216,-97.24059609521854,37.75921268474729
22,20173010108,2126,2.639997126019654,-97.23546267933105,37.730373147177126
23,20173010109,2042,2.624098660323874,-97.24427586745256,37.719295912331695
24,20173009503,9603,17.729654049112067,-97.42724581107956,37.72780557934866
25,20173003400,3503,2.1083892068220447,-97.3242510905246,37.668260119787384
26,20173010107,3780,2.524918374656357,-97.25345726183728,37.730301370401634
27,20173009505,3085,2.678619045843888,-97.47180957792077,37.701189944589565
28,20173009504,4460,2.538126680855534,-97.4535970658716,37.71572283056144
29,20173009510,4937,7.590365250497678,-97.4896159581346,37.67154650353736
30,20173009511,7742,7.851019383568738,-97.46529534782556,37.662307665181906
31,20173006000,4175,4.272285777092758,-97.32503744164758,37.63345522966292
32,20173006100,2891,2.5386860106732776,-97.30112182998046,37.639522451149794
33,20173006300,2131,2.1127812903068817,-97.29110451432078,37.663969352998016
34,20173006400,1964,1.5901722727298395,-97.28845902259343,37.652653289966665
35,20173006800,4602,1.9551723190088928,-97.27281011478438,37.66344575913392
36,20173007000,4012,2.326509179881085,-97.2561379130678,37.668873338949325
37,20173007201,4348,10.456946604643749,-97.20787277556416,37.69391472930781
38,20173003000,2370,1.6169432747254429,-97.36463547474625,37.6688259029099
39,20173006900,2748,1.3336381394923116,-97.26672365482342,37.67208234991596
40,20173000600,1877,1.7675151317563982,-97.31651064335468,37.71112443558415
41,20173009402,2541,2.606414192446889,-97.45348267435742,37.686676428392886
42,20173006200,3374,1.7640681489977368,-97.3071740481364,37.65509835466897
43,20173009513,4384,2.5708847267932637,-97.43529702996553,37.715951640515065
44,20173005300,6000,3.505400112153745,-97.36077855181331,37.63833266284727
45,20173005400,7788,20.574050266845404,-97.37429327955721,37.60882795394273
46,20173005600,4793,13.373742922962478,-97.31984233909259,37.582981786463755
47,20173005700,6110,7.6636043752023,-97.33984969547002,37.60804545982717
48,20173002100,2970,2.399845078240423,-97.27179770527125,37.686562241832334
49,20173002200,1924,1.1956333174051563,-97.28766343440459,37.6820062392169
50,20173002300,1927,1.260882323364854,-97.3034738896905,37.68278025552379
51,20173002400,1376,1.6155480068511396,-97.31927278180943,37.68014738019317
52,20173002600,1641,1.3734616557857129,-97.33562801168904,37.67679034025522
53,20173002700,1930,1.242179679464139,-97.35064991655767,37.677403338160666
54,20173002800,3286,1.72264563688823,-97.36366497788768,37.680761264210744
55,20173002900,2667,1.518197095276986,-97.37502403249613,37.680329922616856
56,20173003100,2316,1.7084227043570328,-97.356161504713,37.66474075977095
57,20173003200,2459,1.480586568266964,-97.3384905143355,37.66596429357323
58,20173003500,2140,1.345558876900377,-97.30330169979966,37.67557533076978
59,20173003600,2502,1.3634872672831695,-97.28107784968277,37.67538959531859
60,20173003700,1565,0.5856884747752645,-97.28460905048793,37.668046527823584
61,20173003800,2949,2.146380440583024,-97.30856901992972,37.66572865745168
62,20173003900,3815,2.214544715442479,-97.32429187867758,37.652826895723614
63,20173004000,4799,2.3397121186040324,-97.33853019322162,37.65342781500125
64,20173004300,4274,4.004897517390803,-97.33944409669093,37.68892548386429
65,20173005100,4255,5.009252492643606,-97.34428934899039,37.639684835954554
66,20173005200,4412,1.9495979643255985,-97.36331614116637,37.65265307894903
67,20173005900,4267,7.1473923370680605,-97.31246193640752,37.62129644172996
68,20173001000,3905,2.311809120159175,-97.28261165952547,37.70020616853957
69,20173001100,2246,1.3235813962444634,-97.30103226807573,37.6980564451634
70,20173001400,3772,3.9701814626073793,-97.35716470067291,37.70096136961911
71,20173001500,2770,1.7358446330413126,-97.36713155580419,37.69027703505577
72,20173001800,1801,1.8026387229104508,-97.31606315827676,37.69158467178218
73,20173009512,3991,2.5561729884559274,-97.47166543588008,37.686351949839924
74,20173008100,5030,30.14383201080373,-97.34405107756659,37.7717632701358
75,20173001900,2098,1.0650715104084054,-97.30042924905868,37.68994460111125
76,20173009000,3123,3.036871729184647,-97.38357869021068,37.678477194323584
77,20173010110,1631,2.5251791089059474,-97.2442434035773,37.712000330388506
