node_index,ct_code,population,area_km2,longitude,latitude
0,37067003308,8798,13.994336362698633,-80.12915298454993,36.09327544777231
1,37067003500,7565,16.7115653744847,-80.20893638202756,36.034050683729156
2,37067000801,3399,2.0620807925070777,-80.22776125954961,36.085805764375515
3,37067000802,2536,2.0896520758220216,-80.23119954035735,36.076519546595215
4,37067000600,2259,1.3378658520532931,-80.22945838863836,36.10806946329797
5,37067002603,5528,9.551311043630973,-80.31764589226506,36.133762321581266
6,37067003904,6185,8.730779105596143,-80.35487891115389,36.06959734605605
7,37067001300,4846,4.27821092361741,-80.27615459390991,36.12961085628703
8,37067000900,3273,3.0677546514535026,-80.24904270648358,36.0842098537647
9,37067000400,3559,2.16678956194702,-80.24187185732602,36.1202984477816
10,37067000500,2271,1.6313163018108146,-80.22805179676423,36.11748306613292
11,37067001000,4119,2.8442548323103,-80.26489341955366,36.0784638145831
12,37067000700,2238,1.830426467398207,-80.23104909140001,36.09827477142992
13,37067003600,7308,16.47570533544723,-80.2438323211619,36.01881046651789
14,37067003905,3504,2.86048761069513,-80.32514925805168,36.08959581094666
15,37067001602,3449,3.84442734294077,-80.22093411073692,36.12261783649199
16,37067003804,4838,16.036462702882552,-80.32102494377398,36.03856672631134
17,37067001100,2603,1.6301335207152017,-80.26217260381497,36.09504532480965
18,37067001200,1991,3.682413974371255,-80.26833391474803,36.10937686509139
19,37067002604,6604,9.921018300076554,-80.33680070945539,36.14923383855963
20,37067001400,3641,7.447807655222957,-80.25531355462859,36.142275628900194
21,37067001500,4674,7.507243286639776,-80.23978678888218,36.15173280554654
22,37067001601,3256,6.134654205568456,-80.21233711940486,36.140557514724016
23,37067001700,5678,8.920986115241,-80.19972568628543,36.1144133260554
24,37067001800,4308,5.000192354974566,-80.2087559698094,36.077504472979676
25,37067001901,1608,1.551660607249261,-80.22676027358666,36.064914619431704
26,37067001902,1911,2.303054916629576,-80.24631483183956,36.07101665525149
27,37067002001,2692,2.8219738345287984,-80.23526610222834,36.05636785502475
28,37067002002,3627,3.31895578501666,-80.25194843087522,36.054238538245855
29,37067002100,2206,2.034564221233349,-80.28518574702612,36.07451419731131
30,37067002200,3526,4.44732158284697,-80.28484619876443,36.08552843433807
31,37067002501,2611,2.800612232965119,-80.282879182527,36.10443670991874
32,37067002502,2899,4.764632448851093,-80.29910405433536,36.09941716857824
33,37067002601,2824,4.85595899801623,-80.29652005322002,36.12100462869398
34,37067002701,6700,5.614384644234629,-80.30928102815525,36.16282320833086
35,37067002702,5924,5.874833761932696,-80.27687870990329,36.16203035880378
36,37067002703,6439,5.030709144536303,-80.28410864358612,36.14660933994101
37,37067002804,4174,12.95316603244654,-80.31209050571915,36.18443497069264
38,37067002806,3147,9.254586973941096,-80.2760232246219,36.18640431273354
39,37067003909,4436,4.316299130687818,-80.34766656681573,36.0960611377988
40,37067003310,4337,7.275229363661072,-80.15048357406936,36.07677883437016
41,37067003906,3533,4.305121322130285,-80.32344877744036,36.10074368420413
42,37067003701,4337,5.383464993985332,-80.26966313217189,36.05618850138477
43,37067003805,5518,7.284732567496296,-80.32269491130452,36.064315631774086
44,37067003903,4502,3.621091054739895,-80.32385769919117,36.07884310311757
45,37067000100,2320,1.4373161143555355,-80.24682238520985,36.09767070861888
46,37067000200,1083,1.522562082106833,-80.24814994937714,36.10550074229915
47,37067000301,1858,0.8959424070041953,-80.25297760831684,36.11103230239404
48,37067000302,1546,1.2073508271873723,-80.25642049364384,36.1193594727694
49,37067003908,3015,5.579678575279377,-80.33635946530217,36.11275496664787
50,37067003311,1927,5.716639122554919,-80.12891664787675,36.06085913918182
51,37067003703,8211,12.418388304708866,-80.28101321065753,36.01220134208428
52,37067003702,5241,5.56952689648751,-80.2784192909582,36.037730089551275
53,37067003309,5431,14.827548841391328,-80.1793938953563,36.09224257245255
54,37067003403,3259,7.618325414361498,-80.1824005033033,36.0562434359911
55,37067003404,4198,4.651165203660077,-80.19149612254785,36.067086212770135
56,37067003806,3217,7.352409759750375,-80.34712115868098,36.04203871189504
